gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
2	1954	low	8	OSD-599	0.20641418	-1.0947757738500334
2	1954	low	9	OSD-825	0.20788126	-1.0927468850533617
2	1954	low	10	OSD-720	0.21154682	-1.0876776225608407
2	1954	low	11	OSD-255	0.21449591	-1.0835991976205672
2	1954	low	12	OSD-49	0.21875355	-1.0777111219217226
2	1954	low	13	OSD-419	0.22219379	-1.0729534642657925
2	1954	low	14	OSD-164	0.22824974	-1.0645784273842294
2	1954	low	15	OSD-881	0.228876	-1.0637123451679877
2	1954	low	16	OSD-48	0.22956572	-1.0627585013552165
2	1954	low	17	OSD-141	0.24114637	-1.046743116343373
2	1954	low	18	OSD-202	0.24850306	-1.036569229492222
2	1954	low	19	OSD-201	0.28086227	-0.9918182693277143
2	1954	low	20	OSD-289	0.28124645	-0.9912869700816574
3	1721	high	1	OSD-759	162.99088	3.994639168155122
3	1721	high	2	OSD-758	133.96297	3.0108596004900234
3	1721	high	3	OSD-464	118.86516	2.4991824940607343
3	1721	high	4	OSD-162	104.57327	2.0148186743673024
3	1721	high	5	OSD-101	100.92776	1.891269364350881
3	1721	high	6	OSD-243	96.99753	1.7580706610951382
3	1721	high	7	OSD-194	96.15988	1.7296820187555877
3	1721	high	8	OSD-246	95.27036	1.6995354597704777
3	1721	high	9	OSD-248	90.08562	1.5238203884595931
3	1721	high	10	OSD-900	89.66469	1.5095547271213403
3	1721	high	11	OSD-237	84.057274	1.3195148211068066
3	1721	high	12	OSD-254	82.042534	1.2512336377161462
3	1721	high	13	OSD-244	81.080154	1.2186177938496898
3	1721	high	14	OSD-506	77.85656	1.1093675615164698
3	1721	high	15	OSD-241	72.82122	0.9387157781725507
3	1721	high	16	OSD-240	71.7025	0.9008014440734614
3	1721	high	17	OSD-211	70.88711	0.8731672113064989
3	1721	high	18	OSD-239	70.532326	0.8611432919084263
3	1721	high	19	OSD-163	69.940796	0.8410958572959817
3	1721	high	20	OSD-238	67.147514	0.7464292499402779
3	1721	low	1	OSD-318	8.999949	-1.2242391983385765
3	1721	low	2	OSD-426	9.327813	-1.2131276197174168
3	1721	low	3	OSD-599	9.656982	-1.2019718135808828
3	1721	low	4	OSD-421	10.057322	-1.1884039641518662
3	1721	low	5	OSD-825	10.680303	-1.1672906294734973
3	1721	low	6	OSD-720	10.751067	-1.1648923797432806
3	1721	low	7	OSD-881	10.987798	-1.1568693728911537
3	1721	low	8	OSD-202	11.344683	-1.14477424888787
3	1721	low	9	OSD-419	11.374055	-1.1437788078291973
3	1721	low	10	OSD-420	11.412522	-1.1424751297955607
3	1721	low	11	OSD-719	11.766416	-1.1304813732240655
3	1721	low	12	OSD-876	11.785137	-1.1298469032506415
3	1721	low	13	OSD-141	12.05613	-1.12066272924775
3	1721	low	14	OSD-686	12.595971	-1.1023670770430998
3	1721	low	15	OSD-457	13.010541	-1.0883169612970154
3	1721	low	16	OSD-255	13.975559	-1.0556117134569525
3	1721	low	17	OSD-289	14.185002	-1.0485135192021653
3	1721	low	18	OSD-714	15.128331	-1.0165433292785382
3	1721	low	19	OSD-164	17.447065	-0.9379595410536758
3	1721	low	20	OSD-49	18.019175	-0.9185702660953037
4	2310	high	1	OSD-758	822.85754	3.3612778217706505
4	2310	high	2	OSD-162	774.46606	3.0588993243181766
4	2310	high	3	OSD-194	701.37933	2.6022103451607994
4	2310	high	4	OSD-161	645.7448	2.254573000986276
4	2310	high	5	OSD-759	620.2353	2.0951746052198335
4	2310	high	6	OSD-512	526.0779	1.5068236571597293
4	2310	high	7	OSD-464	525.29504	1.5019318863249531
4	2310	high	8	OSD-613	494.23822	1.307870564636674
4	2310	high	9	OSD-237	482.3843	1.2338002837004052
4	2310	high	10	OSD-163	481.34875	1.227329556765893
4	2310	high	11	OSD-900	473.09995	1.1757861910786693
4	2310	high	12	OSD-100	457.4441	1.0779592099790767
4	2310	high	13	OSD-243	456.8376	1.0741694404017685
4	2310	high	14	OSD-247	433.39108	0.9276617599570005
4	2310	high	15	OSD-612	429.02942	0.9004075367507967
4	2310	high	16	OSD-241	425.38702	0.8776476740823911
4	2310	high	17	OSD-240	413.59848	0.8039859259325435
4	2310	high	18	OSD-236	412.5622	0.7975106375276415
4	2310	high	19	OSD-99	412.52377	0.7972705042302698
4	2310	high	20	OSD-771	412.30997	0.7959345557791099
4	2310	low	1	OSD-719	41.911194	-1.5185353745705188
4	2310	low	2	OSD-955	63.301296	-1.3848774062026332
4	2310	low	3	OSD-420	65.57102	-1.370694832477841
4	2310	low	4	OSD-421	71.66247	-1.3326318615104957
4	2310	low	5	OSD-419	73.827415	-1.3191040087527943
4	2310	low	6	OSD-289	75.828766	-1.3065983877580447
4	2310	low	7	OSD-426	78.99981	-1.286783835277408
4	2310	low	8	OSD-714	80.80427	-1.2755085053326927
4	2310	low	9	OSD-202	95.94506	-1.1808999227796597
4	2310	low	10	OSD-876	96.64113	-1.1765504670341083
4	2310	low	11	OSD-318	98.61505	-1.1642162510999936
4	2310	low	12	OSD-599	99.926476	-1.1560216882678567
4	2310	low	13	OSD-255	102.60449	-1.1392878779054396
4	2310	low	14	OSD-288	105.408226	-1.1217684823644598
4	2310	low	15	OSD-294	108.4091	-1.103017252371821
4	2310	low	16	OSD-686	110.41794	-1.0904648356897433
4	2310	low	17	OSD-141	112.30381	-1.0786808080677175
4	2310	low	18	OSD-322	116.06129	-1.0552018577110078
4	2310	low	19	OSD-825	116.78239	-1.0506959997683907
4	2310	low	20	OSD-457	119.2265	-1.0354237595019522
5	1347	high	1	OSD-613	14379.012	4.902591900756819
5	1347	high	2	OSD-612	11903.18	3.935719045824835
5	1347	high	3	OSD-352	11038.886	3.598191133074462
5	1347	high	4	OSD-525	9133.805	2.8542104811777755
5	1347	high	5	OSD-564	9026.054	2.8121310844368916
5	1347	high	6	OSD-758	8497.74	2.605811566197958
5	1347	high	7	OSD-563	8363.777	2.553495743369409
5	1347	high	8	OSD-194	6580.7075	1.8571635616999167
5	1347	high	9	OSD-562	4980.6406	1.232298364188467
5	1347	high	10	OSD-561	4363.4224	0.9912595848407655
5	1347	high	11	OSD-100	3874.3235	0.8002545207705488
5	1347	high	12	OSD-759	3863.603	0.796067903729773
5	1347	high	13	OSD-162	3781.149	0.7638676032325817
5	1347	high	14	OSD-202	3436.0645	0.629103679142508
5	1347	high	15	OSD-161	3257.1052	0.5592157023704051
5	1347	high	16	OSD-397	2747.8547	0.36034094640532355
5	1347	high	17	OSD-512	2710.1929	0.345633093817637
5	1347	high	18	OSD-98	2418.1033	0.23156497229406814
5	1347	high	19	OSD-99	2347.4583	0.20397637466843346
5	1347	high	20	OSD-274	2138.708	0.12245428491076513
5	1347	low	1	OSD-719	126.64704	-0.6633046537782837
5	1347	low	2	OSD-420	140.42606	-0.6579236099895432
5	1347	low	3	OSD-421	156.18631	-0.6517688475048747
5	1347	low	4	OSD-289	194.43166	-0.6368331043921059
5	1347	low	5	OSD-955	231.49039	-0.622360765366173
5	1347	low	6	OSD-318	233.30467	-0.6216522447221042
5	1347	low	7	OSD-294	244.43326	-0.6173062585709165
5	1347	low	8	OSD-686	244.47192	-0.6172911608968531
5	1347	low	9	OSD-322	245.23581	-0.6169928431979326
5	1347	low	10	OSD-141	249.9899	-0.615136254959755
5	1347	low	11	OSD-288	256.06763	-0.612762752978762
5	1347	low	12	OSD-419	267.92532	-0.6081320354732129
5	1347	low	13	OSD-690	332.66202	-0.5828507732761514
5	1347	low	14	OSD-426	344.3051	-0.5783038662163019
5	1347	low	15	OSD-899	349.8385	-0.5761429383926528
5	1347	low	16	OSD-214	352.42163	-0.575134163048542
5	1347	low	17	OSD-164	358.5888	-0.5727257325634563
5	1347	low	18	OSD-714	360.29776	-0.5720583419512644
5	1347	low	19	OSD-599	391.5724	-0.5598448313157406
5	1347	low	20	OSD-173	393.9265	-0.5589254977794605
6	1496	high	1	OSD-161	13255.128	3.6156613840473684
6	1496	high	2	OSD-512	10613.6045	2.556855843842295
6	1496	high	3	OSD-758	9183.861	1.9837697672383239
6	1496	high	4	OSD-162	9125.7	1.9604570126768492
6	1496	high	5	OSD-98	8621.939	1.75853379005958
6	1496	high	6	OSD-759	8567.104	1.7365542007062595
6	1496	high	7	OSD-99	8367.581	1.6565791189784853
6	1496	high	8	OSD-274	8036.42	1.5238393945354312
