library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	3	REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	6	257	12	5218	9.690080652264144e-06	10.151750972762647	ENSMUSG00000014609,ENSMUSG00000022041,ENSMUSG00000026251,ENSMUSG00000027107,ENSMUSG00000035200,ENSMUSG00000035594	0.00010659088717490558
reactome	3	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	6	257	13	5218	1.7256367505357874e-05	9.370847051780904	ENSMUSG00000014609,ENSMUSG00000022041,ENSMUSG00000026251,ENSMUSG00000027107,ENSMUSG00000035200,ENSMUSG00000035594	0.00016872892671905478
reactome	3	REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	22	257	181	5218	6.589563223268406e-05	2.4678289657544554	ENSMUSG00000019865,ENSMUSG00000021541,ENSMUSG00000021799,ENSMUSG00000023052,ENSMUSG00000024517,ENSMUSG00000025723,ENSMUSG00000026573,ENSMUSG00000028635,ENSMUSG00000031364,ENSMUSG00000032360,ENSMUSG00000035528,ENSMUSG00000035773,ENSMUSG00000038760,ENSMUSG00000041347,ENSMUSG00000043102,ENSMUSG00000043659,ENSMUSG00000045471,ENSMUSG00000049929,ENSMUSG00000050147,ENSMUSG00000054988,ENSMUSG00000058400,ENSMUSG00000064177	0.0005798815636476197
reactome	3	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	4	257	10	5218	0.0009538680220357634	8.121400778210116	ENSMUSG00000022041,ENSMUSG00000027107,ENSMUSG00000035200,ENSMUSG00000035594	0.007630944176286108
reactome	3	REACTOME_AMINE_DERIVED_HORMONES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AMINE_DERIVED_HORMONES	4	257	15	5218	0.00509962456814017	5.414267185473411	ENSMUSG00000006764,ENSMUSG00000027857,ENSMUSG00000028298,ENSMUSG00000075707	0.03739724683302791
reactome	3	REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	12	257	108	5218	0.006446039566263717	2.2559446606139213	ENSMUSG00000018500,ENSMUSG00000027857,ENSMUSG00000028298,ENSMUSG00000028747,ENSMUSG00000030406,ENSMUSG00000030666,ENSMUSG00000039358,ENSMUSG00000043659,ENSMUSG00000048776,ENSMUSG00000049796,ENSMUSG00000071489,ENSMUSG00000075270	0.04363472937163131
reactome	3	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	6	257	39	5218	0.011162755483140998	3.123615683926968	ENSMUSG00000026166,ENSMUSG00000026573,ENSMUSG00000031780,ENSMUSG00000035373,ENSMUSG00000044052,ENSMUSG00000060183	0.07016589160831484
reactome	3	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	7	257	53	5218	0.014332865789311934	2.681594596578812	ENSMUSG00000001014,ENSMUSG00000031132,ENSMUSG00000053219,ENSMUSG00000067610,ENSMUSG00000070873,ENSMUSG00000078452,ENSMUSG00000090176	0.08408614596396334
reactome	3	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	9	257	80	5218	0.01607094003749644	2.284143968871595	ENSMUSG00000009900,ENSMUSG00000010797,ENSMUSG00000018486,ENSMUSG00000029671,ENSMUSG00000030406,ENSMUSG00000030666,ENSMUSG00000036961,ENSMUSG00000048776,ENSMUSG00000049796	0.08641497078840903
reactome	3	REACTOME_STEROID_HORMONES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_STEROID_HORMONES	4	257	21	5218	0.01772603791972108	3.86733370390958	ENSMUSG00000028298,ENSMUSG00000030670,ENSMUSG00000032274,ENSMUSG00000079608	0.08641497078840903
