gene_cluster	n_genes	condition	mean_expression	condition_rank_desc	delta_vs_cluster_condition_mean
0	2574	baseline_control	1831.2635	1	264.708568
0	2574	vivarium_control	1715.9237	2	149.36876800000005
0	2574	flight	1712.727	3	146.17206800000008
0	2574	ground_control	1600.1328	4	33.57786800000008
0	2574	unknown	972.72766	5	-593.827272
1	1802	baseline_control	550.91797	1	72.02145999999993
1	1802	flight	539.5464	2	60.649889999999914
1	1802	ground_control	503.28192	3	24.38540999999998
1	1802	vivarium_control	493.6191	4	14.722589999999968
1	1802	unknown	307.11716	5	-171.77935000000002
2	1954	flight	1.3173494	1	0.27966393999999983
2	1954	ground_control	1.0834482	2	0.045762740000000024
2	1954	baseline_control	1.0808185	3	0.043133039999999845
2	1954	vivarium_control	1.0337362	4	-0.0039492599999999545
2	1954	unknown	0.673075	5	-0.3646104600000001
3	1721	flight	61.53709	1	10.000341200000001
3	1721	baseline_control	59.3085	2	7.771751200000004
3	1721	ground_control	54.100544	3	2.5637952000000013
3	1721	vivarium_control	52.40834	4	0.8715912000000046
3	1721	unknown	30.32927	5	-21.207478799999997
4	2310	flight	357.44223	1	44.184592000000066
4	2310	baseline_control	351.0877	2	37.830062000000055
4	2310	ground_control	329.41293	3	16.155292000000088
4	2310	vivarium_control	328.447	4	15.189362000000074
4	2310	unknown	199.89833	5	-113.35930799999994
5	1347	flight	2275.405	1	716.168672
5	1347	ground_control	1902.6511	2	343.41477199999986
5	1347	vivarium_control	1378.4291	3	-180.80722800000012
5	1347	baseline_control	1221.7684	4	-337.46792800000026
5	1347	unknown	1017.92804	5	-541.3082880000002
6	1496	flight	5324.6665	1	534.9124800000009
6	1496	baseline_control	5314.3906	2	524.6365800000003
6	1496	vivarium_control	5208.9497	3	419.1956800000007
6	1496	ground_control	5021.056	4	231.30198000000019
6	1496	unknown	3079.7073	5	-1710.0467199999994
7	857	vivarium_control	18162.992	1	2089.8247999999967
7	857	flight	16824.633	2	751.4658
7	857	ground_control	16428.164	3	354.996799999999
7	857	baseline_control	16212.287	4	139.11979999999858
7	857	unknown	12737.76	5	-3335.4072000000015
8	1000	baseline_control	3346.4333	1	489.5201600000005
8	1000	flight	3278.967	2	422.05386000000044
8	1000	ground_control	3085.8525	3	228.9393600000003
8	1000	vivarium_control	2946.773	4	89.85986000000048
8	1000	unknown	1626.5399	5	-1230.3732399999997
9	1631	flight	143.3931	1	22.452091999999993
9	1631	baseline_control	134.36014	2	13.41913199999999
9	1631	ground_control	127.95672	3	7.0157119999999935
9	1631	vivarium_control	123.87623	4	2.935221999999996
9	1631	unknown	75.11885	5	-45.822158000000016
10	1618	flight	10.513258	1	2.1859271999999983
10	1618	baseline_control	9.530067	2	1.2027361999999986
10	1618	ground_control	8.757823	3	0.430492199999998
10	1618	vivarium_control	8.39211	4	0.06477919999999848
10	1618	unknown	4.443396	5	-3.8839348000000022
11	964	flight	1572.2589	1	201.6273120000003
11	964	baseline_control	1492.142	2	121.51041200000031
11	964	ground_control	1435.0369	3	64.40531200000032
11	964	vivarium_control	1389.4998	4	18.868212000000312
11	964	unknown	964.22034	5	-406.4112479999998
12	183	baseline_control	6735.4087	1	2084.692720000001
12	183	vivarium_control	4492.6484	2	-158.067579999999
12	183	ground_control	4324.7935	3	-325.92247999999927
12	183	flight	3906.9583	4	-743.7576799999993
12	183	unknown	3793.771	5	-856.9449799999988
13	976	flight	865.89215	1	94.85864600000002
13	976	baseline_control	862.4239	2	91.39039600000001
13	976	vivarium_control	826.2485	3	55.21499600000004
13	976	ground_control	800.28894	4	29.25543600000003
13	976	unknown	500.31403	5	-270.719474
14	577	baseline_control	1452.2147	1	219.84428000000003
14	577	ground_control	1310.5825	2	78.21208000000001
14	577	flight	1304.6805	3	72.31007999999997
14	577	vivarium_control	1225.9039	4	-6.466519999999946
14	577	unknown	868.4705	5	-363.89991999999995
