library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
panglao	0	panglao_Proximal_tubule_cells	/	39	757	72	4072	8.930113817382733e-12	2.91369440774989	ENSMUSG00000001827,ENSMUSG00000002565,ENSMUSG00000003809,ENSMUSG00000010122,ENSMUSG00000011034,ENSMUSG00000018459,ENSMUSG00000020062,ENSMUSG00000020264,ENSMUSG00000021033,ENSMUSG00000021335,ENSMUSG00000021612,ENSMUSG00000021947,ENSMUSG00000022821,ENSMUSG00000023829,ENSMUSG00000024538,ENSMUSG00000024650,ENSMUSG00000028024,ENSMUSG00000028527,ENSMUSG00000028766,ENSMUSG00000029162,ENSMUSG00000029700,ENSMUSG00000030562,ENSMUSG00000030630,ENSMUSG00000030781,ENSMUSG00000035000,ENSMUSG00000036083,ENSMUSG00000037762,ENSMUSG00000039438,ENSMUSG00000039463,ENSMUSG00000041644,ENSMUSG00000043760,ENSMUSG00000047230,ENSMUSG00000061742,ENSMUSG00000063683,ENSMUSG00000063796,ENSMUSG00000067144,ENSMUSG00000069805,ENSMUSG00000074028,ENSMUSG00000078650	1.1609147962597554e-09
panglao	0	panglao_Podocytes	/	35	757	88	4072	2.311735144175852e-06	2.1394259637324367	ENSMUSG00000001507,ENSMUSG00000001864,ENSMUSG00000002980,ENSMUSG00000004105,ENSMUSG00000016918,ENSMUSG00000018566,ENSMUSG00000020601,ENSMUSG00000021904,ENSMUSG00000022206,ENSMUSG00000022337,ENSMUSG00000022912,ENSMUSG00000024421,ENSMUSG00000024998,ENSMUSG00000026383,ENSMUSG00000026672,ENSMUSG00000027293,ENSMUSG00000027931,ENSMUSG00000028024,ENSMUSG00000031217,ENSMUSG00000031274,ENSMUSG00000031841,ENSMUSG00000032374,ENSMUSG00000032492,ENSMUSG00000032702,ENSMUSG00000035000,ENSMUSG00000035441,ENSMUSG00000037664,ENSMUSG00000038816,ENSMUSG00000041548,ENSMUSG00000046733,ENSMUSG00000055943,ENSMUSG00000057315,ENSMUSG00000063531,ENSMUSG00000067158,ENSMUSG00000079465	0.00015026278437143037
panglao	0	panglao_Endothelial_cells_(aorta)	/	29	757	86	4072	0.0005295400076050283	1.8138920463273018	ENSMUSG00000000555,ENSMUSG00000001300,ENSMUSG00000015354,ENSMUSG00000016918,ENSMUSG00000020681,ENSMUSG00000020889,ENSMUSG00000020902,ENSMUSG00000021136,ENSMUSG00000022040,ENSMUSG00000023961,ENSMUSG00000024065,ENSMUSG00000024087,ENSMUSG00000027931,ENSMUSG00000028957,ENSMUSG00000029163,ENSMUSG00000033082,ENSMUSG00000036019,ENSMUSG00000039007,ENSMUSG00000039115,ENSMUSG00000041741,ENSMUSG00000042190,ENSMUSG00000042286,ENSMUSG00000044337,ENSMUSG00000044345,ENSMUSG00000055301,ENSMUSG00000057604,ENSMUSG00000067158,ENSMUSG00000074743,ENSMUSG00000079465	0.018597710642394006
panglao	0	panglao_Enterocytes	/	43	757	144	4072	0.0005722372505352002	1.606267429913401	ENSMUSG00000000440,ENSMUSG00000003051,ENSMUSG00000004032,ENSMUSG00000005148,ENSMUSG00000009633,ENSMUSG00000011034,ENSMUSG00000012350,ENSMUSG00000019734,ENSMUSG00000021388,ENSMUSG00000022040,ENSMUSG00000022479,ENSMUSG00000022555,ENSMUSG00000023073,ENSMUSG00000024197,ENSMUSG00000024354,ENSMUSG00000024727,ENSMUSG00000025401,ENSMUSG00000025557,ENSMUSG00000026175,ENSMUSG00000027356,ENSMUSG00000027690,ENSMUSG00000028217,ENSMUSG00000028976,ENSMUSG00000029162,ENSMUSG00000029646,ENSMUSG00000029727,ENSMUSG00000030762,ENSMUSG00000034842,ENSMUSG00000035000,ENSMUSG00000035775,ENSMUSG00000036938,ENSMUSG00000037440,ENSMUSG00000038400,ENSMUSG00000039062,ENSMUSG00000040613,ENSMUSG00000040808,ENSMUSG00000041737,ENSMUSG00000042797,ENSMUSG00000047040,ENSMUSG00000047638,ENSMUSG00000048027,ENSMUSG00000051483,ENSMUSG00000054385	0.018597710642394006
panglao	0	panglao_Mesothelial_cells	/	19	757	52	4072	0.0016470483663499388	1.965450665582766	ENSMUSG00000016918,ENSMUSG00000020467,ENSMUSG00000023039,ENSMUSG00000023041,ENSMUSG00000024371,ENSMUSG00000027357,ENSMUSG00000027931,ENSMUSG00000028270,ENSMUSG00000030513,ENSMUSG00000031075,ENSMUSG00000032487,ENSMUSG00000035000,ENSMUSG00000038119,ENSMUSG00000041559,ENSMUSG00000044337,ENSMUSG00000044674,ENSMUSG00000046532,ENSMUSG00000053522,ENSMUSG00000074743	0.04000844804752816
panglao	0	panglao_Principal_cells	/	19	757	53	4072	0.0021307083358863064	1.9283666907604495	ENSMUSG00000015619,ENSMUSG00000021846,ENSMUSG00000023013,ENSMUSG00000028435,ENSMUSG00000028716,ENSMUSG00000030340,ENSMUSG00000031618,ENSMUSG00000031785,ENSMUSG00000031891,ENSMUSG00000034127,ENSMUSG00000038007,ENSMUSG00000040998,ENSMUSG00000041075,ENSMUSG00000041248,ENSMUSG00000041737,ENSMUSG00000044674,ENSMUSG00000047501,ENSMUSG00000048022,ENSMUSG00000051397	0.04000844804752816
panglao	0	panglao_Pulmonary_alveolar_type_I_cells	/	13	757	31	4072	0.0021543010487130544	2.2557634124515276	ENSMUSG00000015452,ENSMUSG00000022505,ENSMUSG00000023039,ENSMUSG00000028435,ENSMUSG00000030340,ENSMUSG00000032473,ENSMUSG00000044217,ENSMUSG00000046733,ENSMUSG00000057969,ENSMUSG00000059325,ENSMUSG00000063531,ENSMUSG00000067158,ENSMUSG00000079465	0.04000844804752816
panglao	0	panglao_Smooth_muscle_cells	/	24	757	74	4072	0.002842690892687019	1.7445820986111606	ENSMUSG00000001349,ENSMUSG00000017817,ENSMUSG00000020439,ENSMUSG00000021136,ENSMUSG00000021186,ENSMUSG00000021390,ENSMUSG00000022057,ENSMUSG00000022309,ENSMUSG00000023064,ENSMUSG00000026207,ENSMUSG00000026768,ENSMUSG00000030255,ENSMUSG00000030409,ENSMUSG00000030562,ENSMUSG00000031880,ENSMUSG00000032387,ENSMUSG00000038146,ENSMUSG00000039103,ENSMUSG00000039115,ENSMUSG00000039646,ENSMUSG00000040666,ENSMUSG00000044337,ENSMUSG00000051236,ENSMUSG00000067818	0.04619372700616406
panglao	0	panglao_Pericytes	/	18	757	55	4072	0.008289666367764235	1.7604419358712622	ENSMUSG00000002108,ENSMUSG00000006386,ENSMUSG00000012428,ENSMUSG00000018417,ENSMUSG00000020810,ENSMUSG00000021388,ENSMUSG00000022309,ENSMUSG00000028108,ENSMUSG00000028766,ENSMUSG00000029070,ENSMUSG00000030249,ENSMUSG00000032135,ENSMUSG00000032420,ENSMUSG00000032492,ENSMUSG00000032911,ENSMUSG00000038146,ENSMUSG00000039062,ENSMUSG00000040856	0.11133802293854393
panglao	0	panglao_Cholangiocytes	/	13	757	36	4072	0.009716475123133785	1.9424629384999268	ENSMUSG00000000567,ENSMUSG00000003051,ENSMUSG00000006345,ENSMUSG00000020581,ENSMUSG00000023039,ENSMUSG00000027276,ENSMUSG00000028766,ENSMUSG00000028962,ENSMUSG00000041301,ENSMUSG00000047501,ENSMUSG00000051397,ENSMUSG00000064057,ENSMUSG00000066108	0.11133802293854393
