gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000021423	Ly86	6	-0.330106506476853	0.0668796632798944	-4.935827877831	7.9811473274798e-07	0	6	12.325320987624	59.4331051903594	0.0305920474295996	7.34077420724166e-05	TRUE	FALSE	all_down
ENSMUSG00000030244	Gys2	6	-0.372393155505471	0.0754515021999778	-4.93553003780461	7.99333764799615e-07	1	5	19.7838719418467	74.7268885752135	0.00137196278211473	7.34077420724166e-05	TRUE	FALSE	mixed
ENSMUSG00000002885	Adgre5	6	-0.284174228029656	0.057679896276055	-4.92674651614496	8.36101078281247e-07	0	6	7.59042084716065	34.127499638306	0.180299864048321	7.63529383565262e-05	TRUE	FALSE	all_down
ENSMUSG00000025612	Bach1	6	-0.224691326299879	0.0456423772100114	-4.92286642446384	8.5285668932351e-07	2	4	45.1750845207688	88.9319520858864	1.33669286147602e-08	7.74479636030931e-05	TRUE	FALSE	mixed
ENSMUSG00000036078	Sigmar1	6	0.329381500801877	0.0670824798123752	4.91009726717219	9.1031228671658e-07	4	2	23.3348761175991	78.5728453204471	0.000291261531650665	8.1775974542485e-05	TRUE	FALSE	mixed
ENSMUSG00000063576	Klhdc3	6	0.2550960797233	0.0519539722580021	4.91003995722405	9.1057836925191e-07	5	1	33.517672981522	85.0824966197491	2.96976837275608e-06	8.1775974542485e-05	TRUE	FALSE	mixed
ENSMUSG00000090877	Hspa1b	6	-0.81071039710759	0.165322465401946	-4.90381264963911	9.39941437152504e-07	1	5	29.4777443308719	83.0380508634661	1.86834777421826e-05	8.39491651698569e-05	TRUE	FALSE	mixed
ENSMUSG00000027068	Dhrs9	6	0.620795373429081	0.126695479737916	4.89990151750692	9.58847058977533e-07	4	2	92.0505219140044	94.5682002708566	2.49124761634467e-18	8.47880067978386e-05	TRUE	FALSE	mixed
ENSMUSG00000057068	Fam47e	6	-0.486598777597485	0.0993116827903905	-4.89971334615799	9.59765810569197e-07	3	3	19.6853418090372	74.6003902370413	0.00143151748577566	8.47880067978386e-05	TRUE	FALSE	mixed
ENSMUSG00000002769	Gnmt	6	0.37341986788711	0.076244929740282	4.89763541207414	9.69967896246904e-07	4	2	29.5883553478282	83.1014602156081	1.77713122304138e-05	8.49286634150532e-05	TRUE	FALSE	mixed
ENSMUSG00000059839	Zfp874b	6	-0.23423554558191	0.0478364836152228	-4.89658787351522	9.75150524009179e-07	0	6	23.7470637383424	78.944765318809	0.000242806340263144	8.49286634150532e-05	TRUE	FALSE	all_down
