gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000056035	18	6	18	13
ENSMUSG00000020000	5	0	19	6
ENSMUSG00000037946	16	0	19	6
ENSMUSG00000001656	3	0	13	0
ENSMUSG00000053146	1	10	15	1
ENSMUSG00000073982	9	1	17	4
ENSMUSG00000024393	0	7	1	10
ENSMUSG00000025433	22	0	16	0
ENSMUSG00000086552	22	0	12	0
ENSMUSG00000070972	24	3	4	2
ENSMUSG00000036139	22	0	7	0
ENSMUSG00000073768	17	10	15	8
ENSMUSG00000003573	17	0	2	8
ENSMUSG00000115744	17	0	15	8
ENSMUSG00000019920	24	2	4	2
ENSMUSG00000094892	1	10	15	1
ENSMUSG00000027495	7	7	6	11
ENSMUSG00000045989	3	0	13	0
ENSMUSG00000087424	16	0	19	6
ENSMUSG00000050328	3	0	9	0
ENSMUSG00000022705	22	0	7	0
ENSMUSG00000034543	2	3	3	3
ENSMUSG00000094734	3	0	9	0
ENSMUSG00000071753	13	0	19	6
ENSMUSG00000020919	0	7	1	10
ENSMUSG00000036214	20	1	3	3
ENSMUSG00000079069	3	0	13	0
ENSMUSG00000103116	3	0	9	0
ENSMUSG00000097368	10	10	2	12
ENSMUSG00000039230	2	3	4	2
ENSMUSG00000035713	17	10	15	8
ENSMUSG00000059995	2	3	3	3
ENSMUSG00000033831	18	6	18	13
ENSMUSG00000029730	9	1	3	4
ENSMUSG00000019841	15	2	4	2
ENSMUSG00000040543	1	0	0	1
ENSMUSG00000091537	23	2	4	2
ENSMUSG00000026420	3	0	14	0
ENSMUSG00000027550	21	1	17	4
ENSMUSG00000073971	22	0	7	0
ENSMUSG00000028607	6	2	8	9
ENSMUSG00000039210	12	8	1	7
ENSMUSG00000032231	12	5	1	7
ENSMUSG00000078593	3	0	14	0
ENSMUSG00000028165	0	7	6	10
ENSMUSG00000075273	20	1	17	3
ENSMUSG00000049618	22	0	16	0
ENSMUSG00000002496	15	2	4	2
ENSMUSG00000055692	1	0	15	1
ENSMUSG00000031160	3	0	9	0
ENSMUSG00000030983	15	2	4	2
ENSMUSG00000078640	22	0	7	0
ENSMUSG00000046675	14	4	5	5
ENSMUSG00000051811	22	0	0	0
ENSMUSG00000028651	8	4	5	5
ENSMUSG00000024425	6	2	8	9
ENSMUSG00000046613	22	0	12	0
ENSMUSG00000070501	17	10	15	8
ENSMUSG00000049612	13	0	19	6
ENSMUSG00000091996	13	0	0	1
ENSMUSG00000078038	3	0	11	0
ENSMUSG00000042216	14	0	5	5
ENSMUSG00000069036	22	0	12	0
ENSMUSG00000079407	22	0	7	0
ENSMUSG00000021823	0	9	1	10
ENSMUSG00000033808	12	8	1	7
ENSMUSG00000051098	8	4	5	5
ENSMUSG00000061633	3	0	9	0
ENSMUSG00000056870	16	0	19	6
ENSMUSG00000030093	3	0	9	0
ENSMUSG00000000194	24	3	4	2
ENSMUSG00000043207	15	2	4	2
ENSMUSG00000005667	17	0	15	8
ENSMUSG00000073830	5	6	6	13
ENSMUSG00000039703	15	2	4	2
ENSMUSG00000031068	6	2	8	9
ENSMUSG00000051154	7	7	6	11
ENSMUSG00000025487	15	2	4	2
ENSMUSG00000005354	6	2	8	9
ENSMUSG00000025892	1	0	15	1
ENSMUSG00000074071	12	8	1	7
ENSMUSG00000057182	16	0	19	6
ENSMUSG00000020390	18	7	6	11
ENSMUSG00000031131	22	0	12	0
ENSMUSG00000094612	22	0	16	0
ENSMUSG00000031283	17	10	15	8
ENSMUSG00000109219	3	0	11	0
ENSMUSG00000038429	15	2	4	2
ENSMUSG00000034810	17	10	2	8
