gene_id	x	y	consensus
ENSMUSG00000020919	82.75281	63.686623	5
ENSMUSG00000036214	24.809391	14.491218	6
ENSMUSG00000097368	14.184048	-71.43852	0
ENSMUSG00000039230	2.6331742	71.91534	4
ENSMUSG00000035713	-48.545372	-4.5749116	3
ENSMUSG00000059995	27.515018	2.0679126	6
ENSMUSG00000033831	68.3531	-68.315254	10
ENSMUSG00000029730	32.582367	-6.5092273	6
ENSMUSG00000019841	68.37171	64.44382	5
ENSMUSG00000040543	13.345121	-88.47293	0
ENSMUSG00000091537	57.010006	25.582304	5
ENSMUSG00000027550	-35.974358	11.230077	1
ENSMUSG00000028607	91.60497	3.2962606	7
ENSMUSG00000039210	45.65942	6.3443666	2
ENSMUSG00000032231	7.8199744	37.371613	2
ENSMUSG00000028165	47.51417	49.31302	5
ENSMUSG00000075273	-10.203733	4.732275	6
ENSMUSG00000002496	72.061615	67.44365	5
ENSMUSG00000055692	26.644455	-66.73464	0
ENSMUSG00000030983	72.14999	13.084343	7
ENSMUSG00000078640	-38.254417	-40.11581	0
ENSMUSG00000046675	-29.311438	54.25687	1
ENSMUSG00000051811	-7.7168155	-80.16051	0
ENSMUSG00000028651	1.38753	-2.9067926	6
ENSMUSG00000024425	69.819176	-13.481402	7
ENSMUSG00000046613	-29.01796	-120.07252	12
ENSMUSG00000070501	25.782503	-62.32097	0
ENSMUSG00000091996	-6.3971124	-66.42965	0
ENSMUSG00000042216	-67.82953	48.675865	8
ENSMUSG00000079407	46.301132	-49.797493	11
ENSMUSG00000021823	58.062817	68.55086	4
ENSMUSG00000033808	15.14918	1.7040575	6
ENSMUSG00000051098	-20.87635	-1.4488078	1
ENSMUSG00000056870	-65.80187	3.2136014	3
ENSMUSG00000030093	-67.094376	-84.44009	9
ENSMUSG00000000194	14.602381	53.236477	2
ENSMUSG00000043207	90.05283	40.403378	5
ENSMUSG00000005667	-25.08224	-27.268208	3
ENSMUSG00000073830	-57.21149	33.168095	1
ENSMUSG00000039703	89.97843	26.516438	5
ENSMUSG00000031068	69.774506	13.546556	5
ENSMUSG00000051154	59.20917	23.941431	5
ENSMUSG00000025487	51.156075	53.061073	5
ENSMUSG00000005354	81.29728	-3.987047	7
ENSMUSG00000025892	5.838963	-39.15106	0
ENSMUSG00000074071	7.0227304	50.59869	2
ENSMUSG00000057182	-0.9740719	-38.59683	0
ENSMUSG00000020390	62.960308	32.245766	5
ENSMUSG00000031283	-51.470543	2.6173062	3
ENSMUSG00000038429	79.04018	43.012188	5
ENSMUSG00000034810	-65.96274	11.016776	8
ENSMUSG00000018733	13.983647	-5.301078	6
ENSMUSG00000022037	71.87443	-62.82621	10
ENSMUSG00000085260	-48.59682	-41.278408	0
ENSMUSG00000029610	-23.83065	18.67785	1
ENSMUSG00000042185	24.229092	-0.51829946	6
ENSMUSG00000006021	1.9159707	9.63397	6
ENSMUSG00000046408	-50.45878	-44.42612	0
ENSMUSG00000020599	-39.72805	-16.12951	3
ENSMUSG00000030775	7.0419607	-67.468124	0
ENSMUSG00000015149	-1.4508467	102.87888	4
ENSMUSG00000046434	58.668854	66.12045	4
ENSMUSG00000031377	11.904421	-49.208565	0
ENSMUSG00000031774	48.149082	5.2422705	2
ENSMUSG00000050627	59.769054	55.410988	5
ENSMUSG00000031878	-8.441023	58.628983	4
ENSMUSG00000030322	-80.97105	4.538966	3
ENSMUSG00000020696	14.969734	54.881466	2
ENSMUSG00000097162	-28.330975	58.648045	1
ENSMUSG00000045201	-72.69493	-69.33801	9
ENSMUSG00000059479	25.158428	-64.64567	0
ENSMUSG00000077239	5.5333233	-64.14432	0
ENSMUSG00000031755	-62.480663	52.204964	1
ENSMUSG00000038379	26.209349	-31.327028	0
ENSMUSG00000002109	-57.36047	51.230892	1
ENSMUSG00000041840	-56.83866	59.298477	1
ENSMUSG00000021555	5.1327834	82.79944	4
ENSMUSG00000022814	63.4022	42.57856	5
ENSMUSG00000028782	-17.115534	-68.68195	0
ENSMUSG00000095028	-32.505455	-72.34592	0
ENSMUSG00000057223	-61.762547	-92.9064	9
ENSMUSG00000034413	-56.137295	-22.188906	3
ENSMUSG00000087579	66.54977	-13.257728	7
ENSMUSG00000025127	71.85746	-13.719323	7
ENSMUSG00000030222	-70.03459	-4.649185	3
ENSMUSG00000040133	-57.153908	-52.803814	0
ENSMUSG00000027845	-50.94525	28.476068	1
ENSMUSG00000028003	69.97677	30.979012	5
ENSMUSG00000030054	16.017073	-89.86405	0
ENSMUSG00000034227	23.691816	-73.1493	0
ENSMUSG00000003435	75.54233	62.73632	5
ENSMUSG00000049280	-21.414162	-105.7483	12
ENSMUSG00000022309	-82.020294	57.77012	8
ENSMUSG00000093460	44.4684	-50.380306	11
ENSMUSG00000029684	97.118004	14.944777	7
ENSMUSG00000027531	76.77083	50.816505	5
ENSMUSG00000031565	-73.18506	-3.0835838	3
ENSMUSG00000070047	95.56426	4.2981777	7
ENSMUSG00000030057	73.48506	-32.877052	10
ENSMUSG00000024353	3.044809	-48.733227	0
ENSMUSG00000060002	69.80107	-6.970616	7
ENSMUSG00000034471	20.183357	0.81029516	6
ENSMUSG00000028246	-16.08146	-85.35277	0
ENSMUSG00000022749	-1.3579801	81.60919	4
ENSMUSG00000029919	-74.987206	-6.3072896	3
ENSMUSG00000000739	-100.16418	24.93357	8
ENSMUSG00000037020	-94.095825	31.550531	8
ENSMUSG00000035933	-3.5953972	102.9821	4
ENSMUSG00000059639	-87.985504	-40.22011	9
ENSMUSG00000028359	-12.1172905	-0.14446627	6
ENSMUSG00000021464	-30.371693	-64.20552	0
ENSMUSG00000044338	19.793337	-93.41161	0
ENSMUSG00000002633	1.8878982	-67.42512	0
ENSMUSG00000067713	-0.042232353	54.307808	2
ENSMUSG00000021591	49.04026	67.42081	4
ENSMUSG00000069184	-27.25858	27.65882	1
ENSMUSG00000027171	-39.717117	-64.95458	0
ENSMUSG00000031539	-81.11457	56.811382	8
ENSMUSG00000022221	-74.06401	4.1202874	3
ENSMUSG00000025410	82.538635	17.110481	7
ENSMUSG00000027332	94.89637	0.15202123	7
ENSMUSG00000025268	13.825782	2.9972274	6
ENSMUSG00000026519	46.591476	6.8169823	2
ENSMUSG00000043323	-20.530909	-12.791398	1
ENSMUSG00000060803	62.547745	-21.38831	10
ENSMUSG00000026117	-9.029992	41.22908	2
ENSMUSG00000098912	5.685976	-84.716576	0
ENSMUSG00000062175	-43.174675	-16.155884	3
ENSMUSG00000028035	-4.134171	92.2747	4
ENSMUSG00000039656	30.760284	20.665249	6
ENSMUSG00000024955	-2.9145992	38.168888	2
ENSMUSG00000018921	-21.261217	-15.68347	1
ENSMUSG00000032257	-18.74589	-111.437904	12
ENSMUSG00000015342	-19.24924	-16.031881	1
ENSMUSG00000047904	-12.596104	-64.86865	0
ENSMUSG00000001348	77.41824	35.900734	5
ENSMUSG00000027965	-21.570942	31.530083	1
ENSMUSG00000031891	-64.48277	-102.63951	11
ENSMUSG00000069089	3.4035685	31.421244	2
ENSMUSG00000027186	-63.328976	-85.10518	11
ENSMUSG00000030934	66.708595	-53.422047	10
ENSMUSG00000040037	-17.146784	-64.27809	0
ENSMUSG00000055720	31.556395	57.833385	2
ENSMUSG00000050213	-6.6319	0.05282102	6
ENSMUSG00000054423	-47.25179	-40.130173	0
ENSMUSG00000053914	-52.53141	-73.67974	9
ENSMUSG00000097520	-101.16391	-32.954468	9
ENSMUSG00000019944	95.59434	33.18705	5
ENSMUSG00000034893	16.763802	45.565315	2
ENSMUSG00000034269	81.4954	62.308697	5
ENSMUSG00000044339	-80.58282	65.184875	8
ENSMUSG00000027575	27.753613	41.43877	2
ENSMUSG00000085162	-101.342186	-33.464516	9
ENSMUSG00000040247	-53.1804	-7.3502207	3
ENSMUSG00000090862	64.47073	-7.046321	7
ENSMUSG00000023106	47.436756	71.60586	4
ENSMUSG00000054598	11.055917	-81.295334	0
ENSMUSG00000006276	39.994167	10.314348	6
ENSMUSG00000047502	-15.945696	-65.49418	0
ENSMUSG00000059689	12.141914	8.734274	6
ENSMUSG00000036737	-4.6801744	101.580124	4
ENSMUSG00000033379	58.12419	26.445711	5
ENSMUSG00000040749	-67.29584	-2.0712817	3
ENSMUSG00000039936	-53.598362	55.606186	1
ENSMUSG00000060450	72.250984	32.923634	5
ENSMUSG00000027530	26.810614	-34.954544	0
ENSMUSG00000041135	-22.2782	32.42765	1
ENSMUSG00000018340	88.76175	-8.944124	7
ENSMUSG00000017299	-5.7903376	-14.596523	6
ENSMUSG00000057230	6.968341	95.59451	4
ENSMUSG00000041079	-16.162106	-3.3318117	1
ENSMUSG00000030127	55.601795	67.960495	4
ENSMUSG00000066149	-6.2775135	43.36127	2
ENSMUSG00000032563	1.2757105	46.677116	2
ENSMUSG00000027244	26.549957	71.1555	2
ENSMUSG00000038762	72.59681	68.017006	5
ENSMUSG00000027784	19.126974	74.37663	4
ENSMUSG00000026792	34.638374	2.2100935	6
ENSMUSG00000059201	3.9743428	-57.420544	0
ENSMUSG00000022724	23.212757	15.452289	6
ENSMUSG00000078716	-50.94114	-23.704096	3
ENSMUSG00000054901	-59.66768	-67.31351	9
ENSMUSG00000020524	-33.273647	-59.77573	0
ENSMUSG00000017774	72.88903	39.985664	5
ENSMUSG00000077457	7.4970417	-58.61749	0
ENSMUSG00000059031	27.0732	-64.40602	0
ENSMUSG00000032192	-42.972748	-7.472441	3
ENSMUSG00000031410	-31.180485	-81.7861	0
ENSMUSG00000002910	-44.968304	19.81728	1
ENSMUSG00000023947	-46.876965	39.735657	1
ENSMUSG00000031125	-21.514711	-62.776443	0
ENSMUSG00000039477	16.654102	91.81438	4
ENSMUSG00000022707	77.507065	-5.0514393	7
ENSMUSG00000052364	-4.742958	-40.652668	0
ENSMUSG00000034730	-54.712276	-48.67617	0
ENSMUSG00000031753	78.34716	27.6742	5
ENSMUSG00000036169	46.301132	-49.797493	11
ENSMUSG00000022706	-10.797958	61.23006	4
ENSMUSG00000006575	7.5438075	-38.897095	0
ENSMUSG00000025236	21.738708	20.562508	2
ENSMUSG00000061981	8.7050705	98.92016	4
ENSMUSG00000005089	86.64189	-22.967873	7
ENSMUSG00000069917	81.89109	-33.239887	10
ENSMUSG00000042345	20.343672	-40.40916	0
ENSMUSG00000035642	1.356763	30.080278	2
ENSMUSG00000021294	-85.38778	2.3698933	3
ENSMUSG00000026333	6.2367973	0.33670977	6
ENSMUSG00000024558	-53.967922	-24.883121	3
ENSMUSG00000039725	-27.708809	34.183525	1
ENSMUSG00000085886	-17.092312	-63.750072	0
ENSMUSG00000038517	-58.002327	50.253796	1
ENSMUSG00000039555	46.301132	-49.797493	11
ENSMUSG00000037962	-37.595085	-48.17419	0
ENSMUSG00000050973	-31.685966	32.643143	1
ENSMUSG00000001420	-65.99549	-8.580046	3
ENSMUSG00000018470	-9.67775	-34.630573	0
ENSMUSG00000050217	-62.594563	-101.95887	9
ENSMUSG00000029716	81.855354	-35.111485	10
ENSMUSG00000078453	-15.83778	20.163345	1
ENSMUSG00000028538	68.27981	64.253685	5
ENSMUSG00000026766	49.59546	50.80626	5
ENSMUSG00000101655	-49.03013	73.89716	8
ENSMUSG00000001155	75.409966	-30.049183	10
ENSMUSG00000023092	-9.8821535	13.096162	1
ENSMUSG00000030607	44.4684	-50.380306	11
ENSMUSG00000025949	70.33142	47.957558	5
ENSMUSG00000024182	18.235231	73.5595	2
ENSMUSG00000042750	3.686603	-88.857475	0
ENSMUSG00000033033	-78.66775	15.624067	3
ENSMUSG00000047669	-55.724102	-1.7254654	3
ENSMUSG00000031168	71.89452	-20.24976	7
ENSMUSG00000111564	-15.733189	-81.586044	0
ENSMUSG00000045438	-4.743544	38.054024	2
ENSMUSG00000030002	55.136944	65.19925	4
ENSMUSG00000032594	70.117226	46.15466	5
ENSMUSG00000033214	-84.70887	-52.934452	9
ENSMUSG00000075269	-70.0019	-92.033875	11
ENSMUSG00000097756	-95.08089	-37.65823	9
ENSMUSG00000041642	-47.953735	39.833027	1
ENSMUSG00000112880	-82.811005	64.02798	8
ENSMUSG00000056832	-70.68368	-6.7728925	3
ENSMUSG00000031616	-21.34837	3.7920055	1
ENSMUSG00000090291	-56.184765	-51.462704	0
ENSMUSG00000027233	-41.82059	-62.55642	0
ENSMUSG00000106053	5.441318	-79.872795	0
ENSMUSG00000029408	-86.393394	8.482065	3
ENSMUSG00000037331	94.02365	-19.992722	7
ENSMUSG00000043687	-81.54318	65.73966	8
ENSMUSG00000033902	-3.7173412	-14.94663	6
ENSMUSG00000041248	-83.100006	-50.445374	9
ENSMUSG00000046062	81.06024	-7.293137	7
ENSMUSG00000054619	71.226746	-18.233528	7
ENSMUSG00000024563	2.8193502	69.45443	2
ENSMUSG00000054679	-36.661	-57.322304	0
ENSMUSG00000045678	46.301132	-49.797493	11
ENSMUSG00000061601	-9.278622	-28.45211	0
ENSMUSG00000086628	-3.729322	33.22053	2
ENSMUSG00000027962	3.3948245	31.139	2
ENSMUSG00000022132	-17.476072	-69.46068	0
ENSMUSG00000103906	-88.21242	21.67641	3
ENSMUSG00000071424	44.4684	-50.380306	11
ENSMUSG00000015968	-73.75986	41.37647	8
ENSMUSG00000050198	45.471127	-49.20001	11
ENSMUSG00000000171	60.65289	-22.752872	10
ENSMUSG00000030785	4.4504733	-71.2716	0
ENSMUSG00000049823	-93.59404	22.491062	3
ENSMUSG00000026134	-66.317924	45.962234	1
ENSMUSG00000015247	65.86923	31.07648	5
ENSMUSG00000009614	73.32614	-59.321144	10
ENSMUSG00000020402	81.00632	-9.572004	7
ENSMUSG00000026220	-31.085295	-102.45999	12
ENSMUSG00000002014	58.446693	23.956917	5
ENSMUSG00000061979	2.5576687	-4.6198316	6
ENSMUSG00000035235	-78.83615	24.571903	8
ENSMUSG00000027801	69.33669	3.3990526	7
