gene_id	x	y	consensus
ENSMUSG00000073982	-0.08963907	-0.026177406	6
ENSMUSG00000024393	0.1576466	0.08511114	7
ENSMUSG00000025433	-0.115855634	-0.041644573	0
ENSMUSG00000070972	-0.026722431	0.018945456	4
ENSMUSG00000036139	-0.11595911	-0.04173827	11
ENSMUSG00000003573	-0.11242294	-0.03895104	3
ENSMUSG00000019920	-0.0071001053	0.03420639	4
ENSMUSG00000027495	0.21547773	0.12603736	7
ENSMUSG00000087424	-0.11350614	-0.039626718	3
ENSMUSG00000034543	-0.06029606	-0.0068409443	2
ENSMUSG00000071753	-0.11585796	-0.04168105	0
ENSMUSG00000020919	0.07981396	0.061380625	5
ENSMUSG00000036214	-0.073272586	-0.011728525	6
ENSMUSG00000097368	-0.115520954	-0.041384816	0
ENSMUSG00000039230	-0.034647346	0.012348652	4
ENSMUSG00000035713	-0.113833666	-0.039959073	3
ENSMUSG00000059995	-0.075131536	-0.014669776	6
ENSMUSG00000033831	2.0397742	-2.2639046	10
ENSMUSG00000029730	-0.07567829	-0.017181039	6
ENSMUSG00000019841	0.040925443	0.05190921	5
ENSMUSG00000040543	-0.11552775	-0.041460276	0
ENSMUSG00000091537	0.071235895	0.12517142	5
ENSMUSG00000027550	-0.09456539	-0.027802348	1
ENSMUSG00000028607	0.23550007	0.14958882	7
ENSMUSG00000039210	-0.06429374	-0.009928703	2
ENSMUSG00000032231	-0.06181854	2.3841858e-07	2
ENSMUSG00000028165	0.0014719963	0.04596591	5
ENSMUSG00000075273	-0.090636015	-0.023174286	6
ENSMUSG00000002496	0.045690656	0.050483227	5
ENSMUSG00000055692	-0.115344346	-0.041310668	0
ENSMUSG00000030983	0.15191543	0.13833642	7
ENSMUSG00000078640	-0.11592066	-0.041683674	0
ENSMUSG00000046675	-0.10274458	-0.030607224	1
ENSMUSG00000051811	-0.11570573	-0.0415442	0
ENSMUSG00000028651	-0.08608341	-0.020741463	6
ENSMUSG00000024425	0.3928011	0.2720542	7
ENSMUSG00000046613	-0.115955055	-0.041734576	12
ENSMUSG00000070501	-0.11529815	-0.041257977	0
ENSMUSG00000091996	-0.1157527	-0.041534305	0
ENSMUSG00000042216	-0.10632527	-0.035249114	8
ENSMUSG00000079407	-0.11595911	-0.04173827	11
ENSMUSG00000021823	0.02629733	0.047136307	4
ENSMUSG00000033808	-0.08032435	-0.016415834	6
ENSMUSG00000051098	-0.09238392	-0.025498629	1
ENSMUSG00000056870	-0.112989604	-0.03915739	3
ENSMUSG00000030093	-0.11594111	-0.041730165	9
ENSMUSG00000000194	-0.050899148	0.0017368793	2
ENSMUSG00000043207	0.10001415	0.07813668	5
ENSMUSG00000005667	-0.114228964	-0.040625453	3
ENSMUSG00000073830	-0.10108018	-0.035457373	1
ENSMUSG00000039703	0.13244113	0.0974884	5
ENSMUSG00000031068	0.13179249	0.13587427	5
ENSMUSG00000051154	0.123651505	0.14454198	5
ENSMUSG00000025487	0.01425761	0.050787926	5
ENSMUSG00000005354	0.28136665	0.19141507	7
ENSMUSG00000025892	-0.11493033	-0.040931463	0
ENSMUSG00000074071	-0.051080227	0.004433155	2
ENSMUSG00000057182	-0.11476302	-0.04077339	0
ENSMUSG00000020390	0.07319558	0.09712434	5
ENSMUSG00000031283	-0.113583446	-0.039440632	3
ENSMUSG00000038429	0.079708874	0.07865429	5
ENSMUSG00000034810	-0.11308873	-0.038543463	8
ENSMUSG00000018733	-0.0813455	-0.017929792	6
ENSMUSG00000022037	2.0093384	-0.34572816	10
ENSMUSG00000085260	-0.11592209	-0.04169786	0
ENSMUSG00000029610	-0.09588879	-0.026958704	1
ENSMUSG00000042185	-0.07694805	-0.01581633	6
ENSMUSG00000006021	-0.08654785	-0.018535137	6
ENSMUSG00000046408	-0.11591405	-0.041695595	0
ENSMUSG00000020599	-0.11405939	-0.04038191	3
ENSMUSG00000030775	-0.11559683	-0.04140055	0
ENSMUSG00000015149	-0.002935946	0.028640747	4
ENSMUSG00000046434	0.030501664	0.050852537	4
ENSMUSG00000031377	-0.115202785	-0.041104555	0
ENSMUSG00000031774	-0.06196344	-0.009216785	2
ENSMUSG00000050627	0.034900665	0.058159113	5
ENSMUSG00000031878	-0.037751913	0.017939568	4
ENSMUSG00000030322	-0.11177367	-0.038612127	3
ENSMUSG00000020696	-0.049364805	0.0021579266	2
ENSMUSG00000097162	-0.10454661	-0.03115201	1
ENSMUSG00000045201	-0.115927696	-0.041722655	9
ENSMUSG00000059479	-0.11534369	-0.04128921	0
ENSMUSG00000077239	-0.11562312	-0.041397452	0
ENSMUSG00000031755	-0.1058048	-0.034816146	1
ENSMUSG00000038379	-0.115054905	-0.041278124	0
ENSMUSG00000002109	-0.104896426	-0.034131408	1
ENSMUSG00000041840	-0.10585177	-0.034306407	1
ENSMUSG00000021555	-0.02570653	0.014923573	4
ENSMUSG00000022814	0.05484867	0.08103132	5
ENSMUSG00000028782	-0.115787566	-0.041590333	0
ENSMUSG00000095028	-0.115810394	-0.041638255	0
ENSMUSG00000057223	-0.11594677	-0.041732788	9
ENSMUSG00000034413	-0.113179505	-0.040011406	3
ENSMUSG00000087579	0.4339675	0.3040607	7
ENSMUSG00000025127	0.3635413	0.24855042	7
ENSMUSG00000030222	-0.112648964	-0.039229035	3
ENSMUSG00000040133	-0.115909874	-0.041702986	0
ENSMUSG00000027845	-0.09987116	-0.032380104	1
ENSMUSG00000028003	0.099473715	0.10479927	5
ENSMUSG00000030054	-0.11547488	-0.041433454	0
ENSMUSG00000034227	-0.11545354	-0.041387558	0
ENSMUSG00000003435	0.05830747	0.058356047	5
ENSMUSG00000049280	-0.11595422	-0.041736484	12
ENSMUSG00000022309	-0.10866588	-0.03644061	8
ENSMUSG00000093460	-0.11595911	-0.04173827	11
ENSMUSG00000029684	0.18452746	0.11098528	7
ENSMUSG00000027531	0.06090033	0.06782055	5
ENSMUSG00000031565	-0.11235535	-0.039036036	3
ENSMUSG00000070047	0.23082587	0.13631964	7
ENSMUSG00000030057	0.758812	0.32296348	10
ENSMUSG00000024353	-0.11514628	-0.04092157	0
ENSMUSG00000060002	0.3164237	0.24264193	7
ENSMUSG00000034471	-0.07840955	-0.015791893	6
ENSMUSG00000028246	-0.11570507	-0.04157591	0
