sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	z_0	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32	z_33	z_34	z_35	z_36	z_37	z_38	z_39	z_40	z_41	z_42	z_43	z_44	z_45	z_46	z_47	z_48	z_49	z_50	z_51	z_52	z_53	z_54	z_55	z_56	z_57	z_58	z_59	z_60	z_61	z_62	z_63
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI9	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-2.6071	-0.7676	2.8188	3.2523	-1.0302	0.6906	0.9482	0.2282	2.4933	-0.2472	-1.2799	-2.3375	-1.4889	2.8152	-0.3596	2.1514	-0.9173	3.7247	-5.5215	-0.4335	0.3897	-3.9667	-0.7053	2.4232	2.1878	2.3315	-4.2133	2.1325	-1.5865	-2.1024	-2.6341	-2.7198	3.6191	-1.8738	3.6392	4.4932	2.5774	-2.2442	1.8205	-2.5475	-0.711	4.4548	-1.7447	0.5426	4.4846	0.3309	-1.2151	0.1292	0.1388	0.019	0.5611	2.9515	-1.7675	-1.893	0.589	0.5457	-4.0616	-1.1985	0.6298	-0.9094	-2.1052	-0.2642	2.3294	-4.2216
OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.9863	1.4411	-0.286	-1.6517	-2.377	2.0936	-5.1585	-1.7436	-3.0799	-1.6743	5.1672	0.2934	3.7729	3.5138	-0.3659	-1.4335	1.3107	-4.8539	3.3039	0.1334	5.4302	2.693	-2.199	0.5577	5.789	2.2916	4.3171	-2.3165	1.4089	-1.554	1.1797	-1.1402	0.5948	4.4625	1.6916	-1.1271	2.6513	1.7699	-1.1415	2.8212	2.1191	-0.4255	-1.5202	0.5537	-2.3064	-2.4178	-5.816	0.565	0.82	2.1596	1.1413	-0.3089	3.5152	1.7656	-2.1108	3.3367	2.1258	-5.0704	4.6151	2.3583	-0.868	4.5289	3.1861	4.9431
OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.2697	2.0706	-0.8472	-4.196	-1.5779	1.7687	-3.5149	-0.1119	-1.9127	-2.2955	3.2973	0.0379	1.8932	2.16	-0.3468	-1.8253	0.2311	-5.748	1.8083	0.6428	5.7038	2.9517	-2.394	-0.3724	4.7959	1.9561	3.1026	-2.1591	1.142	-3.5337	2.2788	-0.9739	0.2941	3.4865	1.183	0.2031	3.2998	2.6918	-2.4753	1.8916	0.0549	-0.2671	-0.0588	-2.7868	-2.7795	-2.3544	-5.3094	1.1954	0.0626	-1.874	0.853	-1.3865	3.144	0.9457	-1.6887	3.5111	-0.4742	-5.0236	3.0008	2.7958	-0.4346	2.1174	2.3198	3.5818
OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	2.0978	2.6524	-0.8337	-2.8977	-0.5109	2.2859	-3.145	0.0334	-3.5055	-2.0131	3.8043	0.0221	3.4501	-0.8107	0.7483	-2.9559	-0.2162	-5.6012	2.575	0.6604	3.4504	1.4718	-1.3968	1.4682	5.3997	0.9008	4.6153	-2.7325	2.9462	-0.1085	2.8252	-0.4754	0.1517	4.5123	1.1239	-1.4517	2.6313	3.0618	-2.741	4.0083	1.216	-2.2955	-1.4794	-0.6493	-3.2601	-3.3811	-4.9426	1.5186	1.3859	-0.5203	0.2811	-2.0018	3.9318	3.5329	-2.1003	2.6211	-0.41	-3.7717	2.2502	2.4476	1.4691	2.176	1.2619	3.8427
OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.0977	2.1968	-0.2607	-1.8983	-1.658	3.2912	-2.6499	-0.058	-0.7723	-2.9875	2.2346	-1.4346	2.0669	0.9409	0.7814	-3.0968	1.4133	-1.1749	1.2271	1.2142	3.4791	0.844	-1.2802	1.2292	4.287	0.9231	3.5256	-1.4837	-0.0787	-2.3867	1.0271	-2.1006	0.6828	3.3911	1.5547	-1.7005	3.1565	0.5547	-1.8979	2.6648	-0.9336	0.4418	-0.5699	-0.7668	-1.9827	-4.2706	-4.5331	0.6847	-0.0615	-0.7429	-0.2645	-0.3808	2.0632	1.3215	-1.8795	3.1311	-1.1589	-3.9303	1.8055	2.1003	1.9549	2.302	1.0788	1.8748
OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.4412	2.1043	0.3341	-2.1012	-1.2535	3.2473	-3.0357	-0.4795	-1.7959	-2.1379	2.5585	-1.1836	1.6138	1.1168	1.0556	-1.3495	-0.2371	-1.8278	0.4796	2.8035	4.1107	2.1885	-0.9533	0.5388	4.4353	1.4692	2.9986	-0.7009	0.2229	-1.4649	0.1229	-1.7564	-0.3424	1.9298	0.214	-0.1042	2.7151	0.1588	0.3732	2.0168	-0.4144	0.2733	-1.0656	0.9859	-1.6316	-2.2601	-4.3372	0.935	-0.8469	0.2645	0.3397	0.2335	1.6107	2.4937	-1.2725	2.3481	-0.6128	-2.7202	2.6686	2.9692	1.5986	2.6631	1.8189	1.4416
OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.1826	1.6932	0.7531	-0.4103	-1.5255	1.8861	-2.193	0.8286	-0.9599	-2.0081	2.8792	-1.6889	1.6086	1.4696	0.4275	-0.9741	1.3169	-3.4357	1.3729	1.3235	2.8824	0.7415	-1.4173	0.4249	5.6196	1.4441	2.3773	-1.5469	1.761	-1.3132	2.5397	-1.7743	1.0806	3.2826	0.5769	0.3655	2.3566	1.034	-0.6036	-0.8548	0.5194	-0.9085	-0.0156	-1.4789	0.0413	-2.5464	-4.3071	0.0576	0.8864	0.8043	-0.0848	0.1272	0.7537	1.7668	-0.5182	1.1364	-3.6161	-3.1361	2.3852	1.9928	0.4132	1.764	2.9495	3.3689
OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	3.0269	2.2934	-1.8325	-2.8676	-0.9755	1.388	-5.9827	-0.5341	-3.1214	-2.8043	4.3549	1.0486	3.9983	0.6255	0.5915	-2.1531	1.1385	-8.6544	3.1807	1.8018	5.4787	1.8403	-0.9296	-2.1464	6.5738	0.994	6.0155	-4.3384	0.8571	-1.7609	2.7585	-2.3898	0.0396	5.2088	0.7774	-2.1496	3.836	3.8674	-4.0754	4.1976	1.0696	-1.5594	-0.1978	-1.9346	-2.8581	-3.5727	-5.1299	2.5395	-0.1633	1.0722	1.3184	-1.097	5.0556	3.2333	-3.4104	2.6899	1.4943	-3.9447	4.2143	3.4068	0.026	3.9779	2.2589	6.051
OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-6.8105	-4.6177	4.9057	3.5757	-2.969	0.7271	5.0036	-0.3663	9.6126	2.1713	-1.6774	-3.152	-7.3366	4.6013	-3.0173	5.8484	-2.511	5.7359	-5.7875	-2.1224	-0.7396	-2.8642	-4.0366	2.648	1.7473	1.5529	-9.1201	5.2225	-2.3936	-1.3202	-3.0625	1.1392	4.6702	-4.7662	4.605	7.3495	2.7925	-4.9698	3.6025	-3.7883	1.5096	6.5834	0.6135	-0.2658	6.7163	5.9251	-0.5881	-1.9253	0.6015	-5.1645	-3.404	4.3154	-4.5083	-4.9079	6.3109	-0.588	-2.9143	-0.4198	0.0101	-3.5733	-1.7011	-1.4053	3.4098	-8.5301
OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-1.8991	1.8146	2.0016	0.1214	-1.2217	2.0738	-1.5576	0.4347	0.7742	-1.2181	-0.3551	-1.3103	0.3282	2.3808	0.0005	-1.3151	-0.7302	-2.0564	-0.1696	0.9765	2.4376	0.0648	-2.2714	1.0111	4.4192	1.3127	-1.8271	1.3261	0.3458	-3.1604	-1.325	-2.0809	2.928	1.6041	3.0483	1.4104	4.5718	-1.6314	-0.4142	0.0677	0.4659	2.7914	-0.0791	0.1138	1.9573	0.9234	-2.959	-0.8421	0.6578	-2.7919	-0.1449	1.7848	-0.9422	-1.2142	1.5736	2.2272	-1.7491	-2.1822	0.8133	-1.5567	-1.8479	0.3659	3.134	-2.0505
OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-0.1759	1.7903	0.6083	-1.8801	-2.9528	2.3214	-3.4866	-1.481	-0.1643	-1.568	3.4976	-2.9387	2.6611	1.1082	-0.3553	-2.2494	0.638	-3.9477	1.6507	0.3549	4.6301	0.8976	-2.8328	-1.2933	5.964	1.5391	1.9271	-0.2843	1.9259	-3.8369	1.6158	-1.1817	1.048	3.3274	3.4957	-0.6713	4.1268	1.0244	-0.4677	2.0183	0.5101	0.2617	-0.5843	0.1747	-1.3915	-2.1045	-6.1833	0.8728	-0.4394	0.8454	0.4261	0.6942	1.6915	2.0253	-1.5545	4.1281	-0.6684	-6.1303	4.8671	0.2585	-0.3905	4.174	3.1443	1.0402
OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	1.5421	1.5842	1.301	0.1014	-1.2593	2.6392	-4.9983	0.0641	-1.3666	-0.3966	4.4868	-2.0366	2.5083	1.2701	-0.6765	-3.0074	0.0443	-4.0703	3.2615	1.5491	3.2263	1.9692	-0.113	-0.3285	3.9742	2.0365	4.1089	-2.9826	2.6369	-2.6346	1.7211	-2.4367	-0.6036	3.5527	0.4481	-1.4957	2.0686	2.269	-1.6201	2.3632	0.6575	-0.2813	-1.1049	-0.5008	-3.7855	-3.9986	-5.8138	2.1973	-0.0222	1.7416	0.5	0.1521	3.1484	2.1797	-0.9953	3.2376	-2.3016	-4.6406	3.6703	1.7828	0.1502	2.3445	2.554	3.7781
OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.9389	0.7783	0.675	-1.5142	-0.8397	1.198	-4.102	0.3694	-3.724	-1.5867	4.4175	-0.2363	4.2528	1.4101	-0.4853	-3.7191	1.8897	-5.1642	3.8309	2.1718	5.3969	2.7305	0.1292	-0.6076	4.5549	0.8132	5.6037	-2.932	1.8713	-3.1855	1.2525	-1.5328	-0.3694	3.8193	-0.4553	-2.1798	1.6464	2.6498	-3.7328	2.5642	-1.2454	-1.0452	-1.6874	0.65	-3.0654	-4.5119	-4.233	1.4979	-0.9129	0.8173	1.6709	-0.1652	5.0414	3.8646	-2.6359	1.7335	-0.8288	-4.6024	3.8086	3.5672	0.5026	2.8616	0.8808	4.2649
OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	1.9129	2.7564	0.4608	-1.8712	-2.1822	2.9707	-5.6208	-0.5419	-3.4955	-2.682	6.6814	-1.0531	4.4325	2.1324	1.21	-3.3493	1.7342	-5.6313	4.6323	1.5502	6.8052	2.7743	-1.4684	-1.0814	6.1242	1.6055	6.3296	-5.0523	3.7699	-3.1548	1.9946	-1.9122	-2.2244	5.629	1.5941	-2.1657	2.7816	3.906	-3.5993	4.7623	0.7673	-1.8086	-1.9992	-0.2547	-2.8208	-3.874	-6.5787	2.0067	0.5914	-2.497	2.0959	0.1046	5.5385	3.4906	-2.8706	4.2232	1.072	-6.1631	4.5622	4.3526	1.4655	4.891	2.4256	4.98
OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.7938	0.2752	0.073	-1.0995	-2.0392	1.5113	-2.7882	-1.9736	-1.6807	-1.3732	2.9432	-1.4878	1.7679	1.7877	-0.0557	-0.0085	1.2956	-1.6733	2.4086	1.0776	3.6765	1.0086	-1.9706	3.6531	4.1552	1.7512	0.6442	-0.4007	0.4316	-1.5769	0.6175	-1.6125	1.8827	2.3391	2.455	1.2244	3.1379	-0.0688	0.827	1.6396	0.267	1.0829	-0.6829	-1.8611	-0.6664	-1.1618	-2.9042	0.9318	0.0714	-1.6353	0.5187	0.1806	1.3532	0.8262	-0.8599	2.8009	-1.2774	-4.0205	3.3881	2.4248	0.1222	3.3731	3.7985	2.2696
OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	1.6661	1.0129	-0.2645	-2.5264	-0.0437	1.215	-3.9017	0.2782	-1.9256	-1.931	2.8355	-0.2417	3.0245	0.4186	0.7197	-4.0261	0.9612	-3.5964	2.6802	1.7808	4.3148	2.0026	-0.8088	0.0633	3.6824	1.1984	2.5743	-1.8257	0.7196	-1.9321	1.8267	-0.1629	0.0026	2.5728	0.3531	-1.2771	1.2348	2.2795	-0.4092	1.7589	-0.989	-0.6793	-0.5996	-0.0406	-3.3496	-2.0369	-3.6505	1.0978	0.7068	-0.3129	0.8133	0.7971	3.0479	1.8613	-1.5326	1.3596	-1.4689	-2.331	1.3905	1.3444	1.7757	1.7021	1.7025	2.7793
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	1.2569	4.7642	-1.0882	-1.5336	-2.4357	1.684	-5.9176	-2.2539	-3.3075	-0.2684	6.0021	-0.7686	5.4202	0.783	0.1735	-4.1559	1.377	-7.2281	3.9509	-2.1141	4.2628	2.7767	-1.8658	0.6642	4.9386	0.0136	6.9417	-3.9765	3.499	-2.3597	2.9741	-0.779	-2.0414	6.0074	0.1772	-3.3723	1.3484	4.2697	-3.1447	3.8507	0.7652	-1.4717	-1.833	-3.2694	-2.4239	-3.5573	-4.3522	0.4739	0.6171	1.656	1.9733	-1.2202	4.426	3.9717	-3.0964	3.238	0.9504	-2.0953	4.6182	2.4356	1.3365	4.7086	1.7276	4.8613
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	2.826	4.9913	1.7198	-3.6831	-0.153	2.8807	-5.1874	-0.5584	-3.7917	-2.5898	4.6703	1.2952	4.0254	-0.8675	0.4331	-3.4763	1.648	-5.1207	4.6643	1.5084	5.8106	3.3988	-0.8187	-1.5057	4.3543	0.5263	5.6936	-3.4188	2.945	-1.461	2.5116	-2.6492	-0.6459	4.6574	-3.2731	-3.7615	1.2535	3.9006	-3.0026	4.2381	-0.2976	-2.9244	-2.2363	-2.0776	-4.3779	-4.8683	-5.7489	1.0788	0.8637	1.9943	0.3178	-1.3026	4.5576	3.9824	-3.4852	1.9004	0.8526	-2.9743	1.9374	2.5681	2.2441	2.2669	1.3234	4.7384
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	0.6586	2.2952	-0.4696	-2.2354	0.0681	-1.8823	-2.537	0.3761	-1.2232	-4.1563	0.4152	-0.7908	1.0713	1.4019	1.543	-1.3318	1.2901	-3.5507	0.3439	1.1217	0.8845	-0.2687	0.4874	-0.7778	1.5703	-0.4712	2.5534	-1.8961	0.6943	-0.3242	2.4678	-1.9724	2.9011	0.792	-0.4479	0.2829	1.68	1.0588	-2.3278	1.2296	-2.0067	-0.0548	-0.4306	0.3308	-0.9592	-2.2465	0.0885	-0.1074	-0.3928	0.9574	0.6284	-0.152	1.3314	1.635	-0.6723	1.037	-0.8651	-0.501	0.6032	2.7022	0.4857	0.0155	0.4878	1.5665
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	2.6116	2.1724	-3.8185	-3.8148	0.6146	-0.1949	-4.9753	1.2347	-2.467	-3.0503	2.313	0.1368	2.3763	-1.7156	0.359	-3.6526	1.677	-3.4515	2.7033	1.9703	1.2042	1.7651	2.2233	-1.7651	2.5847	0.6924	4.5747	-3.3548	2.0793	-0.2601	2.0185	-3.4524	-0.8814	3.9129	0.161	-2.3914	-0.4725	3.3087	-2.987	2.0718	-2.1611	-2.5437	0.8023	2.1109	-3.0915	-2.7802	-2.031	1.8691	0.2256	0.9396	-0.1885	-1.1008	3.4797	3.8487	-2.2772	0.5722	-0.0311	-2.7003	1.7001	4.7738	3.1607	0.9029	-0.5358	4.3636
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	-0.2654	-0.4073	0.9853	-0.2873	-0.5905	0.8078	-1.1261	-0.212	0.2167	-1.8974	-0.275	-0.473	-1.0971	1.5904	1.4437	-1.3587	1.0506	-1.6734	-1.9114	1.8457	1.0205	-1.0777	1.1144	1.2684	1.5461	0.8951	0.5012	-0.0416	-0.7284	-1.0696	0.1224	-2.1382	1.4815	0.9066	0.9795	-1.6872	2.3182	2.1455	0.2898	-0.4787	-1.2781	0.8476	-1.2348	0.5671	0.071	-0.4195	-1.3655	0.7416	0.7563	-2.8631	-0.3718	-0.4307	2.0365	-0.2613	-1.3806	0.4872	1.1413	-0.6045	1.5588	2.6203	-1.29	-1.6579	2.4374	-0.7419
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	-1.6684	0.7634	1.9935	-0.0322	-1.0833	-0.1153	-0.7311	1.0715	1.5907	-3.6917	-1.9853	-1.4104	-2.5357	2.6539	0.8183	2.5231	-1.3828	-1.9227	-2.5758	0.4813	-0.0331	-2.3829	0.1537	2.3078	2.1686	0.5466	-0.3925	1.2351	-0.1284	-0.6808	-0.1453	-1.0	1.1023	-0.2638	0.3736	1.0551	-0.5086	-0.8359	0.001	-0.0539	-0.417	1.0133	-1.3347	0.3924	-0.7357	-1.6912	-0.127	0.1138	0.6746	-1.7208	-2.5619	-0.1347	0.276	-0.6297	0.7819	1.7956	-2.6169	-2.2363	1.9832	0.1425	0.1578	-1.5536	2.9007	-2.5091
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	2.6338	1.7819	-0.6462	-2.9788	0.9076	0.6414	-2.3151	-1.4956	-3.9907	-0.436	3.4422	-0.2077	4.5233	-0.5154	0.4638	-4.4998	2.9594	-3.3701	4.039	-0.1321	3.2406	3.06	0.0978	-1.1451	3.4397	0.4727	4.7178	-4.1791	1.7961	-1.0979	2.3582	0.1857	-1.9852	2.8762	-4.1356	-2.0123	0.4737	3.9231	-3.0248	2.3962	-0.1616	-3.0098	-1.7746	-2.9164	-2.6359	-3.0433	-2.4868	0.9032	0.0116	4.3078	1.7676	-1.785	4.275	2.8557	-1.7079	1.7701	1.8446	-4.4142	2.2327	2.1731	1.1541	2.7307	2.4337	4.914
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	4.2619	2.0489	-4.1293	-2.1695	-0.5775	0.493	-4.1874	-0.9989	-3.583	-0.2384	4.867	0.0428	5.1308	0.7441	-0.6904	-4.9875	0.7198	-3.9255	6.4177	1.7042	3.5563	3.0077	-0.451	-0.6199	3.034	0.0069	5.4613	-3.5776	1.8083	-1.7246	2.2897	-0.4155	-1.3921	6.5156	-0.6724	-3.1995	0.8949	3.8182	-3.0766	5.3638	-1.8378	-2.4201	-1.3488	-1.8487	-3.6062	-3.8833	-2.0539	1.4244	0.1083	2.7688	1.9401	-2.2981	4.0699	4.0302	-2.5716	2.5285	2.1897	-2.4099	1.8993	2.712	2.5091	2.1124	0.5199	5.2404
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	3.8903	2.0957	-3.7101	-3.5603	0.0462	2.0964	-4.2962	-0.6914	-4.3072	-0.55	5.1048	-0.0292	5.634	0.0338	1.7184	-4.4399	1.6416	-5.5988	5.8842	0.8143	3.3727	3.8051	-0.3423	-1.2591	2.6095	0.1715	6.4959	-3.6654	2.873	-1.4729	3.2993	0.5747	-2.2393	5.9116	-3.7846	-4.155	0.2781	3.5269	-2.3852	3.1229	0.4241	-2.8881	-0.2334	-2.8379	-2.6754	-4.7556	-4.0397	1.0791	0.7731	3.0715	1.9444	0.4027	4.2201	3.8839	-3.8857	2.0092	1.1407	-5.165	2.2149	2.7319	0.6156	2.3248	0.0242	6.4385
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	2.6701	1.5149	-1.3696	-0.724	-0.5978	2.3326	-3.5497	-0.7037	-3.2239	-0.2499	5.3624	0.3768	4.8679	-0.0575	-0.198	-4.3408	1.333	-5.1515	4.1707	0.9215	4.5897	2.1417	-0.8519	-0.8466	4.5975	0.5117	5.0754	-4.1428	3.8629	-1.2955	3.2817	-0.5016	-0.9387	7.2748	-2.8252	-3.1349	-0.1161	4.4483	-2.6953	1.9885	-0.9894	-1.4034	-2.2422	-3.4978	-4.537	-3.8805	-4.6932	1.2112	0.3887	4.1798	1.8507	-1.1784	3.7864	2.79	-3.4038	3.7131	-0.3045	-3.3601	3.8949	0.9489	2.2207	4.2274	0.1936	4.5451
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	4.2578	2.3642	-1.8243	-2.583	-0.2283	-0.8173	-5.5838	-1.2428	-4.8233	-0.0992	6.6575	1.7283	5.9012	0.5083	-0.6789	-5.2057	0.7789	-4.2512	6.702	-0.0687	4.9322	4.4731	0.1877	-2.0053	2.6015	0.4977	7.7302	-4.9225	4.0217	-3.9679	3.9659	0.7914	-2.6487	6.7094	1.9924	-5.0763	2.2536	5.3332	-3.6269	7.687	0.5866	-4.0766	-1.8288	-3.7018	-3.0923	-3.8574	-5.0821	2.8896	-0.5939	3.2993	2.8205	-3.2998	4.4816	3.1568	-3.8696	4.0238	2.1618	-5.6512	2.1399	2.112	1.738	3.5447	-0.5907	6.4947
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	1.1489	2.3984	-1.3058	-1.6205	-0.9385	1.5128	-4.4171	0.2259	-3.0741	-2.384	3.1299	0.6423	2.2401	-1.0264	-0.318	-1.3167	0.569	-3.7254	2.4432	0.9433	1.8078	1.8186	0.8032	1.2333	1.0697	0.5425	4.3623	-2.4988	1.9367	-0.7235	1.5909	-1.697	-0.9244	1.461	-0.2789	-1.5865	2.352	2.6034	-2.1499	2.2398	0.0208	-2.0724	0.9781	1.6272	-2.6116	-2.4687	-2.5184	0.2201	1.3082	-0.4818	-0.6021	-2.7477	1.4623	1.7697	-1.5756	1.5507	-1.0566	-2.7127	1.7279	4.6362	2.1349	0.4319	0.1546	3.6374
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	2.3072	4.1896	1.4815	-1.6376	-1.0361	0.117	-4.8679	0.5995	-2.5773	-2.318	2.9974	1.6051	3.9029	-0.8809	-0.5497	-2.3134	0.7269	-4.2393	3.4046	2.7648	1.8411	1.9265	-0.0702	0.9038	4.6226	1.4341	4.2623	-2.9111	1.1069	-0.5246	2.0965	-1.4634	-1.1573	3.1331	0.0553	-1.0274	1.6748	2.583	-1.8741	2.574	0.6605	-1.7656	-0.1641	0.3875	-2.7677	-4.6794	-2.4314	1.8889	0.7946	-0.4323	0.6454	-1.2035	3.0955	1.7494	-2.1388	1.3496	-1.3494	-1.2883	1.7436	2.7172	0.6667	0.6958	1.0204	3.5281
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	2.0693	3.018	1.0563	-2.5989	-0.1161	2.0777	-3.5436	1.881	-2.385	-1.8928	2.2002	0.1019	2.5295	0.7202	0.3319	-3.508	0.5504	-5.4542	3.0323	2.5232	3.2186	1.7823	-0.9017	-1.9444	2.9785	0.0588	4.6868	-2.7673	1.426	-0.9688	2.1012	-1.2968	0.019	3.1101	-0.4656	-3.0499	1.0797	3.3811	-2.0268	3.7835	-0.7824	-0.3756	0.6935	-1.165	-3.5569	-3.2777	-1.5396	2.3173	0.1804	-0.431	0.3533	-2.0009	3.6099	2.7984	-2.0934	1.1511	0.6028	-2.0518	2.4016	1.9599	1.0552	1.6721	2.4778	3.9873
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	1.0756	3.9241	0.2079	-2.2444	-0.0264	1.4431	-4.2175	1.6597	-1.5932	-2.8524	2.9226	0.8849	2.3775	1.5477	0.7892	-2.9404	1.0442	-3.295	1.831	0.5867	2.6848	2.8551	1.7833	-0.1614	3.4688	1.3597	5.862	-3.2347	0.7447	0.0323	1.2151	-2.0306	-0.0876	3.0775	0.1296	-2.7423	1.6513	2.0279	-2.1899	3.1628	2.1292	-1.435	-1.6037	-0.2721	-2.2137	-2.7067	-2.1197	1.8242	1.4559	2.3394	0.0189	-0.5816	3.213	1.3093	-2.3148	2.9435	0.0465	-3.7638	2.3646	2.4969	1.8752	1.0878	-0.2856	3.0941
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	0.1279	2.3822	-0.9241	-1.1282	0.5131	2.2463	-3.8587	-0.6369	-2.3447	-1.4517	3.4028	-0.3455	2.0166	-1.9308	-0.4858	-2.0369	0.216	-4.3366	3.9222	1.602	2.2438	0.6528	-2.2072	-0.7329	2.593	1.0295	4.441	-2.644	1.4504	-1.5208	2.0888	-2.1874	-0.423	3.1085	1.0014	-1.062	1.7625	2.1429	-1.3479	2.3859	0.0549	-1.9613	-0.1584	-0.539	-2.5457	-2.5545	-3.3957	1.0571	-0.3306	-1.8888	0.4784	-0.3357	2.1758	1.8328	-2.1175	2.2797	0.0417	-1.8822	2.0998	1.4259	0.1204	-0.1544	0.431	2.6726
