sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	93.12888	-92.762115	-10.201384	-12.832116	12.679034	-5.38349	-2.0305922	0.46432438	3.272961	2.9935625	-1.9396819	1.9423438	-7.4871936	-6.0528913	-2.5868585	-2.7286687	-5.6212716	2.422913	-1.5123104	-0.67046213
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	87.23532	-89.27647	-8.558403	-25.923721	11.174869	5.7980146	2.8245282	7.501895	0.09315701	0.5909144	-3.5663712	-3.9563198	2.344391	-1.8674334	3.05678	1.0735952	4.434896	-0.13873424	0.39237943	1.424164
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	94.02333	-89.33809	-9.258355	-18.452755	12.554946	-1.260475	0.42669734	2.8547394	2.394274	1.2913386	-2.778003	-0.8800863	-2.5812287	-3.7797072	-0.29022226	-0.53191364	-0.9218763	0.5002614	-1.4480711	-0.3790924
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	93.26636	-88.18545	-4.699068	-22.947474	9.717101	-2.7687325	0.8302123	7.113369	-1.2530478	1.4963034	-0.2998087	0.64848894	-2.15522	-8.014427	-0.72761345	-2.2137392	1.8511271	1.3756701	1.8880991	1.0261983
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	20.295965	70.040474	-38.3269	32.368366	17.41359	-31.770914	-18.23335	16.251839	-0.5047368	-1.2657249	4.350046	7.0265985	11.036262	-0.67384726	8.706846	1.9516237	1.570486	2.750906	-1.19912	-0.27162227
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	27.136047	98.68145	-16.67092	6.9905763	-6.0455003	3.984762	3.6134248	-7.3847756	5.150648	-5.646653	-3.3436048	-4.447236	-2.8980393	-2.9464958	0.05408478	1.5439265	-1.2697055	-0.40109012	-1.8780066	-0.7421385
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	24.533562	94.6516	24.213778	16.807205	27.839657	-3.9687176	0.08275135	-4.2180953	11.749158	-9.485349	-17.407265	-9.460306	-3.4627774	-0.9071743	-0.005789086	0.90156364	1.7064697	-3.0524044	2.1083672	-1.5802213
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	92.27029	-91.89099	-2.0971484	-19.62859	8.565394	-0.96900564	0.3251211	-0.7387288	-1.3713961	-3.5470657	-0.27523583	-1.8171849	1.6303782	-4.857113	0.21222217	-1.4729263	3.008697	2.1012921	-3.011609	-3.0580883
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	89.16248	-91.192535	11.819307	-26.54846	3.3035986	-1.8684846	1.3820615	2.6486058	-8.410055	-8.580541	2.7979968	-1.8313992	6.5497684	-7.888793	1.3411582	-2.3858597	5.6679416	2.3421104	2.7017574	1.0319896
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	90.86493	-86.64033	-7.104731	-28.426662	9.804849	4.9599843	3.623522	9.669977	-1.3672298	0.7522748	-2.3223221	-3.152086	2.8139963	-3.6323106	1.7682066	0.32490888	3.4335885	0.0044192187	2.0485086	3.0881839
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	85.27478	-106.41138	32.521236	11.923417	-17.677385	0.75504327	0.49922946	-14.212643	-11.660247	-28.33206	7.031237	-3.619543	25.893991	16.378128	-0.09392782	6.403667	8.833486	-8.565071	-2.1118717	-6.0201983
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	28.500353	74.08468	-33.95765	3.695616	-11.640755	1.6125485	2.0179024	0.10845775	-1.870714	2.0232024	4.983083	4.5623274	0.09801565	1.8881345	-7.764143	-2.1158278	1.8482832	-1.9057878	0.46312207	-2.4948294
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	90.39596	-99.893196	10.865968	-4.3215585	0.14266168	-7.68381	-3.085387	-12.418863	-5.7022204	-11.1138525	5.103569	1.5729747	2.594668	-2.481883	-1.8574649	-2.6097004	0.29693916	2.9574583	-2.7222528	-3.5173352
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	83.65153	-98.87133	-2.4151924	-14.539578	8.5020685	-1.7472376	-0.8399574	-3.9075887	-1.6273583	-4.777973	-1.3319072	-1.8738561	2.0377614	-2.3993824	-0.34105596	-1.4894868	0.19217044	2.0470073	-3.1118255	-1.8406359
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	90.06558	-87.1508	-0.5895316	-31.63392	7.661313	7.30915	3.7066658	6.5617566	-3.7080886	-3.8250484	-1.2051272	-5.33581	6.4783154	-2.0985484	5.405829	1.6010858	8.863612	0.4852714	-0.81669444	-0.34606147
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	88.084785	-107.25258	9.734405	15.468382	-2.145994	-15.73186	-10.460977	-21.405642	0.3091465	2.811962	6.4855223	10.808084	-20.039478	-3.6641777	0.86448354	-4.642848	-5.655067	6.9978065	-1.4290856	-3.3351111
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	83.07553	-94.52067	-8.564649	-23.037441	11.435436	5.410915	2.1006844	2.9829073	0.18875992	-1.8836731	-4.6547794	-5.216368	3.584148	0.6377533	2.7242517	1.1084945	2.2256057	0.39678815	-2.9997594	-0.30571964
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	91.866325	-92.640976	7.8126097	-20.86014	4.370517	-2.8084562	0.70456403	-3.052044	-6.019266	-9.228032	2.2790515	-1.7070019	4.7997727	-4.937722	0.5711939	-1.754371	5.432071	2.4397373	-0.9322808	-1.9630927
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	95.33886	-87.534966	-11.194542	-19.786236	12.890786	-2.0827353	0.6557616	6.9470534	2.1160102	3.5760865	-2.2315688	0.83222854	-5.813484	-6.838418	-1.535761	-2.2104843	-2.9127579	1.7965702	1.1053542	1.6126966
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI9	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	90.38051	-81.48992	-14.317967	-26.993528	12.032134	4.9699397	3.5024004	13.567286	1.6870888	5.501144	-3.3491943	-2.0500154	0.021449378	-0.25952858	0.4017514	1.431664	1.771506	-2.779786	3.7461214	3.1716683
OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	24.275282	82.93206	-26.037909	27.696686	16.774912	-14.47702	-5.6583424	2.1002216	8.478646	-8.584412	-10.471317	-6.212853	-0.056751456	-1.307668	-2.364685	-0.4339907	1.4721943	-5.2003016	-0.03621482	1.0951129
OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	23.812054	86.739655	-33.94573	20.672478	4.0575047	-8.1172495	-2.6363335	0.19541691	5.126817	-4.95709	-3.2359765	-3.9110608e-05	0.51403546	-0.730475	-6.0897765	-0.8463433	2.0884044	-4.596067	-0.3184328	-3.3712656
OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	16.054825	85.54087	-13.560489	9.599209	0.60511017	2.8159757	2.1292536	-6.8040066	7.9723387	-6.7462044	-9.272364	-6.8726325	-3.016578	-0.7102393	0.83870035	0.8210451	-1.6016463	0.5189126	-1.2574863	0.5386172
OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	24.686762	78.96905	-26.520939	4.625777	-9.883102	-0.26138854	1.5464106	-1.5915715	-0.21387169	-0.79672796	2.978917	1.8311404	-0.122461915	-2.4543834	-6.156174	-1.7999194	1.2112671	-1.238954	0.25544763	-1.2240938
OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	29.206388	71.79797	-26.62382	1.4345826	-11.250303	0.9454862	2.4500058	-0.51570857	-1.2649472	0.83658606	3.7654958	2.7212858	0.004592673	-1.3215429	-5.9185576	-1.9023986	1.2459232	-1.2968059	1.0015696	-0.14348114
OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	25.095993	73.282	-31.312914	4.171621	-11.252804	-1.8614396	0.5063691	1.4294444	-2.275918	2.0080144	5.432245	5.480965	1.2922128	0.12394741	-7.3045044	-2.4394753	1.7287558	-2.3337994	1.5705632	-1.7365787
OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	24.539349	93.65817	-9.642373	31.114681	32.02056	2.8384352	0.3620434	-7.8007402	19.361368	-15.295	-22.306517	-11.112938	-3.0665362	1.1088111	4.9902835	2.688386	-1.1633005	-3.8943353	-1.7181576	0.4680936
OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	86.07296	-107.022	25.019096	12.821223	-11.780061	-5.8383765	-3.6569219	-18.98162	-8.122268	-18.144388	6.925739	0.45902017	11.161056	8.328726	-1.6205071	1.1568291	2.192501	-2.8362546	-0.45886382	-3.035833
OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	75.28148	-12.497117	-43.08101	-4.1403875	7.3595567	3.049359	1.1873558	12.312015	7.221435	11.850853	-1.0688839	6.7178297	-2.0913126	16.188324	-5.9240713	3.7851985	-5.1545215	-8.641944	3.3626845	-2.397447
OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	27.768152	70.062386	-42.1357	28.558163	11.661329	-25.214958	-13.614165	13.874375	0.52187806	0.2026931	4.502979	8.972574	8.712509	1.4788331	0.14512396	-0.73284835	2.983676	-0.5096581	0.1179767	-3.5781333
OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	20.682573	84.667946	-17.60043	11.722415	-1.0402027	-9.669433	-2.0638878	0.21072811	2.8922882	-4.369705	-2.4654117	-1.2942263	0.20604947	-5.8563066	-3.7451744	-2.2808685	3.3390183	-3.1687317	1.4810132	-0.014146404
OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	25.73084	95.736855	0.00089913973	8.59812	3.8294296	-1.4616264	2.2391407	-6.10614	8.637973	-7.778429	-9.706224	-7.570764	-3.4749758	-4.293627	1.7266324	1.2220944	-0.32914832	-1.3434404	-0.0030490847	1.0710318
OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	28.015045	91.688644	-6.1362514	47.177906	54.80184	-2.3542495	-4.859746	-2.1540117	5.304975	-11.916851	-14.145635	-17.359385	-4.1069083	-1.1061525	5.35811	5.966013	-3.7420065	-9.134393	1.4450573	0.013315725
OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	29.045708	51.966385	-39.129467	11.01511	-1.3920575	-11.3989315	-4.851698	8.335126	-0.19099563	2.878256	4.081059	9.32431	3.9923735	2.6744006	-8.512638	-2.6779692	2.533043	-3.1484969	2.478096	-3.2100713
OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	22.147598	88.31581	-1.1826366	-10.95779	-20.672953	3.5372558	3.8068542	-3.8535998	-5.6349416	0.77756983	6.699112	0.040046412	-0.99964774	-7.1736736	0.21493593	-0.056812577	0.5607342	0.66612875	0.31315938	1.0030227
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	19.986958	85.80405	37.13017	12.021722	28.660563	-11.05826	-2.677821	1.4450301	7.993062	-5.145144	-15.890352	-9.637935	-2.5847797	4.2647996	-3.4792242	-3.2358716	5.3776326	-0.050326172	3.490725	-1.4161953
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	24.339798	91.66167	27.838135	4.1086187	16.248928	3.6694038	3.4051845	-7.3090343	17.222216	-8.701515	-19.001339	-8.295224	-2.978763	2.485043	6.7727084	1.9636034	-2.511123	3.0898297	-1.7525294	3.6843204
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	-0.67478454	71.08152	-24.680132	-12.192477	-24.228487	21.327665	3.670147	-4.699309	-7.8772416	4.33457	6.5235844	0.7083216	0.046528466	6.338842	6.47032	0.4311239	-1.0494899	5.8023605	-3.0890913	0.5161366
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	-11.35984	86.598366	4.418776	-14.562756	-20.991472	22.664423	3.366408	-10.527974	0.13622583	-1.1697803	1.2050545	-4.65924	-1.9400713	0.93174493	15.639169	3.530958	-5.3926325	8.58726	-4.588155	1.9433955
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	25.992907	42.186726	-38.597	-10.550343	-15.322442	20.46848	4.4503856	2.2883961	-4.306573	7.3336034	4.998354	3.1122358	1.6343731	14.841909	1.6513473	1.1451969	0.032528628	1.5293334	-0.76646084	-0.8451339
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	50.18504	-6.0070906	-52.605385	-8.033407	2.3894563	23.080332	3.8779376	10.465	6.7713847	14.337718	-4.7817507	1.7391064	0.30756268	31.257872	2.201882	6.3406334	-5.159463	-6.8355455	2.4202769	-2.0272536
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	6.0306454	90.601555	65.23856	-29.825054	-18.128963	-6.4164577	-1.0236073	2.2665746	-5.115815	5.2142024	4.1527023	1.9243301	0.43988442	-4.4389334	5.7075205	2.9409966	-3.2077093	-3.456485	3.458252	0.9041081
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	3.6641736	85.46999	76.115	-26.968693	-6.1621222	-6.8222866	-1.2151619	3.5151865	1.6072583	5.1570525	-1.2645916	2.0831537	0.3783154	3.6354802	2.6066487	1.4103624	-3.2266185	-0.32788876	1.317471	0.31647217
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	13.431576	92.33983	89.05504	-27.005535	-0.8482027	-10.281555	-0.37909228	5.482707	3.6072147	5.805152	-3.1159859	3.650271	0.8334862	6.331718	1.0786469	0.77799803	-2.5603187	-0.70076454	1.6932143	0.12889494
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	17.65311	90.61643	56.478508	-13.679918	-0.27814826	-13.960522	-1.8624779	3.5615656	1.0763487	0.9257111	-4.468164	-2.2541409	-0.93896747	-2.4382532	-1.3081814	-0.89052147	2.295265	-3.031772	5.78687	-0.92117536
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	20.675879	84.19117	88.14467	-1.1508217	44.105545	3.9842277	5.207561	3.6223264	10.833347	5.7016573	-12.856352	12.070693	2.3410406	29.611536	-22.503046	-17.350101	14.000751	26.953323	-19.81791	-5.617212
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	3.4411552	81.15326	-14.296331	-7.1195445	-18.678726	16.769283	4.5841875	-8.415239	-0.8107445	-0.48351294	1.4105425	-3.3335965	-1.9997594	1.6239465	7.016841	1.5746868	-3.184268	6.543516	-3.5472639	2.0162983
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	5.690589	83.3347	-16.867907	1.7118322	-9.713842	11.187003	3.104449	-8.13669	4.151304	-3.6978457	-3.7884758	-4.2265654	-2.4265566	0.11943273	5.8486943	1.2818437	-3.5413754	4.1455708	-2.918158	1.9566059
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	10.470169	90.176155	-4.4421163	-5.034168	-13.959087	10.91307	3.9642658	-8.139315	1.330129	-2.7864578	-1.027864	-4.522543	-2.8146067	-2.7190256	6.2939057	2.0757296	-2.8059554	3.6634874	-2.367005	1.4859635
