sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	37.43261	69.55032	-5.5469646	-20.638527	-24.078009	57.927067	-20.67308	-14.831248	10.294432	3.496925	-4.780978	1.4214183	-16.41293	-6.7240896	-22.300226	33.87515	12.668988	-1.869512	-13.654402	-10.989977
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	12.453155	36.35898	-6.997256	-39.51376	-21.67839	20.737633	-33.002224	-11.246103	7.4801016	14.151522	12.481189	-6.5433645	-0.22054087	-9.94557	-25.396954	10.861913	9.924501	2.6180618	-8.78168	-4.4533195
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	-24.456192	21.14357	-31.14463	-24.380665	-19.878904	13.064574	-53.35376	-20.881166	-3.5840886	11.004229	9.563488	0.21759981	12.863176	-12.816951	-18.46059	7.1285944	8.0225725	5.014631	-3.4123435	-3.3923366
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	160.2453	-40.962334	-36.017498	-10.823992	18.579859	4.5441017	-6.3593965	-13.852659	30.845165	9.696623	18.22142	-12.364921	6.9638333	-16.012695	-8.949162	-5.6002483	25.239317	8.507589	7.9052224	4.073792
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	170.89223	-53.394794	-27.47362	-19.26613	17.651058	-3.295842	-0.80998427	-18.412249	20.291943	6.816901	-0.22169761	-1.2560525	-6.8730073	3.4791455	-2.255026	1.3929548	-1.7220055	2.7846522	2.4597	-14.092733
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	163.0816	-80.93812	-36.58938	-11.3648615	30.763256	-18.22585	-10.242571	-24.044092	21.37592	7.941292	-0.7313936	1.1179614	-9.755766	-6.382413	0.07969431	12.358592	29.749315	-17.217278	5.9329114	-4.2531724
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	111.64118	-72.3424	-47.644447	-11.009973	15.66158	-18.011364	-25.443907	-18.946068	30.51226	11.233229	3.9300416	3.0867472	2.0794544	-10.770506	-20.380909	13.27676	23.163528	-14.424071	-16.884773	-2.000965
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	346.94864	-31.115202	34.16793	159.93384	-56.210964	-17.800144	-67.915665	169.95529	-134.74097	6.4322133	6.067368	-3.8352056	1.3695239	-7.588169	-15.044318	10.007939	4.9533772	7.4783463	-5.6530714	-7.990532
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	22.779573	44.70789	37.741528	-46.01679	-16.689537	27.446531	-9.324968	-12.613108	-17.964132	3.6145473	3.497161	-3.6642652	3.1546338	8.670921	2.2225037	-2.2990448	-6.2728996	-5.965844	-15.671844	-2.4804556
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	C57BL/6NTac	Female	FLT	FLT	RR-6	OSD-245	OSD-245	15.158668	30.87855	42.887432	-47.96851	-13.827857	15.655614	-7.488358	-7.434319	-17.257925	7.9386854	6.6020665	-9.818606	-1.0991949	11.31683	0.6840304	-2.9446132	-3.4871173	-2.7800577	-8.406108	2.648654
