Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006163,purine nucleotide metabolic process,19_GO:0009987 cellular process,-5.6,4.9,6.4,14846,344,115,13,11,3,11565|11636|11674|13808|15277|16832|17885|18642|18746|56012|78830|98660|140781,Adss1|Ak1|Aldoa|Eno3|Hk2|Ldhb|Myh8|Pfkm|Pkm|Pgam2|Slc25a12|Atp1a2|Myh7,-4.5,FLT_cluster_12
GO Biological Processes,19,GO:0006096,glycolytic process,19_GO:0009987 cellular process,-5.5,15,8.9,14846,52,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4.5,FLT_cluster_12
GO Biological Processes,19,GO:0033275,actin-myosin filament sliding,19_GO:0009987 cellular process,-5.5,37,12,14846,14,115,4,3.5,1.7,17885|17901|22003|140781,Myh8|Myl1|Tpm1|Myh7,-4.5,FLT_cluster_12
GO Biological Processes,19,GO:0009132,nucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-5.5,11,8,14846,82,115,7,6.1,2.2,11636|11674|13808|15277|18642|18746|56012,Ak1|Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4.5,FLT_cluster_12
GO Biological Processes,19,GO:0009141,nucleoside triphosphate metabolic process,19_GO:0009987 cellular process,-5.5,6.5,6.9,14846,200,115,10,8.7,2.6,11636|11674|13808|15277|17885|18642|18746|56012|98660|140781,Ak1|Aldoa|Eno3|Hk2|Myh8|Pfkm|Pkm|Pgam2|Atp1a2|Myh7,-4.4,FLT_cluster_12
GO Biological Processes,19,GO:0002074,extraocular skeletal muscle development,19_GO:0032502 developmental process,-5.3,77,15,14846,5,115,3,2.6,1.5,12292|17929|17930,Cacna1s|Myom1|Myom2,-4.3,FLT_cluster_12
GO Biological Processes,19,GO:0046032,ADP catabolic process,19_GO:0009987 cellular process,-5.3,14,8.5,14846,56,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4.3,FLT_cluster_12
Reactome Gene Sets,6,R-MMU-70171,Glycolysis,,-5.3,14,8.4,14846,57,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4.3,FLT_cluster_12
GO Biological Processes,19,GO:0046496,nicotinamide nucleotide metabolic process,19_GO:0009987 cellular process,-5.3,8.3,7.2,14846,125,115,8,7,2.4,11674|13808|15277|16832|18642|18746|56012|78830,Aldoa|Eno3|Hk2|Ldhb|Pfkm|Pkm|Pgam2|Slc25a12,-4.3,FLT_cluster_12
KEGG Pathway,24,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),,-5.2,6.1,6.6,14846,212,115,10,8.7,2.6,11739|11937|12292|12372|15464|20190|21925|66402|76757|228785,Slc25a4|Atp2a1|Cacna1s|Casq1|Hrc|Ryr1|Tnnc2|Sln|Trdn|Mylk2,-4.3,FLT_cluster_12
GO Biological Processes,19,GO:0070885,negative regulation of calcineurin-NFAT signaling cascade,19_GO:0048519 negative regulation of biological process,-5.2,32,11,14846,16,115,4,3.5,1.7,11474|59006|59011|76469,Actn3|Myoz2|Myoz1|Cmya5,-4.3,FLT_cluster_12
GO Biological Processes,19,GO:0106057,negative regulation of calcineurin-mediated signaling,19_GO:0048519 negative regulation of biological process,-5.2,32,11,14846,16,115,4,3.5,1.7,11474|59006|59011|76469,Actn3|Myoz2|Myoz1|Cmya5,-4.3,FLT_cluster_12
GO Biological Processes,19,GO:0009181,purine ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5.2,13,8.2,14846,59,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4.2,FLT_cluster_12
GO Biological Processes,19,GO:0009137,purine nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5.2,13,8.2,14846,59,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4.2,FLT_cluster_12
GO Biological Processes,19,GO:0009150,purine ribonucleotide metabolic process,19_GO:0009987 cellular process,-5.2,5.3,6.3,14846,267,115,11,9.6,2.7,11565|11636|11674|13808|15277|17885|18642|18746|56012|98660|140781,Adss1|Ak1|Aldoa|Eno3|Hk2|Myh8|Pfkm|Pkm|Pgam2|Atp1a2|Myh7,-4.2,FLT_cluster_12
GO Biological Processes,19,GO:0019364,pyridine nucleotide catabolic process,19_GO:0009987 cellular process,-5.1,13,8.1,14846,61,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4.2,FLT_cluster_12
GO Biological Processes,19,GO:0072524,pyridine-containing compound metabolic process,19_GO:0009987 cellular process,-5.1,7.9,7,14846,131,115,8,7,2.4,11674|13808|15277|16832|18642|18746|56012|78830,Aldoa|Eno3|Hk2|Ldhb|Pfkm|Pkm|Pgam2|Slc25a12,-4.1,FLT_cluster_12
GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-5.1,4.4,5.9,14846,383,115,13,11,3,11472|11937|13009|17260|17996|22003|30948|50874|78321|98660|227753|228785|241431,Actn2|Atp2a1|Csrp3|Mef2c|Neb|Tpm1|Bin1|Tmod4|Ankrd23|Atp1a2|Gsn|Mylk2|Xirp2,-4.1,FLT_cluster_12
GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0009987 cellular process,-5.1,4.4,5.9,14846,384,115,13,11,3,11565|11636|11674|13808|15277|16832|17885|18642|18746|56012|78830|98660|140781,Adss1|Ak1|Aldoa|Eno3|Hk2|Ldhb|Myh8|Pfkm|Pkm|Pgam2|Slc25a12|Atp1a2|Myh7,-4.1,FLT_cluster_12
GO Biological Processes,19,GO:0055008,cardiac muscle tissue morphogenesis,19_GO:0032502 developmental process,-5,12,7.9,14846,63,115,6,5.2,2.1,17906|21393|22003|140781|228785|241431,Myl2|Tcap|Tpm1|Myh7|Mylk2|Xirp2,-4.1,FLT_cluster_12
GO Biological Processes,19,GO:0009060,aerobic respiration,19_GO:0009987 cellular process,-5,6.5,6.6,14846,178,115,9,7.8,2.5,11674|12862|12865|12869|13808|15277|18642|18746|56012,Aldoa|Cox6a2|Cox7a1|Cox8b|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4,FLT_cluster_12
GO Biological Processes,19,GO:0072526,pyridine-containing compound catabolic process,19_GO:0009987 cellular process,-5,12,7.8,14846,65,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4,FLT_cluster_12
GO Biological Processes,19,GO:0009191,ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5,12,7.8,14846,65,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4,FLT_cluster_12
GO Biological Processes,19,GO:0009134,nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5,12,7.8,14846,65,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4,FLT_cluster_12
GO Biological Processes,19,GO:0009259,ribonucleotide metabolic process,19_GO:0009987 cellular process,-4.9,5,6,14846,284,115,11,9.6,2.7,11565|11636|11674|13808|15277|17885|18642|18746|56012|98660|140781,Adss1|Ak1|Aldoa|Eno3|Hk2|Myh8|Pfkm|Pkm|Pgam2|Atp1a2|Myh7,-4,FLT_cluster_12
Reactome Gene Sets,6,R-MMU-70326,Glucose metabolism,,-4.9,12,7.7,14846,67,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-4,FLT_cluster_12
GO Biological Processes,19,GO:0070252,actin-mediated cell contraction,19_GO:0009987 cellular process,-4.9,11,7.6,14846,68,115,6,5.2,2.1,12293|17885|17901|22003|140781|227753,Cacna2d1|Myh8|Myl1|Tpm1|Myh7|Gsn,-3.9,FLT_cluster_12
GO Biological Processes,19,GO:0034762,regulation of transmembrane transport,19_GO:0051179 localization,-4.8,3.9,5.6,14846,468,115,14,12,3,11636|11739|11937|12293|12372|14199|14467|15277|15464|30948|66402|74166|76757|98660,Ak1|Slc25a4|Atp2a1|Cacna2d1|Casq1|Fhl1|Nipsnap2|Hk2|Hrc|Bin1|Sln|Tmem38a|Trdn|Atp1a2,-3.9,FLT_cluster_12
GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0009987 cellular process,-4.8,4.9,5.9,14846,290,115,11,9.6,2.7,11565|11636|11674|13808|15277|17885|18642|18746|56012|98660|140781,Adss1|Ak1|Aldoa|Eno3|Hk2|Myh8|Pfkm|Pkm|Pgam2|Atp1a2|Myh7,-3.9,FLT_cluster_12
GO Biological Processes,19,GO:0050905,neuromuscular process,19_GO:0032501 multicellular organismal process,-4.8,6.1,6.3,14846,189,115,9,7.8,2.5,17189|17885|21393|21925|21953|21955|21957|140781|233335,Mb|Myh8|Tcap|Tnnc2|Tnni2|Tnnt1|Tnnt3|Myh7|Synm,-3.9,FLT_cluster_12
GO Biological Processes,19,GO:0043462,regulation of ATP-dependent activity,19_GO:0065007 biological regulation,-4.8,15,8.2,14846,42,115,5,4.3,1.9,11937|21957|22003|22004|66402,Atp2a1|Tnnt3|Tpm1|Tpm2|Sln,-3.8,FLT_cluster_12
GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0009987 cellular process,-4.7,8.4,6.8,14846,107,115,7,6.1,2.2,11674|13808|15277|18642|18746|19309|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pygm|Pgam2,-3.8,FLT_cluster_12
GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-4.7,4,5.5,14846,419,115,13,11,3,12293|13009|17901|17906|19245|21393|21953|22003|76757|98660|109272|140781|227753,Cacna2d1|Csrp3|Myl1|Myl2|Ptp4a3|Tcap|Tnni2|Tpm1|Trdn|Atp1a2|Mybpc1|Myh7|Gsn,-3.8,FLT_cluster_12
GO Biological Processes,19,GO:1903169,regulation of calcium ion transmembrane transport,19_GO:0051179 localization,-4.6,6.8,6.3,14846,152,115,8,7,2.4,12293|12372|15464|30948|66402|74166|76757|98660,Cacna2d1|Casq1|Hrc|Bin1|Sln|Tmem38a|Trdn|Atp1a2,-3.7,FLT_cluster_12
GO Biological Processes,19,GO:0014894,response to denervation involved in regulation of muscle adaptation,19_GO:0032501 multicellular organismal process,-4.6,48,12,14846,8,115,3,2.6,1.5,11474|12372|67731,Actn3|Casq1|Fbxo32,-3.7,FLT_cluster_12
GO Biological Processes,19,GO:0014808,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,19_GO:0051179 localization,-4.6,48,12,14846,8,115,3,2.6,1.5,20190|74166|76757,Ryr1|Tmem38a|Trdn,-3.7,FLT_cluster_12
GO Biological Processes,19,GO:0060415,muscle tissue morphogenesis,19_GO:0032502 developmental process,-4.6,10,7.2,14846,75,115,6,5.2,2.1,17906|21393|22003|140781|228785|241431,Myl2|Tcap|Tpm1|Myh7|Mylk2|Xirp2,-3.7,FLT_cluster_12
GO Biological Processes,19,GO:1903522,regulation of blood circulation,19_GO:0032501 multicellular organismal process,-4.6,5.1,5.8,14846,251,115,10,8.7,2.6,11937|12293|13009|15464|17906|22003|30948|74166|98660|140781,Atp2a1|Cacna2d1|Csrp3|Hrc|Myl2|Tpm1|Bin1|Tmem38a|Atp1a2|Myh7,-3.7,FLT_cluster_12
Reactome Gene Sets,6,R-MMU-5578775,Ion homeostasis,,-4.5,14,7.7,14846,47,115,5,4.3,1.9,11937|12372|20190|76757|98660,Atp2a1|Casq1|Ryr1|Trdn|Atp1a2,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0050849,negative regulation of calcium-mediated signaling,19_GO:0048519 negative regulation of biological process,-4.5,22,8.9,14846,24,115,4,3.5,1.7,11474|59006|59011|76469,Actn3|Myoz2|Myoz1|Cmya5,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0035994,response to muscle stretch,19_GO:0050896 response to stimulus,-4.5,22,8.9,14846,24,115,4,3.5,1.7,13009|21393|78321|227753,Csrp3|Tcap|Ankrd23|Gsn,-3.6,FLT_cluster_12
KEGG Pathway,24,mmu05412,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),,-4.5,9.8,6.9,14846,79,115,6,5.2,2.1,11472|11474|11937|12292|12293|13346,Actn2|Actn3|Atp2a1|Cacna1s|Cacna2d1|Des,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0034765,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-4.5,4.5,5.5,14846,316,115,11,9.6,2.7,11937|12293|12372|14199|14467|15464|30948|66402|74166|76757|98660,Atp2a1|Cacna2d1|Casq1|Fhl1|Nipsnap2|Hrc|Bin1|Sln|Tmem38a|Trdn|Atp1a2,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0009987 cellular process,-4.5,5.6,5.9,14846,208,115,9,7.8,2.5,11674|12862|12865|12869|13808|15277|18642|18746|56012,Aldoa|Cox6a2|Cox7a1|Cox8b|Eno3|Hk2|Pfkm|Pkm|Pgam2,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0014870,response to muscle inactivity,19_GO:0050896 response to stimulus,-4.4,43,11,14846,9,115,3,2.6,1.5,11474|12372|67731,Actn3|Casq1|Fbxo32,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0015671,oxygen transport,19_GO:0051179 localization,-4.4,43,11,14846,9,115,3,2.6,1.5,15122|17189|101488143,Hba-a1|Mb|Hbb-bt,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0014889,muscle atrophy,19_GO:0032501 multicellular organismal process,-4.4,43,11,14846,9,115,3,2.6,1.5,11474|67731|227753,Actn3|Fbxo32|Gsn,-3.6,FLT_cluster_12
GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-4.4,3.8,5.2,14846,445,115,13,11,3,12293|13009|17901|17906|19245|21393|21953|22003|76757|98660|109272|140781|227753,Cacna2d1|Csrp3|Myl1|Myl2|Ptp4a3|Tcap|Tnni2|Tpm1|Trdn|Atp1a2|Mybpc1|Myh7|Gsn,-3.5,FLT_cluster_12
GO Biological Processes,19,GO:0048644,muscle organ morphogenesis,19_GO:0032502 developmental process,-4.4,9.3,6.7,14846,83,115,6,5.2,2.1,17906|21393|22003|140781|228785|241431,Myl2|Tcap|Tpm1|Myh7|Mylk2|Xirp2,-3.5,FLT_cluster_12
GO Biological Processes,19,GO:1903514,release of sequestered calcium ion into cytosol by endoplasmic reticulum,19_GO:0051179 localization,-4.3,39,11,14846,10,115,3,2.6,1.5,20190|74166|76757,Ryr1|Tmem38a|Trdn,-3.5,FLT_cluster_12
GO Biological Processes,19,GO:0045988,negative regulation of striated muscle contraction,19_GO:0048519 negative regulation of biological process,-4.3,39,11,14846,10,115,3,2.6,1.5,11937|30948|98660,Atp2a1|Bin1|Atp1a2,-3.5,FLT_cluster_12
GO Biological Processes,19,GO:0071313,cellular response to caffeine,19_GO:0050896 response to stimulus,-4.3,39,11,14846,10,115,3,2.6,1.5,12292|20190|74166,Cacna1s|Ryr1|Tmem38a,-3.5,FLT_cluster_12
GO Biological Processes,19,GO:0014883,transition between fast and slow fiber,19_GO:0032501 multicellular organismal process,-4.3,39,11,14846,10,115,3,2.6,1.5,11474|21955|140781,Actn3|Tnnt1|Myh7,-3.5,FLT_cluster_12
GO Biological Processes,19,GO:0010880,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,19_GO:0051179 localization,-4.3,19,8.3,14846,27,115,4,3.5,1.7,12372|15464|74166|76757,Casq1|Hrc|Tmem38a|Trdn,-3.5,FLT_cluster_12
Reactome Gene Sets,6,R-MMU-445355,Smooth Muscle Contraction,,-4.3,19,8.3,14846,27,115,4,3.5,1.7,17907|22003|22004|59069,Mylpf|Tpm1|Tpm2|Tpm3,-3.5,FLT_cluster_12
GO Biological Processes,19,GO:0009154,purine ribonucleotide catabolic process,19_GO:0009987 cellular process,-4.2,8.8,6.5,14846,88,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-3.4,FLT_cluster_12
GO Biological Processes,19,GO:0014854,response to inactivity,19_GO:0050896 response to stimulus,-4.1,35,10,14846,11,115,3,2.6,1.5,11474|12372|67731,Actn3|Casq1|Fbxo32,-3.3,FLT_cluster_12
GO Biological Processes,19,GO:0072521,purine-containing compound metabolic process,19_GO:0009987 cellular process,-4.1,3.5,5,14846,475,115,13,11,3,11565|11636|11674|13808|15277|16832|17885|18642|18746|56012|78830|98660|140781,Adss1|Ak1|Aldoa|Eno3|Hk2|Ldhb|Myh8|Pfkm|Pkm|Pgam2|Slc25a12|Atp1a2|Myh7,-3.3,FLT_cluster_12
GO Biological Processes,19,GO:0030048,actin filament-based movement,19_GO:0009987 cellular process,-4.1,8.4,6.3,14846,92,115,6,5.2,2.1,12293|17885|17901|22003|140781|227753,Cacna2d1|Myh8|Myl1|Tpm1|Myh7|Gsn,-3.3,FLT_cluster_12
GO Biological Processes,19,GO:1904062,regulation of monoatomic cation transmembrane transport,19_GO:0051179 localization,-4.1,4.5,5.3,14846,289,115,10,8.7,2.6,12293|12372|14199|14467|15464|30948|66402|74166|76757|98660,Cacna2d1|Casq1|Fhl1|Nipsnap2|Hrc|Bin1|Sln|Tmem38a|Trdn|Atp1a2,-3.3,FLT_cluster_12
GO Biological Processes,19,GO:0014850,response to muscle activity,19_GO:0050896 response to stimulus,-4,17,7.7,14846,31,115,4,3.5,1.7,17189|17882|74183|106393,Mb|Myh2|Perm1|Srl,-3.2,FLT_cluster_12
GO Biological Processes,19,GO:0002026,regulation of the force of heart contraction,19_GO:0032501 multicellular organismal process,-4,17,7.7,14846,31,115,4,3.5,1.7,13009|17906|98660|140781,Csrp3|Myl2|Atp1a2|Myh7,-3.2,FLT_cluster_12
GO Biological Processes,19,GO:0051155,positive regulation of striated muscle cell differentiation,19_GO:0032502 developmental process,-4,11,6.8,14846,59,115,5,4.3,1.9,11474|11739|12180|13009|17260,Actn3|Slc25a4|Smyd1|Csrp3|Mef2c,-3.2,FLT_cluster_12
GO Biological Processes,19,GO:0071415,cellular response to purine-containing compound,19_GO:0050896 response to stimulus,-4,32,9.6,14846,12,115,3,2.6,1.5,12292|20190|74166,Cacna1s|Ryr1|Tmem38a,-3.2,FLT_cluster_12
GO Biological Processes,19,GO:0009261,ribonucleotide catabolic process,19_GO:0009987 cellular process,-4,8.1,6.1,14846,96,115,6,5.2,2.1,11674|13808|15277|18642|18746|56012,Aldoa|Eno3|Hk2|Pfkm|Pkm|Pgam2,-3.2,FLT_cluster_12
