epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds,epoch_elapsed
1,0.90362761,0.90362761,5.628,5s,4.348,4s
2,0.87478011,0.87478011,10.406,10s,4.777,4s
3,0.87061944,0.87061944,15.278,15s,4.872,4s
4,0.86930871,0.86930871,19.824,19s,4.545,4s
5,0.86550926,0.86550926,24.603,24s,4.779,4s
6,0.86465519,0.86465519,28.959,28s,4.356,4s
7,0.86401284,0.86401284,33.546,33s,4.586,4s
8,0.86381542,0.86381542,37.847,37s,4.3,4s
9,0.86340091,0.86340091,42.099,42s,4.251,4s
10,0.86316926,0.86316926,46.44,46s,4.341,4s
11,0.8628506,0.8628506,50.829,50s,4.388,4s
12,0.86323625,0.8628506,54.673,54s,3.843,3s
13,0.86266456,0.86266456,59.071,59s,4.398,4s
14,0.86265092,0.86265092,63.663,1m 3s,4.591,4s
15,0.86251082,0.86251082,68.274,1m 8s,4.61,4s
16,0.86289023,0.86251082,72.709,1m 12s,4.435,4s
17,0.86218481,0.86218481,77.42,1m 17s,4.71,4s
18,0.86257039,0.86218481,81.839,1m 21s,4.418,4s
19,0.86223833,0.86218481,86.268,1m 26s,4.428,4s
20,0.86266326,0.86218481,90.73,1m 30s,4.462,4s
21,0.86293798,0.86218481,94.864,1m 34s,4.133,4s
22,0.86428505,0.86218481,99.417,1m 39s,4.552,4s
23,0.86224885,0.86218481,103.799,1m 43s,4.381,4s
24,0.86205142,0.86205142,107.955,1m 47s,4.155,4s
25,0.86249929,0.86205142,112.503,1m 52s,4.547,4s
26,0.86219651,0.86205142,116.434,1m 56s,3.93,3s
27,0.86175671,0.86175671,120.339,2m 0s,3.905,3s
28,0.86171712,0.86171712,124.263,2m 4s,3.923,3s
29,0.8622653,0.86171712,128.126,2m 8s,3.862,3s
30,0.86304858,0.86171712,132.171,2m 12s,4.044,4s
