accession	condition	ercc_status	profiles
OSD-137	flight	not_annotated	5
OSD-137	ground	not_annotated	6
OSD-168	flight	noERCC	5
OSD-168	flight	wERCC	4
OSD-168	ground	noERCC	5
OSD-168	ground	wERCC	4
OSD-245	flight	not_annotated	18
OSD-245	ground	not_annotated	19
OSD-379	flight	not_annotated	31
OSD-379	ground	not_annotated	31
OSD-463	flight	not_annotated	12
OSD-463	ground	not_annotated	10
OSD-48	flight	not_annotated	7
OSD-48	ground	not_annotated	7
