sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	OSD-379	flight	LAR_OLD	RR8_LVR_FLT_LAR_OLD_FL11	OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	1678	RR8_LVR_FLT_LAR_OLD_FL11	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	OSD-379	flight	LAR_OLD	RR8_LVR_FLT_LAR_OLD_FL15	OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	1679	RR8_LVR_FLT_LAR_OLD_FL15	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	OSD-379	flight	LAR_OLD	RR8_LVR_FLT_LAR_OLD_FL16	OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	1680	RR8_LVR_FLT_LAR_OLD_FL16	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	OSD-379	flight	LAR_OLD	RR8_LVR_FLT_LAR_OLD_FL3	OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	1681	RR8_LVR_FLT_LAR_OLD_FL3	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	OSD-379	flight	LAR_OLD	RR8_LVR_FLT_LAR_OLD_FL4	OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	1682	RR8_LVR_FLT_LAR_OLD_FL4	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	OSD-379	flight	LAR_OLD	RR8_LVR_FLT_LAR_OLD_FL7	OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	1683	RR8_LVR_FLT_LAR_OLD_FL7	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	OSD-379	flight	LAR_OLD	RR8_LVR_FLT_LAR_OLD_FL8	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	1684	RR8_LVR_FLT_LAR_OLD_FL8	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL1	OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	1685	RR8_LVR_FLT_LAR_YNG_FL1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL13	OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	1686	RR8_LVR_FLT_LAR_YNG_FL13	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	OSD-379	flight	LAR_YNG	RR8_LVR_FLT_LAR_YNG_FL14	OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	1687	RR8_LVR_FLT_LAR_YNG_FL14	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
