sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	869	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	870	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	871	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	872	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	873	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	874	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	875	Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	876	Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	877	Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	878	Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	879	Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	880	Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	881	Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	882	Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	883	Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	OSD-245	ground	ISS-T	Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	884	Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	885	Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	886	Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	887	Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	888	Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	889	Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	890	Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	891	Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	892	Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	OSD-245	ground	LAR	Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	893	Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-463_RR23_LVR_FLT_F1	OSD-463	flight	all	RR23_LVR_FLT_F1	OSD-463_RR23_LVR_FLT_F1	2051	RR23_LVR_FLT_F1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F2	OSD-463	flight	all	RR23_LVR_FLT_F2	OSD-463_RR23_LVR_FLT_F2	2052	RR23_LVR_FLT_F2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F3	OSD-463	flight	all	RR23_LVR_FLT_F3	OSD-463_RR23_LVR_FLT_F3	2053	RR23_LVR_FLT_F3	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F4	OSD-463	flight	all	RR23_LVR_FLT_F4	OSD-463_RR23_LVR_FLT_F4	2054	RR23_LVR_FLT_F4	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F5	OSD-463	flight	all	RR23_LVR_FLT_F5	OSD-463_RR23_LVR_FLT_F5	2055	RR23_LVR_FLT_F5	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F6	OSD-463	flight	all	RR23_LVR_FLT_F6	OSD-463_RR23_LVR_FLT_F6	2056	RR23_LVR_FLT_F6	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F7_techrep1	OSD-463	flight	all	RR23_LVR_FLT_F7_techrep1	OSD-463_RR23_LVR_FLT_F7_techrep1	2057	RR23_LVR_FLT_F7_techrep1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F7_techrep2	OSD-463	flight	all	RR23_LVR_FLT_F7_techrep2	OSD-463_RR23_LVR_FLT_F7_techrep2	2058	RR23_LVR_FLT_F7_techrep2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F8_techrep1	OSD-463	flight	all	RR23_LVR_FLT_F8_techrep1	OSD-463_RR23_LVR_FLT_F8_techrep1	2059	RR23_LVR_FLT_F8_techrep1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F8_techrep2	OSD-463	flight	all	RR23_LVR_FLT_F8_techrep2	OSD-463_RR23_LVR_FLT_F8_techrep2	2060	RR23_LVR_FLT_F8_techrep2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F8_techrep3	OSD-463	flight	all	RR23_LVR_FLT_F8_techrep3	OSD-463_RR23_LVR_FLT_F8_techrep3	2061	RR23_LVR_FLT_F8_techrep3	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_FLT_F9	OSD-463	flight	all	RR23_LVR_FLT_F9	OSD-463_RR23_LVR_FLT_F9	2062	RR23_LVR_FLT_F9	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G1_techrep1	OSD-463	ground	all	RR23_LVR_GC_G1_techrep1	OSD-463_RR23_LVR_GC_G1_techrep1	2063	RR23_LVR_GC_G1_techrep1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G1_techrep2	OSD-463	ground	all	RR23_LVR_GC_G1_techrep2	OSD-463_RR23_LVR_GC_G1_techrep2	2064	RR23_LVR_GC_G1_techrep2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G2	OSD-463	ground	all	RR23_LVR_GC_G2	OSD-463_RR23_LVR_GC_G2	2065	RR23_LVR_GC_G2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G3	OSD-463	ground	all	RR23_LVR_GC_G3	OSD-463_RR23_LVR_GC_G3	2066	RR23_LVR_GC_G3	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G4	OSD-463	ground	all	RR23_LVR_GC_G4	OSD-463_RR23_LVR_GC_G4	2067	RR23_LVR_GC_G4	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G5	OSD-463	ground	all	RR23_LVR_GC_G5	OSD-463_RR23_LVR_GC_G5	2068	RR23_LVR_GC_G5	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G6	OSD-463	ground	all	RR23_LVR_GC_G6	OSD-463_RR23_LVR_GC_G6	2069	RR23_LVR_GC_G6	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G7	OSD-463	ground	all	RR23_LVR_GC_G7	OSD-463_RR23_LVR_GC_G7	2070	RR23_LVR_GC_G7	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G8	OSD-463	ground	all	RR23_LVR_GC_G8	OSD-463_RR23_LVR_GC_G8	2071	RR23_LVR_GC_G8	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-463_RR23_LVR_GC_G9	OSD-463	ground	all	RR23_LVR_GC_G9	OSD-463_RR23_LVR_GC_G9	2072	RR23_LVR_GC_G9	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Male	C57BL/6J	not_annotated
OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	OSD-168	flight	all	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	214	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	OSD-168	flight	all	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	215	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	OSD-168	flight	all	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	216	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	OSD-168	flight	all	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	OSD-168_Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	217	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25	OSD-168	flight	all	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25	OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25	232	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26	OSD-168	flight	all	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26	OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26	233	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28	OSD-168	flight	all	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28	OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28	234	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29	OSD-168	flight	all	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29	OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29	235	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30	OSD-168	flight	all	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30	OSD-168_Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30	236	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	OSD-168	ground	all	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	218	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	OSD-168	ground	all	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	219	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	OSD-168	ground	all	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	220	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	OSD-168	ground	all	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	OSD-168_Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	221	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	Liver	liver	Ribo-depletion	PAIRED	Female	BALB/c	wERCC
OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36	OSD-168	ground	all	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36	OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36	242	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37	OSD-168	ground	all	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37	OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37	243	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38	OSD-168	ground	all	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38	OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38	244	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39	OSD-168	ground	all	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39	OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39	245	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40	OSD-168	ground	all	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40	OSD-168_Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40	246	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6J	noERCC
OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48	flight	all	Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep1_M25	9	Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48	flight	all	Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep2_M26	10	Mmus_C57-6J_LVR_FLT_C_Rep2_M26	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48	flight	all	Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep3_M27	11	Mmus_C57-6J_LVR_FLT_C_Rep3_M27	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48	flight	all	Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep4_M28	12	Mmus_C57-6J_LVR_FLT_C_Rep4_M28	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48	flight	all	Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep5_M30	13	Mmus_C57-6J_LVR_FLT_C_Rep5_M30	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48	flight	all	Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep1_M21	14	Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48	flight	all	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep2_M22	15	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48	ground	all	Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep1_M36	16	Mmus_C57-6J_LVR_GC_C_Rep1_M36	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48	ground	all	Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep2_M37	17	Mmus_C57-6J_LVR_GC_C_Rep2_M37	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48	ground	all	Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep3_M38	18	Mmus_C57-6J_LVR_GC_C_Rep3_M38	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48	ground	all	Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep4_M39	19	Mmus_C57-6J_LVR_GC_C_Rep4_M39	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_GC_C_Rep5_M40	OSD-48	ground	all	Mmus_C57-6J_LVR_GC_C_Rep5_M40	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep5_M40	20	Mmus_C57-6J_LVR_GC_C_Rep5_M40	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
OSD-48_Mmus_C57-6J_LVR_GC_I_Rep1_M31	OSD-48	ground	all	Mmus_C57-6J_LVR_GC_I_Rep1_M31	OSD-48_Mmus_C57-6J_LVR_GC_I_Rep1_M31	21	Mmus_C57-6J_LVR_GC_I_Rep1_M31	Liver	liver	polyA enrichment	SINGLE	Female	C57BL/6J	not_annotated
