GO,Description,_LogP_FLT_cluster_02,_LogP_FLT_cluster_03,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_07,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_13,_LogP_FLT_cluster_14,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_07,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13,_LogP_GC_cluster_14
R-MMU-8856828,Clathrin-mediated endocytosis,0.0,0.0,-2.7202389773016313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.369241078371431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-3700989,Transcriptional Regulation by TP53,0.0,0.0,-2.2692319538387844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.613679607547776,0.0,0.0,0.0,-2.1484175249237007,0.0,0.0,0.0,0.0,0.0
R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,0.0,-2.814771838405886,-3.870704021993197,-2.6218183650446676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.802517879290375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0032386,regulation of intracellular transport,0.0,-2.1564032032700884,-2.130046396011316,-2.292072949929637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.376893553936606,-2.8106486162486566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmu04140,Autophagy - animal - Mus musculus (house mouse),0.0,-2.9948129160429424,0.0,-3.8079662574071746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.035521154756914,0.0,0.0,-2.240958208069519,0.0,0.0,0.0,0.0,0.0,0.0
GO:1905897,regulation of response to endoplasmic reticulum stress,0.0,0.0,0.0,-3.5126403757934055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.373172818408476,0.0,0.0,-2.760693771535708,0.0,0.0,0.0,0.0,0.0,0.0
mmu04910,Insulin signaling pathway - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.677363597087729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.468698721086919,-2.3673718724964394,0.0,0.0,0.0,0.0,0.0,-2.5106045293755876,0.0,0.0
mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0969450654071444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.030066060824666,0.0,0.0,0.0
GO:0070482,response to oxygen levels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.173666852174518,0.0,0.0,0.0
CORUM:349,Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex,-4.351016169988173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.7451372645443,0.0,0.0,0.0
