analysis_scope	tissue	gene_id	gene_symbol	expimap_pathway_member	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	expimap_gene_effect	expimap_flt_gc_direction	analysis_roles	generative_any_arm_real_stable	generative_stable_synthetic_arms	generative_all_compared_arms	generative_all_arm_patterns	generative_max_arm_real_permutation_roc_auc	generative_max_arm_minus_real_permutation_roc_auc	generative_any_arm_stable_feature	generative_selected_arm_stable_feature	generative_selected_arm	generative_selection_pattern	real_stable	arm_stable	real_selection_frequency	arm_selection_frequency	real_permutation_roc_auc	arm_real_permutation_roc_auc	arm_minus_real_permutation_roc_auc	selected_arm_importance_rank	real_linear_shap_flight_minus_ground	selected_linear_shap_flight_minus_ground	matched_primary	consensus_secondary	generative_real_meta_effect	generative_real_meta_fdr	generative_flt_gc_direction
canonical_tissue	skin	ENSMUSG00000031673	Cdh11	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	1.0	False	0.6176287484617112	-0.1412891139501426	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000031841	Cdh13	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0.0	False	0.9346944454432176	0.0171052199231229	FLT_higher	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000031962	Cdh15	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0.0	False	0.5869713003186572	0.5407731978440049	FLT_higher	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000024304	Cdh2	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0.0	False	0.5869713003186572	0.1981040262236935	FLT_higher	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000061048	Cdh3	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	1.0	False	0.597636472348996	-0.2131158223306064	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000000305	Cdh4	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0.0	False	0.9797847988837236	0.0117310167010476	FLT_higher	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000031871	Cdh5	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0.0	False	0.5869713003186572	0.3113129390772496	FLT_higher	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000039385	Cdh6	True	1.0	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	1.0	False	0.5869713003186572	-0.6321626101636784	FLT_lower	main	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000019942	Cdk1	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True		generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only	0.0	0.0008482142857143	True	True	real_plus_generated	real_only	True	False	0.625	0.25	-0.0008482142857143	-0.00625	-0.0054017857142856	219.0	-0.0532358992987841	-0.1768228248896207	False	False	NA	NA	NA
canonical_tissue	skin	ENSMUSG00000025358	Cdk2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	guided_low_weight	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_attenuated	0.0030691964285714	-0.0038950892857142	True	True	real_plus_generated	real_only	True	False	0.625	0.75	0.0069642857142856	-0.002157738095238	-0.0091220238095237	192.0	0.0802195127722587	-0.0091459297430915	False	False	NA	NA	NA
