Network,Annotation
FLT_cluster_02,R-MMU-8953854|Metabolism of RNA|-11.7;GO:0042254|ribosome biogenesis|-10.4;R-MMU-72163|mRNA Splicing - Major Pathway|-10.3
FLT_cluster_03,R-MMU-9937383|Mitochondrial ribosome-associated quality control|-13.1;R-MMU-5368287|Mitochondrial translation|-12.3;GO:0006412|translation|-12.0
FLT_cluster_04,GO:0019941|modification-dependent protein catabolic process|-11.4;R-MMU-8953897|Cellular responses to stimuli|-11.2;GO:0043632|modification-dependent macromolecule catabolic process|-11.2
FLT_cluster_05,mmu05022|Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)|-12.7;mmu05010|Alzheimer disease - Mus musculus (house mouse)|-12.6;mmu05012|Parkinson disease - Mus musculus (house mouse)|-12.0
FLT_cluster_06,R-MMU-9954716|ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA|-38.3;R-MMU-975956|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|-38.3;GO:0045333|cellular respiration|-37.9
FLT_cluster_07,mmu05016|Huntington disease - Mus musculus (house mouse)|-6.6;GO:0016236|macroautophagy|-5.7;GO:0006368|transcription elongation by RNA polymerase II|-5.5
FLT_cluster_08,WP441|Matrix metalloproteinases|-5.7;GO:0048812|neuron projection morphogenesis|-5.2;GO:0120039|plasma membrane bounded cell projection morphogenesis|-5.1
FLT_cluster_09,mmu01210|2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)|-12.0;mmu01200|Carbon metabolism - Mus musculus (house mouse)|-9.2;mmu00020|Citrate cycle (TCA cycle) - Mus musculus (house mouse)|-8.9
FLT_cluster_10,mmu05171|Coronavirus disease - Mus musculus (house mouse)|-31.5;WP163|Cytoplasmic ribosomal proteins|-31.1;R-MMU-9954714|PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA|-24.9
FLT_cluster_11,GO:0006631|fatty acid metabolic process|-19.4;GO:0032787|monocarboxylic acid metabolic process|-19.2;GO:0044282|small molecule catabolic process|-18.6
FLT_cluster_12,mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-38.6;GO:0003012|muscle system process|-38.4;GO:0006936|muscle contraction|-33.8
FLT_cluster_13,GO:0006119|oxidative phosphorylation|-20.6;GO:0009060|aerobic respiration|-20.1;mmu00190|Oxidative phosphorylation - Mus musculus (house mouse)|-19.4
FLT_cluster_14,mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-8.7;GO:0061061|muscle structure development|-7.6;GO:0030029|actin filament-based process|-7.2
FLT_cluster_02_MCODE_ALL,GO:0010257|NADH dehydrogenase complex assembly|-8.1;GO:0032981|mitochondrial respiratory chain complex I assembly|-8.1;GO:0033108|mitochondrial respiratory chain complex assembly|-6.7
FLT_cluster_02_SUB2_MCODE_1,GO:0010257|NADH dehydrogenase complex assembly|-8.1;GO:0032981|mitochondrial respiratory chain complex I assembly|-8.1;GO:0033108|mitochondrial respiratory chain complex assembly|-6.7
FLT_cluster_05_MCODE_ALL,R-MMU-9909615|Regulation of PD-L1(CD274) Post-translational modification|-20.4;R-MMU-9909648|Regulation of PD-L1(CD274) expression|-19.3;R-MMU-389948|Co-inhibition by PD-1|-18.7
FLT_cluster_05_SUB1_MCODE_1,R-MMU-195253|Degradation of beta-catenin by the destruction complex|-25.3;R-MMU-4641257|Degradation of AXIN|-25.0;R-MMU-5610785|GLI3 is processed to GLI3R by the proteasome|-24.4
FLT_cluster_05_SUB1_MCODE_2,R-MMU-9013407|RHOH GTPase cycle|-10.1;R-MMU-9931295|PD-L1(CD274) glycosylation and translocation to plasma membrane|-8.6;R-MMU-156588|Glucuronidation|-8.5
FLT_cluster_05_SUB1_MCODE_3,GO:0032212|positive regulation of telomere maintenance via telomerase|-12.4;GO:1904358|positive regulation of telomere maintenance via telomere lengthening|-12.1;CORUM:132|CCT complex (chaperonin containing TCP1 complex)|-11.9
FLT_cluster_05_SUB1_MCODE_4,"CORUM:381|Respiratory chain complex I, mitochondrial|-12.9;CORUM:382|Respiratory chain complex I, mitochondrial|-12.7;WP1248|Oxidative phosphorylation|-12.0"
