gene_id	gmm	hdbscan	spectral	consensus	gene_symbol	gene_label	eligible_meta	significant_fdr05_abs_log2fc1	meta_log2_fold_change	consistent_direction
ENSMUSG00000059187	19	1	18	10	Tafa1	Tafa1	True	False	-0.321024244177715	mixed
ENSMUSG00000034098	0	1	16	1	NA	ENSMUSG00000034098	False	False	NA	NA
ENSMUSG00000030671	20	0	17	9	Pde3b	Pde3b	True	False	0.0253673299035918	mixed
ENSMUSG00000056921	19	1	7	10	Olfr394	Olfr394	True	False	-0.161689985242841	mixed
ENSMUSG00000058624	12	0	8	5	Gda	Gda	True	False	-0.215334086825207	mixed
ENSMUSG00000075387	5	1	4	2	Olfr341	Olfr341	True	False	-0.0225055249762009	mixed
ENSMUSG00000028896	23	0	9	6	Rcc1	Rcc1	True	False	0.0416071146263178	mixed
ENSMUSG00000064220	16	1	14	7	H2ac18	H2ac18	True	False	-0.155537976665137	mixed
ENSMUSG00000007038	9	0	15	3	Neu1	Neu1	True	False	0.0978183055040364	mixed
ENSMUSG00000048351	1	0	15	3	Coa7	Coa7	True	False	0.149071934144144	all_up
ENSMUSG00000020712	8	0	0	0	NA	ENSMUSG00000020712	False	False	NA	NA
ENSMUSG00000047050	19	1	7	10	Olfr914	Olfr914	True	False	0.0118079976082019	mixed
ENSMUSG00000053644	13	0	2	12	Aldh7a1	Aldh7a1	True	False	0.0890069117532422	mixed
ENSMUSG00000043832	16	1	4	2	Clec4a3	Clec4a3	True	False	-0.311962214314432	all_down
ENSMUSG00000104063	5	1	4	2	Pcdhgb7	Pcdhgb7	True	False	-0.157371493674639	mixed
ENSMUSG00000044141	8	0	0	0	NA	ENSMUSG00000044141	False	False	NA	NA
ENSMUSG00000064127	17	0	8	5	Med14	Med14	True	False	0.0697411421220838	mixed
ENSMUSG00000078506	8	0	0	0	NA	ENSMUSG00000078506	False	False	NA	NA
ENSMUSG00000069678	23	1	5	2	Pcgf1	Pcgf1	True	False	0.160850598779236	mixed
ENSMUSG00000025764	12	0	17	9	Jade1	Jade1	True	False	-0.032808773518641	mixed
ENSMUSG00000003341	8	0	13	0	NA	ENSMUSG00000003341	False	False	NA	NA
ENSMUSG00000038496	8	0	0	0	NA	ENSMUSG00000038496	False	False	NA	NA
ENSMUSG00000006526	18	0	9	6	Stimate	Stimate	True	False	0.0522109843368288	mixed
ENSMUSG00000064330	5	1	4	2	Pde6h	Pde6h	True	False	-0.0498053792309126	mixed
ENSMUSG00000053044	7	1	14	7	Cd8b1	Cd8b1	True	False	-0.541077158772599	mixed
ENSMUSG00000094443	8	0	0	0	NA	ENSMUSG00000094443	False	False	NA	NA
ENSMUSG00000044405	0	2	11	1	Adig	Adig	False	False	1.50419187085622	all_up
ENSMUSG00000054716	22	1	5	2	Zfp771	Zfp771	True	False	-0.0286282734444851	mixed
ENSMUSG00000049349	8	0	0	0	NA	ENSMUSG00000049349	False	False	NA	NA
ENSMUSG00000032185	1	0	15	3	Carm1	Carm1	True	False	0.139934751809035	mixed
ENSMUSG00000029507	21	0	9	3	Pus1	Pus1	True	False	0.0773771489515746	mixed
