tissue	term	effect_seed2020	effect_seed2021	effect_seed2022	all_three_seeds_available	all_three_direction_concordant	seed_effect_median	seed_effect_minimum	seed_effect_maximum	primary_absolute_percentile
spleen	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	0.0322411651499999	-0.0075979876583333	-0.0733307279444444	True	False	-0.0075979876583333	-0.0733307279444444	0.0322411651499999	0.673352435530086
spleen	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	-0.0055217486583333	-0.0143430757222224	0.0394737284805554	True	False	-0.0055217486583333	-0.0143430757222224	0.0394737284805554	0.4383954154727794
spleen	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	-0.0735479444166666	-0.1062161428722224	0.0686525779194444	True	False	-0.0735479444166666	-0.1062161428722224	0.0686525779194444	0.8424068767908309
spleen	R-MMU-5685942_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	0.0028034123255666	-0.0008724089087291	-0.0001358989174388	True	False	-0.0001358989174388	-0.0008724089087291	0.0028034123255666	0.335243553008596
spleen	R-MMU-5688426_DEUBIQUITINATION	-0.0756766513333332	-0.0062240844305555	0.0331700995916666	True	False	-0.0062240844305555	-0.0756766513333332	0.0331700995916666	0.8595988538681948
spleen	R-MMU-5689603_UCH_PROTEINASES	-0.0004448999130555	-0.000922945603161	0.0010871345700499	True	False	-0.0004448999130555	-0.000922945603161	0.0010871345700499	0.0773638968481375
spleen	R-MMU-5689880_UB_SPECIFIC_PROCESSING_PROTEASES	0.0138859915004166	-0.0043420567166666	-0.0856515080193055	True	False	-0.0043420567166666	-0.0856515080193055	0.0138859915004166	0.5530085959885387
spleen	R-MMU-5689901_METALLOPROTEASE_DUBS	-0.0066895496451222	-0.0029042456662499	0.0003339034413916	True	False	-0.0029042456662499	-0.0066895496451222	0.0003339034413916	0.4641833810888252
spleen	R-MMU-5690714_CD22_MEDIATED_BCR_REGULATION	0.0037912801618666	-0.0090152118264444	0.0052245440052388	True	False	0.0037912801618666	-0.0090152118264444	0.0052245440052388	0.3925501432664756
spleen	R-MMU-5693532_DNA_DOUBLE_STRAND_BREAK_REPAIR	0.0029314452277777	0.0885129580722223	0.077460667815	True	True	0.077460667815	0.0029314452277777	0.0885129580722223	0.3438395415472779
spleen	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	0.0860817316999999	0.0931295671137777	0.043592917408611	True	True	0.0860817316999999	0.043592917408611	0.0931295671137777	0.8997134670487106
spleen	R-MMU-5693565_RECRUITMENT_AND_ATM_MEDIATED_PHOSPHORYLATION_OF_REPAIR_AND_SIGNALING_PROTEINS_AT_DNA_DOUBLE_STRAND_BREAKS	-0.0163398215694444	0.0013033517640305	0.001552834016601	True	False	0.0013033517640305	-0.0163398215694444	0.001552834016601	0.5787965616045845
spleen	R-MMU-5693567_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR_OR_SINGLE_STRAND_ANNEALING_SSA	-0.0010454412727278	0.0065712947721666	0.0018989063608933	True	False	0.0018989063608933	-0.0010454412727278	0.0065712947721666	0.1891117478510028
spleen	R-MMU-5693571_NONHOMOLOGOUS_END_JOINING_NHEJ	7.128082756666669e-05	0.0016016480202388	-0.0004464088144883	True	False	7.128082756666669e-05	-0.0004464088144883	0.0016016480202388	0.0171919770773638
spleen	R-MMU-5693606_DNA_DOUBLE_STRAND_BREAK_RESPONSE	3.99759924027599e-05	0.0030833936777041	5.113909505579999e-06	True	True	3.99759924027599e-05	5.113909505579999e-06	0.0030833936777041	0.0057306590257879
spleen	R-MMU-5693607_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	-0.0011821474183333	-0.0009049173316666	-0.000837351417093	True	True	-0.0009049173316666	-0.0011821474183333	-0.000837351417093	0.2292263610315186
spleen	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	-0.0224403499416667	0.0491122358555554	0.056439073211111	True	False	0.0491122358555554	-0.0224403499416667	0.056439073211111	0.5988538681948424
spleen	R-MMU-606279_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	0.0008176037807698	-0.0018758495446833	0.0001685827743111	True	False	0.0001685827743111	-0.0018758495446833	0.0008176037807698	0.154727793696275
spleen	R-MMU-6791226_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	-0.0913403390638888	-0.0887329560055555	NA	False	False	-0.0900366475347221	-0.0913403390638888	-0.0887329560055555	0.9083094555873924
spleen	R-MMU-6791312_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES	0.0004289582865	NA	0.0002075689669222	False	False	0.0003182636267111	0.0002075689669222	0.0004289582865	0.0744985673352435
spleen	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	-0.2628305464944446	-0.1641614865905555	-0.1822968772083332	True	True	-0.1822968772083332	-0.2628305464944446	-0.1641614865905555	1.0
spleen	R-MMU-6803157_ANTIMICROBIAL_PEPTIDES	-0.0426227459133333	-0.1919424166272222	-0.1407352283727777	True	True	-0.1407352283727777	-0.1919424166272222	-0.0426227459133333	0.7191977077363897
spleen	R-MMU-6804756_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION	0.0003245845232277	0.0019057120476444	0.0002940855100055	True	True	0.0003245845232277	0.0002940855100055	0.0019057120476444	0.0487106017191977
spleen	R-MMU-6806667_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.0012572991193738	-0.0003171591013111	NA	False	False	0.0004700700090313	-0.0003171591013111	0.0012572991193738	0.2349570200573066
spleen	R-MMU-6806834_SIGNALING_BY_MET	0.0419642942222221	0.0631182239916666	0.0020326245912721	True	True	0.0419642942222221	0.0020326245912721	0.0631182239916666	0.7163323782234957
spleen	R-MMU-6807878_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	NA	NA	-0.000126034124825	False	False	-0.000126034124825	-0.000126034124825	-0.000126034124825	NA
spleen	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	-0.0009809421460555	-0.011283886602611	0.0656572294244444	True	False	-0.0009809421460555	-0.011283886602611	0.0656572294244444	0.1805157593123209
spleen	R-MMU-6811442_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.090309811491	0.0068682235749999	0.0922901331155556	True	True	0.090309811491	0.0068682235749999	0.0922901331155556	0.9054441260744984
spleen	R-MMU-6811558_PI5P_PP2A_AND_IER3_REGULATE_PI3K_AKT_SIGNALING	0.0029226754815444	-0.0605485150055555	0.0438277532444444	True	False	0.0029226754815444	-0.0605485150055555	0.0438277532444444	0.3409742120343839
spleen	R-MMU-68875_MITOTIC_PROPHASE	-0.0014281001189333	-0.000667802955686	-0.0005395604119527	True	True	-0.000667802955686	-0.0014281001189333	-0.0005395604119527	0.2550143266475644
spleen	R-MMU-68877_MITOTIC_PROMETAPHASE	-0.0011397156827778	0.0082528070828888	0.0002708086555555	True	False	0.0002708086555555	-0.0011397156827778	0.0082528070828888	0.2177650429799427
spleen	R-MMU-68882_MITOTIC_ANAPHASE	0.0055149510604916	0.0034907294984833	0.0011644945286388	True	True	0.0034907294984833	0.0011644945286388	0.0055149510604916	0.4355300859598854
spleen	R-MMU-68886_M_PHASE	-0.089522210525	-0.0240197227105555	-0.0095604885499999	True	True	-0.0240197227105555	-0.089522210525	-0.0095604885499999	0.9025787965616046
spleen	R-MMU-68962_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	-0.0009688610391888	-0.0001301449605444	0.0007591644138471	True	False	-0.0001301449605444	-0.0009688610391888	0.0007591644138471	0.1747851002865329
spleen	R-MMU-69002_DNA_REPLICATION_PRE_INITIATION	0.0008358223014833	0.0001613929375111	-0.0007246757048666	True	False	0.0001613929375111	-0.0007246757048666	0.0008358223014833	0.163323782234957
spleen	R-MMU-69052_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	-5.99615591110666e-05	-0.0008665218819444	0.001078009112636	True	False	-5.99615591110666e-05	-0.0008665218819444	0.001078009112636	0.0114613180515759
spleen	R-MMU-69206_G1_S_TRANSITION	0.0015532873497222	0.0037051364926499	-0.0003247944967555	True	False	0.0015532873497222	-0.0003247944967555	0.0037051364926499	0.2693409742120344
spleen	R-MMU-69231_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1	-0.0025426503220555	-0.0008149342126277	-0.0004357647230829	True	True	-0.0008149342126277	-0.0025426503220555	-0.0004357647230829	0.318051575931232
spleen	R-MMU-69236_G1_PHASE	0.0015361010481666	-0.0329116868117222	-0.053743327205	True	False	-0.0329116868117222	-0.053743327205	0.0015361010481666	0.2664756446991404
spleen	R-MMU-69239_SYNTHESIS_OF_DNA	-0.0035878253017777	-0.0075323885243333	8.46022049444243e-05	True	False	-0.0035878253017777	-0.0075323885243333	8.46022049444243e-05	0.3839541547277937
spleen	R-MMU-69242_S_PHASE	-0.0663269359383333	0.0018212131316944	-0.0019552894743639	True	False	-0.0019552894743639	-0.0663269359383333	0.0018212131316944	0.8252148997134671
spleen	R-MMU-69273_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	-0.0004270408005111	-0.0007718190976577	-0.0003722738122844	True	True	-0.0004270408005111	-0.0007718190976577	-0.0003722738122844	0.0716332378223495
spleen	R-MMU-69275_G2_M_TRANSITION	-0.0010912538068444	-0.0009846496608666	-0.0435944791955555	True	True	-0.0010912538068444	-0.0435944791955555	-0.0009846496608666	0.2005730659025787
spleen	R-MMU-69278_CELL_CYCLE_MITOTIC	0.0637742820277775	0.099054254861111	0.0891249362694444	True	True	0.0891249362694444	0.0637742820277775	0.099054254861111	0.8194842406876791
spleen	R-MMU-69306_DNA_REPLICATION	-0.0005634329629166	0.0010148526476861	0.0007529176558702	True	False	0.0007529176558702	-0.0005634329629166	0.0010148526476861	0.1031518624641833
spleen	R-MMU-69473_G2_M_DNA_DAMAGE_CHECKPOINT	-0.0013608008935833	0.007328608929121	0.0001990092303277	True	False	0.0001990092303277	-0.0013608008935833	0.007328608929121	0.2435530085959885
spleen	R-MMU-69481_G2_M_CHECKPOINTS	-0.0002952240437133	0.0068041259876805	-0.0004360385185555	True	False	-0.0002952240437133	-0.0004360385185555	0.0068041259876805	0.0401146131805157
spleen	R-MMU-69618_MITOTIC_SPINDLE_CHECKPOINT	-0.0014594799920277	0.0009973191189177	0.0005958205975327	True	False	0.0005958205975327	-0.0014594799920277	0.0009973191189177	0.2607449856733524
spleen	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	-0.0263196733027778	-0.001001612666111	-0.0005833945880555	True	True	-0.001001612666111	-0.0263196733027778	-0.0005833945880555	0.6189111747851003
spleen	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	-0.0450612912777777	0.0527186895888889	-0.0417735063944444	True	False	-0.0417735063944444	-0.0450612912777777	0.0527186895888889	0.7277936962750716
spleen	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	-0.0234666576111112	-0.0446525576111111	-0.0539482516944445	True	True	-0.0446525576111111	-0.0539482516944445	-0.0234666576111112	0.6017191977077364
