tissue	term	display_term	decision	manual_category	seed	pathway_effect	pathway_genes_in_hvg_model	member_gene_same_direction_fraction	median_member_gene_log2cpm_effect	decoder_direction_match_fraction	decoder_abs_weight_direction_match_fraction	decoder_gene_effect_spearman	top_decoder_concordant_member_genes
kidney	R-MMU-8978868_FATTY_ACID_METABOLISM	Fatty Acid Metabolism	exclude	seed_inconsistent	2020	0.1000384732815788	60	0.7833333333333333	0.1114717296316002	0.5166666666666667	0.592365935823939	0.15109752709085858	Acsbg1 (raw +0.22, weight +0.44); Ptgds (raw +0.25, weight +0.40); Scd1 (raw +0.04, weight +0.39); Thrsp (raw +0.36, weight +0.38); Hacd4 (raw +0.13, weight +0.33); Fasn (raw +0.35, weight +0.31); Elovl3 (raw +0.32, weight +0.23); Akr1c21 (raw -0.07, weight -0.22)
kidney	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	Developmental Biology	exclude	broad_redundant	2020	0.0967190057748541	131	0.8091603053435115	0.08925280584260668	0.5190839694656488	0.538480530104631	-0.12634922329578818	Krt4 (raw +0.01, weight +0.98); Gap43 (raw +0.04, weight +0.79); Krt14 (raw +0.00, weight +0.71); Krt15 (raw +0.07, weight +0.65); Krt23 (raw +0.20, weight +0.64); Krt20 (raw +0.17, weight +0.48); Cdsn (raw +0.08, weight +0.47); Pkp1 (raw +0.16, weight +0.44)
kidney	R-MMU-445355_SMOOTH_MUSCLE_CONTRACTION	Smooth Muscle Contraction	exclude	composition_sensitive	2020	0.0839337876619882	15	1.0	0.1798155462006991	1.0	1.0	0.44999999999999996	Tpm2 (raw +0.24, weight +0.58); Cald1 (raw +0.21, weight +0.49); Myl9 (raw +0.15, weight +0.46); Tpm1 (raw +0.14, weight +0.39); Acta2 (raw +0.32, weight +0.39); Myh11 (raw +0.36, weight +0.35); Actg2 (raw +0.17, weight +0.30); Gucy1a1 (raw +0.32, weight +0.30)
kidney	R-MMU-392499_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	exclude	broad_redundant	2020	0.083896327631578	324	0.7438271604938271	0.06404022932379114	0.5123456790123457	0.5839423859306448	0.10983814488458453	Lypd3 (raw +0.03, weight +0.53); Lep (raw +0.02, weight +0.46); mt-Nd4l (raw -0.09, weight -0.45); Vgf (raw +0.00, weight +0.45); Spon2 (raw +0.13, weight +0.45); Muc19 (raw +0.02, weight +0.44); Muc4 (raw +0.01, weight +0.43); Nrn1 (raw +0.02, weight +0.42)
kidney	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	G Alpha I Signalling Events	exclude	broad_redundant	2020	-0.1007964916374269	78	0.38461538461538464	0.03997508628370205	0.5641025641025641	0.6229652388468193	0.2691755660568358	Rgs1 (raw -0.00, weight +0.64); Ccr7 (raw -0.09, weight +0.52); Ccr1 (raw -0.06, weight +0.48); Cxcl12 (raw +0.04, weight -0.45); Ccl21a (raw +0.18, weight -0.36); Ccl4 (raw -0.10, weight +0.36); Npy (raw +0.15, weight -0.32); Rgs5 (raw +0.18, weight -0.32)
kidney	R-MMU-6805567_KERATINIZATION	Keratinization	exclude	tissue_incongruent	2020	0.0793630617546783	23	0.782608695652174	0.07932217158923603	0.782608695652174	0.8692401888656175	0.4594861660079051	Krt18 (raw +0.18, weight +0.66); Krt8 (raw +0.15, weight +0.65); Krt19 (raw +0.22, weight +0.54); Krt7 (raw +0.12, weight +0.52); Krt20 (raw +0.17, weight +0.50); Perp (raw +0.01, weight +0.40); Ppl (raw +0.14, weight +0.34); Krt80 (raw +0.15, weight +0.27)
kidney	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	Transmission Across Chemical Synapses	exclude	tissue_incongruent	2020	-0.0696307578362574	37	0.43243243243243246	0.033448180547745565	0.5405405405405406	0.5533093587409539	0.3025130393551446	Chrna4 (raw -0.07, weight +0.60); Kcnj16 (raw -0.03, weight +0.40); Gabrb3 (raw -0.20, weight +0.38); Slc1a1 (raw -0.00, weight +0.33); Apba1 (raw +0.25, weight -0.32); Slc22a1 (raw -0.00, weight +0.31); Slc6a12 (raw +0.44, weight -0.26); Cacnb4 (raw -0.07, weight +0.25)
kidney	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	Golgi To Er Retrograde Transport	exclude	seed_inconsistent	2020	-0.0740460631200292	19	0.21052631578947367	0.10789188520454851	0.47368421052631576	0.5047983480773539	0.5526315789473685	Kif20b (raw -0.23, weight +0.55); Kif11 (raw -0.02, weight +0.53); Kif1a (raw +0.21, weight -0.20); Tubb3 (raw +0.12, weight -0.14); Kif20a (raw -0.01, weight +0.09); Tubb2a (raw +0.20, weight -0.08); Tuba1a (raw +0.16, weight -0.08); Kif26a (raw +0.17, weight -0.07)
kidney	R-MMU-168249_INNATE_IMMUNE_SYSTEM	Innate Immune System	exclude	composition_sensitive	2020	-0.0751073163011696	258	0.29457364341085274	0.05360180856351582	0.41472868217054265	0.4185217847405092	0.16182780502751545	Lyz2 (raw -0.02, weight +0.48); Ly86 (raw -0.03, weight +0.39); Glipr1 (raw -0.09, weight +0.38); Itgax (raw -0.07, weight +0.36); C8a (raw +0.01, weight -0.35); Pld4 (raw -0.01, weight +0.34); Siglecg (raw -0.16, weight +0.34); Ifi205 (raw -0.20, weight +0.32)
kidney	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism Of Amino Acids And Derivatives	exclude	latent_gene_discordant	2020	-0.0848743164619886	75	0.26666666666666666	0.06934095377440641	0.41333333333333333	0.4146448151390016	0.19399715504978662	Pah (raw -0.18, weight +0.84); Aass (raw -0.06, weight +0.62); Dbh (raw +0.09, weight -0.60); Agxt2 (raw -0.00, weight +0.58); Th (raw +0.07, weight -0.55); Kmo (raw -0.05, weight +0.51); Dmgdh (raw -0.02, weight +0.50); Gatm (raw -0.05, weight +0.44)
kidney	R-MMU-9757110_PREDNISONE_ADME	Prednisone Adme	exclude	seed_inconsistent	2020	-0.0905975036606725	19	0.5263157894736842	-0.0066683976096283916	0.47368421052631576	0.5266561876834509	-0.02982456140350877	Serpina6 (raw +0.20, weight -0.50); Ugt1a2 (raw +0.38, weight -0.30); Ugt2b37 (raw +0.04, weight -0.18); Ugt2b1 (raw -0.01, weight +0.18); Ugt1a5 (raw -0.40, weight +0.14); Cyp3a13 (raw -0.02, weight +0.08); Akr1c21 (raw -0.07, weight +0.04); Ugt2b34 (raw -0.06, weight +0.02)
