tissue	term	heldout_project_direction_concordance	heldout_projects	heldout_top_decile_selection_fraction	heldout_selected_direction_concordance	heldout_selected_folds
kidney	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-170834_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-1793185_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-1799339_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-186797_SIGNALING_BY_PDGF	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-192105_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.5	6	0.0	NA	NA
kidney	R-MMU-193704_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-194068_BILE_ACID_AND_BILE_SALT_METABOLISM	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-194138_SIGNALING_BY_VEGF	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	0.5	6	0.0	NA	NA
kidney	R-MMU-195258_RHO_GTPASE_EFFECTORS	1.0	6	0.1666666666666666	1.0	1.0
kidney	R-MMU-195721_SIGNALING_BY_WNT	1.0	6	0.3333333333333333	1.0	2.0
kidney	R-MMU-196071_METABOLISM_OF_STEROID_HORMONES	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-1971475_GLYCOSAMINOGLYCAN_PROTEIN_LINKAGE_REGION_BIOSYNTHESIS	0.5	6	0.0	NA	NA
kidney	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.5	6	0.3333333333333333	0.0	2.0
kidney	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-199977_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.0	6	0.0	NA	NA
kidney	R-MMU-199991_MEMBRANE_TRAFFICKING	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-201681_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-2022090_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-202403_TCR_SIGNALING	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-211859_BIOLOGICAL_OXIDATIONS	0.8333333333333334	6	0.6666666666666666	0.75	4.0
kidney	R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.5	6	0.0	NA	NA
kidney	R-MMU-212165_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-212300_PRC2_METHYLATES_HISTONES_AND_DNA	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	0.5	6	0.0	NA	NA
kidney	R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-2142753_ARACHIDONATE_METABOLISM	0.8333333333333334	6	0.8333333333333334	0.8	5.0
kidney	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-2168880_SCAVENGING_OF_HEME_FROM_PLASMA	0.6666666666666666	6	0.3333333333333333	0.0	2.0
kidney	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.6666666666666666	6	0.8333333333333334	0.6	5.0
kidney	R-MMU-2173789_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	0.8333333333333334	6	0.5	0.6666666666666666	3.0
kidney	R-MMU-2299718_CONDENSATION_OF_PROPHASE_CHROMOSOMES	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-2454202_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-2467813_SEPARATION_OF_SISTER_CHROMATIDS	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-2500257_RESOLUTION_OF_SISTER_CHROMATID_COHESION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-2559583_CELLULAR_SENESCENCE	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-2672351_STIMULI_SENSING_CHANNELS	0.8333333333333334	6	0.6666666666666666	0.75	4.0
kidney	R-MMU-2682334_EPH_EPHRIN_SIGNALING	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	0.5	6	0.0	NA	NA
kidney	R-MMU-2990846_SUMOYLATION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-3000178_ECM_PROTEOGLYCANS	0.8333333333333334	6	0.8333333333333334	0.8	5.0
kidney	R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-3214841_PKMTS_METHYLATE_HISTONE_LYSINES	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-3214842_HDMS_DEMETHYLATE_HISTONES	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-3214847_HATS_ACETYLATE_HISTONES	0.3333333333333333	6	0.1666666666666666	0.0	1.0
kidney	R-MMU-3214858_RMTS_METHYLATE_HISTONE_ARGININES	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	0.5	6	0.3333333333333333	0.0	2.0
kidney	R-MMU-352230_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.5	6	0.0	NA	NA
kidney	R-MMU-372790_SIGNALING_BY_GPCR	1.0	6	0.0	NA	NA
kidney	R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0.0	6	0.0	NA	NA
kidney	R-MMU-373755_SEMAPHORIN_INTERACTIONS	1.0	6	0.0	NA	NA
kidney	R-MMU-373760_L1CAM_INTERACTIONS	0.5	6	0.0	NA	NA
kidney	R-MMU-375165_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.6666666666666666	6	0.1666666666666666	0.0	1.0
kidney	R-MMU-380108_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-382556_ABC_FAMILY_PROTEIN_MEDIATED_TRANSPORT	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-383280_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-3858494_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-388841_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	1.0	6	0.0	NA	NA
kidney	R-MMU-389948_CO_INHIBITION_BY_PD_1	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-392499_METABOLISM_OF_PROTEINS	0.6666666666666666	6	0.8333333333333334	0.6	5.0
kidney	R-MMU-397014_MUSCLE_CONTRACTION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-416476_G_ALPHA_Q_SIGNALLING_EVENTS	0.6666666666666666	6	0.1666666666666666	0.0	1.0
kidney	R-MMU-416482_G_ALPHA_12_13_SIGNALLING_EVENTS	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-418346_PLATELET_HOMEOSTASIS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-418555_G_ALPHA_S_SIGNALLING_EVENTS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	0.8333333333333334	6	0.8333333333333334	0.8	5.0
kidney	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	0.5	6	0.0	NA	NA
kidney	R-MMU-419037_NCAM1_INTERACTIONS	0.5	6	0.0	NA	NA
kidney	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	0.8333333333333334	6	0.0	NA	NA
