tissue	term	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	absolute_attenuation_fraction
kidney	R-MMU-109581_APOPTOSIS	0.01699409347644377	-0.02193127942654633	False	1.2905236432261715	-0.2905236432261715
kidney	R-MMU-109582_HEMOSTASIS	0.035597029179331316	0.04247451251782435	True	1.1932038570928358	-0.19320385709283583
kidney	R-MMU-110330_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	-0.0001265783522378418	-0.000334705696684706	True	2.6442570215781536	-1.6442570215781536
kidney	R-MMU-110331_CLEAVAGE_OF_THE_DAMAGED_PURINE	-0.0005255955772378416	1.1988543925871782e-05	False	0.022809445979121597	0.9771905540208784
kidney	R-MMU-111465_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	-0.028783095295459728	-0.01886473882144138	True	0.6554103590247683	0.3445896409752317
kidney	R-MMU-111885_OPIOID_SIGNALLING	0.0011044161652424007	0.00037026680328353074	True	0.33526021705981046	0.6647397829401895
kidney	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	-0.011075030391337387	0.0254370614178762	False	2.2967938253038507	-1.2967938253038507
kidney	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.0811940738981763	-0.0023592876109520076	True	0.029057386797843622	0.9709426132021564
kidney	R-MMU-112316_NEURONAL_SYSTEM	-0.014411401899696051	-0.0038108184391313286	True	0.2644307934547091	0.7355692065452909
kidney	R-MMU-114608_PLATELET_DEGRANULATION	0.15844628429331306	0.08975701915145734	True	0.5664823227113404	0.43351767728865964
kidney	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.000339511452987082	-0.0023445949888990024	False	6.905790565445848	-5.905790565445848
kidney	R-MMU-1222556_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	-0.009617233122302433	0.027330792711346384	False	2.8418561101494024	-1.8418561101494024
kidney	R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	2.1370973263677137e-05	0.0010505447368068896	True	49.15755234191569	-48.15755234191569
kidney	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	0.010425382424392097	0.028854554149169293	True	2.767721410550731	-1.767721410550731
kidney	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	0.10212072082066871	0.015984859421365325	True	0.15652905005866422	0.8434709499413358
kidney	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	-0.03725256227203651	-0.03175152204209477	True	0.8523312251712932	0.14766877482870677
kidney	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	-0.07910476954483278	-0.016553207964031473	True	0.20925676238333404	0.790743237616666
kidney	R-MMU-1296071_POTASSIUM_CHANNELS	-0.04517360395136784	-0.0029342057325189314	True	0.06495398807847574	0.9350460119215243
kidney	R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	-0.05551239080547113	0.08791470824929909	False	1.5836952250421628	-0.5836952250421628
kidney	R-MMU-1430728_METABOLISM	0.14344340900455924	0.054700779393110764	True	0.381340486626138	0.6186595133738619
kidney	R-MMU-1442490_COLLAGEN_DEGRADATION	-0.03193024069148936	0.01616810994896643	False	0.5063572838420807	0.4936427161579193
kidney	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.11445046501177812	0.005195525754261025	True	0.045395409741029465	0.9546045902589705
kidney	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	0.0003435953647415961	0.0120677553768781	True	35.121997020983564	-34.121997020983564
kidney	R-MMU-1474290_COLLAGEN_FORMATION	0.03961171043313069	0.019284394720419963	True	0.4868356985738934	0.5131643014261066
kidney	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.04784350715501519	0.004422016413879917	True	0.09242667765873389	0.9075733223412661
kidney	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	-0.021117039920212764	0.0008270128141047702	False	0.03916329264089574	0.9608367073591042
kidney	R-MMU-1500931_CELL_CELL_COMMUNICATION	0.050267226878419446	0.025906551520215825	True	0.5153765809057976	0.48462341909420237
kidney	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	-0.03446506448708208	-0.015216492599950093	True	0.44150483471903607	0.558495165280964
kidney	R-MMU-156588_GLUCURONIDATION	-0.053158568269756824	-0.0033563598513042395	True	0.06313864275411181	0.9368613572458881
kidney	R-MMU-156590_GLUTATHIONE_CONJUGATION	-0.0011248977677978723	-0.0002991577620890186	True	0.2659421777275434	0.7340578222724565
kidney	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	0.07504887069528875	0.01780177398548647	True	0.23720242317522294	0.762797576824777
