gene	coefficient	abs_coefficient	direction	rank
ENSMUSG00000108128	129.97531	129.97531	flight	155
ENSMUSG00000042596	129.95323	129.95323	flight	156
ENSMUSG00000119793	129.91624	129.91624	flight	157
ENSMUSG00000044988	129.66228	129.66228	flight	158
ENSMUSG00000079699	129.34628	129.34628	flight	159
ENSMUSG00000041359	129.28336	129.28336	flight	160
ENSMUSG00000018924	129.24734	129.24734	flight	161
ENSMUSG00000107198	129.00493	129.00493	flight	162
ENSMUSG00000049620	-128.99814	128.99814	ground_control	163
ENSMUSG00000026043	-128.9225	128.9225	ground_control	164
ENSMUSG00000020482	-128.7271	128.7271	ground_control	165
ENSMUSG00000076145	128.67165	128.67165	flight	166
ENSMUSG00000027484	128.597	128.597	flight	167
ENSMUSG00000078618	128.48315	128.48315	flight	168
ENSMUSG00000096068	-128.4711	128.4711	ground_control	169
ENSMUSG00000065519	-128.32147	128.32147	ground_control	170
ENSMUSG00000119547	128.29857	128.29857	flight	171
ENSMUSG00000086396	128.05385	128.05385	flight	172
ENSMUSG00000049653	-128.00159	128.00159	ground_control	173
ENSMUSG00000078921	-127.60934	127.60934	ground_control	174
ENSMUSG00000085077	127.260216	127.260216	flight	175
ENSMUSG00000077704	127.18666	127.18666	flight	176
ENSMUSG00000081501	126.92287	126.92287	flight	177
ENSMUSG00000051839	126.79306	126.79306	flight	178
ENSMUSG00000095525	-126.5908	126.5908	ground_control	179
ENSMUSG00000020288	-126.52132	126.52132	ground_control	180
ENSMUSG00000100890	126.27346	126.27346	flight	181
ENSMUSG00000001774	-126.270485	126.270485	ground_control	182
ENSMUSG00000087009	126.25504	126.25504	flight	183
ENSMUSG00000105972	-125.91096	125.91096	ground_control	184
ENSMUSG00000061022	125.847435	125.847435	flight	185
ENSMUSG00000059690	125.84485	125.84485	flight	186
ENSMUSG00000085241	125.81529	125.81529	flight	187
ENSMUSG00000104755	-125.73505	125.73505	ground_control	188
ENSMUSG00000009356	125.63742	125.63742	flight	189
ENSMUSG00000118729	-125.58744	125.58744	ground_control	190
ENSMUSG00000096399	-125.56045	125.56045	ground_control	191
ENSMUSG00000070077	125.490746	125.490746	flight	192
ENSMUSG00000061361	-125.30719	125.30719	ground_control	193
ENSMUSG00000064417	-125.14377	125.14377	ground_control	194
ENSMUSG00000008482	-125.14239	125.14239	ground_control	195
ENSMUSG00000013338	125.08512	125.08512	flight	196
ENSMUSG00000029409	124.90461	124.90461	flight	197
ENSMUSG00000097129	-124.821884	124.821884	ground_control	198
ENSMUSG00000074634	-124.66194	124.66194	ground_control	199
ENSMUSG00000028738	-124.60101	124.60101	ground_control	200
