representation	n_rows_evaluated	n_features	n_clusters	kmeans_inertia	silhouette	knn_cv_accuracy_mean	knn_cv_accuracy_std	trustworthiness_vs_raw_expression
ftsae_latent	5000	64	15	134676.546875	0.3489169478416443	0.677	0.005932958789676535	0.9148640273914578
ftsae_pca_10d	5000	10	15	70409.71875	0.38378140330314636	0.7028	0.009703607576566572	0.8685771401811978
ftsae_pca_2d	5000	2	15	6963.50146484375	0.5002927780151367	0.6698000000000001	0.01227028932014235	0.7662991680903636
raw_pca_10d	5000	10	15	1882860.75	0.6332471966743469	0.9057999999999999	0.013332666649999178	0.9312794865278268
raw_pca_2d	5000	2	15	144273.984375	0.5880600810050964	0.7996	0.009199999999999974	0.7749639336392516
