gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000099968	3	2	1	0	0
ENSMUSG00000068742	13	13	12	0	1
ENSMUSG00000027306	13	11	8	0	9
ENSMUSG00000112937	3	2	1	0	0
ENSMUSG00000011148	0	7	12	0	6
ENSMUSG00000035547	13	12	7	0	13
ENSMUSG00000037788	13	7	6	0	3
ENSMUSG00000050334	3	13	0	0	6
ENSMUSG00000078672	12	0	10	10	7
ENSMUSG00000045968	3	2	1	0	0
ENSMUSG00000022346	13	11	3	0	14
ENSMUSG00000021381	3	2	1	0	0
ENSMUSG00000058407	0	10	6	0	3
ENSMUSG00000057110	0	4	3	6	12
ENSMUSG00000058028	3	2	1	0	0
ENSMUSG00000021070	3	2	1	0	0
ENSMUSG00000110253	3	2	1	0	0
ENSMUSG00000043831	3	2	1	0	0
ENSMUSG00000055811	3	2	1	0	0
ENSMUSG00000005882	0	13	12	0	6
ENSMUSG00000066262	3	2	1	0	0
ENSMUSG00000019791	13	8	2	0	4
ENSMUSG00000080115	3	2	1	0	0
ENSMUSG00000105279	3	2	1	0	0
ENSMUSG00000118298	3	2	1	0	0
ENSMUSG00000053334	3	2	1	0	0
ENSMUSG00000056724	13	4	3	0	12
ENSMUSG00000029810	11	0	13	6	8
ENSMUSG00000063919	3	1	2	0	4
ENSMUSG00000055301	13	8	2	0	4
ENSMUSG00000030493	3	2	1	0	0
ENSMUSG00000033623	0	4	6	0	2
ENSMUSG00000024650	13	13	13	0	8
ENSMUSG00000097908	3	2	1	0	0
ENSMUSG00000046846	3	2	1	0	0
ENSMUSG00000037134	13	8	2	0	14
ENSMUSG00000021622	9	5	14	14	10
ENSMUSG00000022965	0	10	12	0	13
ENSMUSG00000097652	3	2	1	0	0
ENSMUSG00000052180	3	2	1	0	0
ENSMUSG00000033053	3	2	1	0	0
ENSMUSG00000003518	11	5	9	6	6
ENSMUSG00000087152	3	2	1	0	0
ENSMUSG00000023066	13	3	2	0	14
ENSMUSG00000074250	3	2	1	0	0
ENSMUSG00000061353	11	9	3	6	12
ENSMUSG00000117328	3	2	1	0	0
ENSMUSG00000030214	0	4	3	0	12
ENSMUSG00000085972	3	2	1	0	0
ENSMUSG00000058628	3	2	1	0	0
ENSMUSG00000020982	0	10	6	6	3
ENSMUSG00000094985	3	2	1	0	0
ENSMUSG00000046589	3	2	1	0	0
ENSMUSG00000096537	3	2	1	0	0
ENSMUSG00000031681	13	12	2	0	4
ENSMUSG00000098134	3	2	1	0	0
ENSMUSG00000037369	0	4	6	6	3
ENSMUSG00000040601	3	3	8	0	9
ENSMUSG00000001909	13	11	5	0	2
ENSMUSG00000093839	3	2	1	0	0
ENSMUSG00000042810	13	11	5	0	14
ENSMUSG00000026047	3	8	1	0	0
ENSMUSG00000099907	3	2	1	0	0
ENSMUSG00000025375	13	13	9	0	1
ENSMUSG00000031303	3	2	1	0	0
ENSMUSG00000046717	3	2	1	0	0
ENSMUSG00000024145	3	2	1	0	0
ENSMUSG00000021756	9	9	4	6	3
ENSMUSG00000061518	9	5	14	14	10
ENSMUSG00000018593	5	14	4	5	10
ENSMUSG00000073914	3	2	1	0	0
ENSMUSG00000030194	3	2	1	0	0
ENSMUSG00000020386	0	0	0	6	6
ENSMUSG00000012483	3	8	2	0	9
ENSMUSG00000021113	13	12	2	0	4
ENSMUSG00000030165	3	2	1	0	0
ENSMUSG00000029439	0	4	5	0	2
ENSMUSG00000044345	13	11	12	0	13
ENSMUSG00000031952	3	2	1	0	0
ENSMUSG00000020694	0	10	6	0	3
ENSMUSG00000029059	13	13	2	0	6
ENSMUSG00000105557	3	2	1	0	0
ENSMUSG00000059146	0	5	0	0	6
ENSMUSG00000035177	3	2	1	0	0
ENSMUSG00000020024	13	3	2	0	14
ENSMUSG00000039246	13	12	13	0	8
ENSMUSG00000032038	13	7	7	0	13
ENSMUSG00000020831	3	8	1	0	0
ENSMUSG00000009907	0	10	6	6	3
ENSMUSG00000087519	3	2	1	0	0
ENSMUSG00000101500	3	2	1	0	0
ENSMUSG00000031271	3	2	1	0	0
ENSMUSG00000079451	3	2	1	0	0
ENSMUSG00000067529	3	2	1	0	0
ENSMUSG00000094893	3	2	1	0	0
ENSMUSG00000097069	3	2	1	0	0
ENSMUSG00000039753	11	10	6	6	3
ENSMUSG00000016206	3	3	2	0	14
ENSMUSG00000034731	0	0	9	0	13
ENSMUSG00000031430	3	2	1	0	0
ENSMUSG00000053801	3	8	1	0	0
ENSMUSG00000015749	0	10	6	6	3
ENSMUSG00000030378	7	7	11	10	5
ENSMUSG00000014039	13	3	2	0	14
ENSMUSG00000020936	0	0	12	6	2
ENSMUSG00000096918	3	2	1	0	0
ENSMUSG00000021589	13	1	0	0	6
ENSMUSG00000106589	3	2	1	0	0
ENSMUSG00000043410	3	2	1	0	0
ENSMUSG00000043243	3	3	2	0	14
ENSMUSG00000031979	13	3	2	0	4
ENSMUSG00000032890	13	13	9	0	1
ENSMUSG00000042515	3	2	1	0	0
ENSMUSG00000043301	3	1	1	0	0
ENSMUSG00000022235	13	12	13	0	8
ENSMUSG00000044676	13	1	0	0	1
ENSMUSG00000036192	13	0	6	0	1
ENSMUSG00000022812	11	14	6	6	3
ENSMUSG00000048500	3	2	1	0	0
ENSMUSG00000020679	3	8	2	0	4
ENSMUSG00000067599	3	2	1	0	0
ENSMUSG00000017754	0	7	12	0	2
ENSMUSG00000006356	11	0	14	14	10
ENSMUSG00000080615	3	2	1	0	0
ENSMUSG00000041126	13	7	5	0	6
ENSMUSG00000064043	13	12	2	0	14
ENSMUSG00000065500	3	2	1	0	0
ENSMUSG00000023959	11	0	12	6	13
ENSMUSG00000054431	3	2	1	0	0
ENSMUSG00000025473	3	8	2	0	4
ENSMUSG00000079049	3	2	1	0	0
ENSMUSG00000023571	3	8	2	0	4
ENSMUSG00000026384	11	5	0	6	6
ENSMUSG00000027018	13	3	5	0	9
ENSMUSG00000023015	13	11	5	0	9
ENSMUSG00000035047	13	11	3	0	14
ENSMUSG00000040563	3	1	9	0	1
ENSMUSG00000068267	11	0	12	6	13
ENSMUSG00000079701	3	2	1	0	0
ENSMUSG00000001076	3	2	1	0	0
ENSMUSG00000057417	3	2	1	0	0
ENSMUSG00000027009	11	4	3	6	12
ENSMUSG00000025586	3	1	2	0	4
ENSMUSG00000020812	3	2	1	0	0
ENSMUSG00000038102	0	10	6	0	2
ENSMUSG00000030654	11	14	6	6	3
ENSMUSG00000053338	3	2	1	0	0
ENSMUSG00000024712	0	0	7	6	13
ENSMUSG00000020064	0	4	6	6	3
ENSMUSG00000071451	3	2	1	0	0
ENSMUSG00000019988	13	3	2	0	9
ENSMUSG00000109511	13	11	5	0	9
ENSMUSG00000049098	3	2	1	0	0
ENSMUSG00000000248	3	2	1	0	0
ENSMUSG00000097424	3	2	1	0	0
ENSMUSG00000057156	3	2	1	0	0
ENSMUSG00000000489	13	8	2	0	4
ENSMUSG00000020130	13	4	8	0	9
ENSMUSG00000028229	13	8	2	0	4
ENSMUSG00000062825	10	9	4	5	10
ENSMUSG00000020375	13	12	2	0	4
ENSMUSG00000046532	0	7	12	0	8
ENSMUSG00000039556	3	2	1	0	0
ENSMUSG00000005370	13	4	5	0	9
ENSMUSG00000094196	3	2	1	0	0
ENSMUSG00000021779	13	13	12	0	1
ENSMUSG00000035245	13	12	2	0	4
ENSMUSG00000031605	0	0	9	0	1
ENSMUSG00000029705	11	9	6	6	3
ENSMUSG00000063730	13	12	2	0	4
ENSMUSG00000031204	3	2	1	0	0
ENSMUSG00000119508	3	2	1	0	0
ENSMUSG00000091749	3	2	1	0	0
ENSMUSG00000002428	0	4	6	0	3
ENSMUSG00000032698	13	11	3	0	14
ENSMUSG00000050345	3	2	1	0	0
ENSMUSG00000056481	3	2	1	0	0
ENSMUSG00000034210	0	10	6	6	3
ENSMUSG00000041193	3	8	2	0	4
ENSMUSG00000095377	3	2	1	0	0
ENSMUSG00000033728	3	8	2	0	4
ENSMUSG00000054457	3	2	1	0	0
ENSMUSG00000041571	11	5	9	9	11
ENSMUSG00000086355	3	2	1	0	0
ENSMUSG00000043605	3	2	1	0	0
ENSMUSG00000019731	0	10	12	6	2
ENSMUSG00000051375	0	0	9	6	1
ENSMUSG00000046006	3	2	1	0	0
ENSMUSG00000009013	11	0	6	6	3
ENSMUSG00000098702	3	2	1	0	0
ENSMUSG00000017843	11	10	6	6	3
ENSMUSG00000039795	13	8	2	0	4
ENSMUSG00000031502	9	14	4	5	10
ENSMUSG00000050714	13	3	2	0	14
ENSMUSG00000020839	13	12	13	0	8
ENSMUSG00000041215	13	11	5	0	14
ENSMUSG00000068196	13	12	2	0	4
ENSMUSG00000028842	0	10	6	0	3
ENSMUSG00000067787	13	13	12	0	1
ENSMUSG00000075153	3	2	1	0	0
ENSMUSG00000075202	3	2	1	0	0
ENSMUSG00000061048	3	8	2	0	4
ENSMUSG00000052135	3	2	1	0	0
ENSMUSG00000019916	0	10	12	6	13
ENSMUSG00000040663	3	3	3	0	14
ENSMUSG00000078675	7	11	11	0	5
ENSMUSG00000042942	3	8	1	0	0
ENSMUSG00000022856	3	2	1	0	0
ENSMUSG00000021958	3	2	1	0	0
ENSMUSG00000024459	3	2	1	0	0
ENSMUSG00000034855	3	8	1	0	0
ENSMUSG00000046008	3	7	5	0	9
ENSMUSG00000032046	0	0	9	6	1
ENSMUSG00000057143	13	11	3	0	14
ENSMUSG00000008090	13	12	2	0	4
ENSMUSG00000066899	3	2	1	0	0
ENSMUSG00000047014	3	2	1	0	0
