direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
down_in_flight	REACTOME_HEMOSTASIS	Hemostasis	2	OSD-245,OSD-463	0.00011041905542674612	-0.2866817929447	immune_complement_coagulation
up_in_flight	REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	Transport Of Ribonucleoproteins Into The Host Nucleus	2	OSD-245,OSD-379	0.00013343758137973372	1.0234369432537322	
up_in_flight	REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C	Autodegradation Of Cdh1 By Cdh1 Apc C	2	OSD-379,OSD-463	0.00014339462978929816	0.8908043948644286	
down_in_flight	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Platelet Activation Signaling And Aggregation	2	OSD-245,OSD-463	0.000188737542526788	-0.42087310148524815	immune_complement_coagulation
up_in_flight	REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	Autodegradation Of The E3 Ubiquitin Ligase Cop1	2	OSD-379,OSD-463	0.00024256160145705457	0.876309873213061	protein_processing_localization
up_in_flight	REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	P53 Dependent G1 Dna Damage Response	2	OSD-379,OSD-463	0.000264863962884155	0.7891631249381721	
down_in_flight	REACTOME_XENOBIOTICS	Xenobiotics	2	OSD-245,OSD-379	0.0002663850028752816	-1.2808853824661603	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	Destabilization Of Mrna By Auf1 Hnrnp D0	2	OSD-379,OSD-463	0.0003125227958812643	0.6715976515009632	
up_in_flight	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	Orc1 Removal From Chromatin	2	OSD-379,OSD-463	0.0003125227958812643	0.6909442791850972	
up_in_flight	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	Vif Mediated Degradation Of Apobec3G	2	OSD-379,OSD-463	0.0003223137120057298	0.8712173520768349	
up_in_flight	REACTOME_MRNA_3_END_PROCESSING	Mrna 3 End Processing	2	OSD-245,OSD-379	0.0003855056675896692	0.9158905068428401	
up_in_flight	REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	Cleavage Of Growing Transcript In The Termination Region 	2	OSD-245,OSD-379	0.00040379717839853933	0.8272129381334103	
up_in_flight	REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	P53 Independent G1 S Dna Damage Checkpoint	2	OSD-379,OSD-463	0.00040379717839853933	0.7933334993233138	
down_in_flight	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Cell Surface Interactions At The Vascular Wall	2	OSD-245,OSD-463	0.0006368001169587007	-0.692295874519126	
up_in_flight	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Scf Beta Trcp Mediated Degradation Of Emi1	2	OSD-379,OSD-463	0.0006682729344906795	0.8856379779326681	
up_in_flight	REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	Cdk Mediated Phosphorylation And Removal Of Cdc6	2	OSD-379,OSD-463	0.0008195245405736448	0.8105495613720433	
