direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
up_in_flight	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	Fatty Acyl Coa Biosynthesis	1	OSD-379	0.0007138562804080969	1.7442611920292208	
up_in_flight	REACTOME_ER_PHAGOSOME_PATHWAY	Er Phagosome Pathway	1	OSD-379	0.0007590180574422106	0.9223368706962595	
up_in_flight	REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	Traf6 Mediated Irf7 Activation	1	OSD-379	0.0007590180574422106	1.5167006628688036	
up_in_flight	REACTOME_GLUCOSE_TRANSPORT	Glucose Transport	1	OSD-379	0.0008154111635301358	0.9819148749491378	
up_in_flight	REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER	Transcription Coupled Ner Tc Ner	1	OSD-379	0.0009244320405211636	0.8320907219305903	
up_in_flight	REACTOME_PERK_REGULATED_GENE_EXPRESSION	Perk Regulated Gene Expression	1	OSD-379	0.0009584148036465897	1.2291641832597329	
down_in_flight	REACTOME_METABOLISM_OF_RNA	Metabolism Of Rna	1	OSD-245	0.000991242973484488	-0.399731948293967	
up_in_flight	REACTOME_ACTIVATION_OF_GENES_BY_ATF4	Activation Of Genes By Atf4	1	OSD-379	0.0010018398907331446	1.312041306128883	
down_in_flight	REACTOME_CALNEXIN_CALRETICULIN_CYCLE	Calnexin Calreticulin Cycle	1	OSD-463	0.0010424296492370002	-2.5335161907653037	
up_in_flight	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	Downstream Signaling Events Of B Cell Receptor Bcr	1	OSD-379	0.0011481064114487415	0.5995712249962998	
up_in_flight	REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	Traf3 Dependent Irf Activation Pathway	1	OSD-379	0.0014800065835287829	1.637223709321149	
up_in_flight	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	Antiviral Mechanism By Ifn Stimulated Genes	1	OSD-379	0.0015674851072317226	0.6586796329950482	
up_in_flight	REACTOME_CHROMOSOME_MAINTENANCE	Chromosome Maintenance	1	OSD-379	0.0016920834195684965	0.7051999464123009	
up_in_flight	REACTOME_DNA_STRAND_ELONGATION	Dna Strand Elongation	1	OSD-379	0.001725748390276724	1.0968923975816582	
up_in_flight	REACTOME_MEMBRANE_TRAFFICKING	Membrane Trafficking	1	OSD-379	0.001725748390276724	0.4928663008009532	
up_in_flight	REACTOME_METABOLISM_OF_MRNA	Metabolism Of Mrna	1	OSD-379	0.002026204284137389	0.4131173695024219	
up_in_flight	REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	Processive Synthesis On The Lagging Strand	1	OSD-379	0.002199690602208132	1.4611992500664779	
up_in_flight	REACTOME_GLYCOLYSIS	Glycolysis	1	OSD-379	0.002260930788293725	1.0587544210357613	
up_in_flight	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	Apoptotic Cleavage Of Cellular Proteins	1	OSD-379	0.0023111420307398694	1.0591232158390216	
up_in_flight	REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	Rna Pol Ii Transcription Pre Initiation And Promoter Opening	1	OSD-379	0.0023111420307398694	0.8225928770043456	
up_in_flight	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	Apoptotic Cleavage Of Cell Adhesion Proteins	1	OSD-379	0.0025651320895387956	2.1503507466488485	
down_in_flight	REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	Cytosolic Sulfonation Of Small Molecules	1	OSD-245	0.0027929399694377483	-0.999876985528653	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_DOUBLE_STRAND_BREAK_REPAIR	Double Strand Break Repair	1	OSD-379	0.0028090295578198504	1.1305318961851527	
up_in_flight	REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	Endosomal Sorting Complex Required For Transport Escrt	1	OSD-379	0.0028878511580303352	0.9298567322218797	
down_in_flight	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	G Alpha I Signalling Events	1	OSD-245	0.0030217913461405505	-0.41422373344306	
down_in_flight	REACTOME_PHASE_II_CONJUGATION	Phase Ii Conjugation	1	OSD-245	0.003057259337907885	-0.485625644612256	
up_in_flight	REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_	Formation Of Rna Pol Ii Elongation Complex 	1	OSD-379	0.0030952099222976903	0.8629714619972552	
up_in_flight	REACTOME_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	1	OSD-379	0.0031908651480664235	0.27707626461531365	
up_in_flight	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	Response To Elevated Platelet Cytosolic Ca2 	1	OSD-379	0.003356257873059235	0.5881861103107245	immune_complement_coagulation
down_in_flight	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	Formation Of Tubulin Folding Intermediates By Cct Tric	1	OSD-463	0.003375327499455312	-1.6726792622572526	protein_processing_localization
up_in_flight	REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	Inhibition Of Replication Initiation Of Damaged Dna By Rb1 E2F1	1	OSD-379	0.00350567355002779	1.615896609637994	
up_in_flight	REACTOME_DARPP_32_EVENTS	Darpp 32 Events	1	OSD-379	0.003580475408554456	0.9464655640067692	
down_in_flight	REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	Platelet Adhesion To Exposed Collagen	1	OSD-245	0.003721141439128486	-1.139747732294623	immune_complement_coagulation
up_in_flight	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	Transcriptional Regulation Of White Adipocyte Differentiation	1	OSD-379	0.003767544906807329	0.5399822289608757	
up_in_flight	REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	Formation Of Incision Complex In Gg Ner	1	OSD-379	0.0038911257479568996	1.0261233011759687	
up_in_flight	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	Processing Of Intronless Pre Mrnas	1	OSD-379	0.004183548972587387	1.3414969601684443	
down_in_flight	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	Phosphorylation Of Cd3 And Tcr Zeta Chains	1	OSD-245	0.004564465593375067	-1.3476142536572153	
up_in_flight	REACTOME_APOPTOTIC_EXECUTION_PHASE	Apoptotic Execution Phase	1	OSD-379	0.0048704215805497825	0.8796646465232326	
up_in_flight	REACTOME_DEVELOPMENTAL_BIOLOGY	Developmental Biology	1	OSD-379	0.004887584254603303	0.2250749013127502	
up_in_flight	REACTOME_G1_S_TRANSITION	G1 S Transition	1	OSD-379	0.004887584254603303	0.4815211131321487	
up_in_flight	REACTOME_MITOTIC_G1_G1_S_PHASES	Mitotic G1 G1 S Phases	1	OSD-379	0.005030229323179397	0.40371179738276314	
down_in_flight	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Olfactory Signaling Pathway	1	OSD-379	0.00518488074488432	-0.46016102146663745	
up_in_flight	REACTOME_ACTIVATED_TLR4_SIGNALLING	Activated Tlr4 Signalling	1	OSD-379	0.005366474656702432	0.549130558782507	
up_in_flight	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	Processing Of Capped Intronless Pre Mrna	1	OSD-379	0.0056512529052948545	1.1133862376872927	
up_in_flight	REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	Rig I Mda5 Mediated Induction Of Ifn Alpha Beta Pathways	1	OSD-379	0.0057199302655230695	0.7450234775241398	
up_in_flight	REACTOME_MRNA_CAPPING	Mrna Capping	1	OSD-379	0.0062799153134056145	0.9153785721081816	
down_in_flight	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	Fatty Acyl Coa Biosynthesis	1	OSD-463	0.006365400999814686	-1.8923828625690482	
up_in_flight	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	Branched Chain Amino Acid Catabolism	1	OSD-463	0.006390645422560439	1.6057313901017283	
up_in_flight	REACTOME_SIGNALING_BY_FGFR_MUTANTS	Signaling By Fgfr Mutants	1	OSD-379	0.006554751861918934	0.7495811989991858	
down_in_flight	REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	Generic Transcription Pathway	1	OSD-463	0.006594330355180149	-0.40339153009076073	
up_in_flight	REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	Jnk C Jun Kinases Phosphorylation And Activation Mediated By Activated Human Tak1	1	OSD-245	0.006725433336344909	1.3820492722688318	
down_in_flight	REACTOME_PD1_SIGNALING	Pd1 Signaling	1	OSD-245	0.00804029491602764	-1.0973973660339222	
up_in_flight	REACTOME_SIGNALING_BY_HIPPO	Signaling By Hippo	1	OSD-379	0.008128154668688652	1.3030047355258962	
up_in_flight	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	Synthesis Of Pips At The Golgi Membrane	1	OSD-379	0.008149998198736564	0.9741415139368188	
up_in_flight	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	Signaling By Tgf Beta Receptor Complex	1	OSD-379	0.008796126761580219	0.585740642368977	
up_in_flight	REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	Formation Of The Hiv1 Early Elongation Complex	1	OSD-379	0.008884737457059437	0.8370907731576555	
down_in_flight	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Peptide Ligand Binding Receptors	1	OSD-245	0.009008503180743154	-0.4204146663814643	
down_in_flight	REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	Trafficking And Processing Of Endosomal Tlr	1	OSD-245	0.009042594169841028	-1.208028360699476	
down_in_flight	REACTOME_NCAM1_INTERACTIONS	Ncam1 Interactions	1	OSD-245	0.010050461610209947	-0.6141976825674529	
down_in_flight	REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA	Activation Of Chaperones By Atf6 Alpha	1	OSD-463	0.0105762683576568	-1.6595168510309195	
down_in_flight	REACTOME_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	1	OSD-245	0.010796732072972102	-0.23060879513268112	
down_in_flight	REACTOME_SIGNALING_BY_NOTCH3	Signaling By Notch3	1	OSD-245	0.011084686744442643	-1.1620468156525667	
up_in_flight	REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	Sema4D Induced Cell Migration And Growth Cone Collapse	1	OSD-379	0.011308836881895113	0.8371421304107312	
up_in_flight	REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION	Rna Pol I Rna Pol Iii And Mitochondrial Transcription	1	OSD-379	0.011954192487889833	0.6243017869967339	
down_in_flight	REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	Cdt1 Association With The Cdc6 Orc Origin Complex	1	OSD-245	0.012829638187249156	-0.5074932405503605	
down_in_flight	REACTOME_GAP_JUNCTION_ASSEMBLY	Gap Junction Assembly	1	OSD-245	0.012829638187249156	-1.3055384698662749	
down_in_flight	REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	Il 3 5 And Gm Csf Signaling	1	OSD-463	0.013102821397329443	-0.9853602291436301	
down_in_flight	REACTOME_IL_6_SIGNALING	Il 6 Signaling	1	OSD-463	0.013102821397329443	-2.0016836755202134	
down_in_flight	REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	Prefoldin Mediated Transfer Of Substrate To Cct Tric	1	OSD-463	0.013102821397329443	-1.235999072025937	
up_in_flight	REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	Ngf Signalling Via Trka From The Plasma Membrane	1	OSD-379	0.013701764133018103	0.3808632820213199	
down_in_flight	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism Of Amino Acids And Derivatives	1	OSD-245	0.014463914833763731	-0.2008788130457029	
up_in_flight	REACTOME_SIGNALLING_BY_NGF	Signalling By Ngf	1	OSD-379	0.014955405925133692	0.32413107532920643	
down_in_flight	REACTOME_ER_PHAGOSOME_PATHWAY	Er Phagosome Pathway	1	OSD-245	0.014992027977275325	-0.45781194406757303	
down_in_flight	REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	Receptor Ligand Binding Initiates The Second Proteolytic Cleavage Of Notch Receptor	1	OSD-245	0.015515003080184945	-1.1099893767574078	
down_in_flight	REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	Chylomicron Mediated Lipid Transport	1	OSD-245	0.01566537900922607	-0.708219195567911	lipid_steroid_xenobiotic_metabolism
down_in_flight	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Cross Presentation Of Soluble Exogenous Antigens Endosomes	1	OSD-245	0.016089590001578686	-0.5152948333188111	
up_in_flight	REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	Cell Cell Junction Organization	1	OSD-379	0.0171290920831405	0.6818412632856452	
up_in_flight	REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA	Activation Of Chaperones By Atf6 Alpha	1	OSD-379	0.017291492330600407	1.5240379791971106	
up_in_flight	REACTOME_TIGHT_JUNCTION_INTERACTIONS	Tight Junction Interactions	1	OSD-379	0.017983390608826658	1.0083093187607535	
up_in_flight	REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	Mrna Decay By 3 To 5 Exoribonuclease	1	OSD-379	0.018062974316884	1.4934888282582155	
up_in_flight	REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX	Formation Of Transcription Coupled Ner Tc Ner Repair Complex	1	OSD-379	0.018151734680415248	0.7121549451228708	
up_in_flight	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	Apc Cdc20 Mediated Degradation Of Nek2A	1	OSD-463	0.018203143308264867	1.2328806478268366	
up_in_flight	REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	Trafficking Of Ampa Receptors	1	OSD-463	0.018438459792879724	1.2230245515842315	
down_in_flight	REACTOME_SIGNALING_BY_NOTCH4	Signaling By Notch4	1	OSD-245	0.01904072192293478	-1.1539743351704943	
down_in_flight	REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	Keratan Sulfate Biosynthesis	1	OSD-463	0.019514669549061406	-0.9656340237127436	
down_in_flight	REACTOME_MRNA_PROCESSING	Mrna Processing	1	OSD-463	0.019514669549061406	-0.4662841034079129	
down_in_flight	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Processing Of Capped Intron Containing Pre Mrna	1	OSD-463	0.019514669549061406	-0.49178162167130424	
down_in_flight	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	Gpvi Mediated Activation Cascade	1	OSD-463	0.01953745281495247	-0.923705784427767	
up_in_flight	REACTOME_CALNEXIN_CALRETICULIN_CYCLE	Calnexin Calreticulin Cycle	1	OSD-379	0.01977049254993368	1.4858400133915508	
up_in_flight	REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	Glycogen Breakdown Glycogenolysis	1	OSD-379	0.021197613267616034	1.1147804208050927	
down_in_flight	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	Regulation Of Ornithine Decarboxylase Odc	1	OSD-245	0.0212594041640637	-0.43179441742950875	
up_in_flight	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	Association Of Tric Cct With Target Proteins During Biosynthesis	1	OSD-379	0.02214734621719534	0.7287599126260667	
up_in_flight	REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	Repair Synthesis For Gap Filling By Dna Pol In Tc Ner	1	OSD-379	0.022162655443602575	1.1044113882073499	
up_in_flight	REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	Hormone Sensitive Lipase Hsl Mediated Triacylglycerol Hydrolysis	1	OSD-463	0.022313791066077407	1.3579593266649477	
down_in_flight	REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	Adp Signalling Through P2Ry1	1	OSD-245	0.022368320570254452	-0.9930680235876068	
up_in_flight	REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	Synthesis Of Very Long Chain Fatty Acyl Coas	1	OSD-379	0.022437539483077144	1.2741239220119385	
down_in_flight	REACTOME_METAL_ION_SLC_TRANSPORTERS	Metal Ion Slc Transporters	1	OSD-463	0.02248751966250139	-1.6453059617946173	
up_in_flight	REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	Conversion From Apc C Cdc20 To Apc C Cdh1 In Late Anaphase	1	OSD-463	0.02303039081256677	1.2811663835962324	
up_in_flight	REACTOME_GPCR_DOWNSTREAM_SIGNALING	Gpcr Downstream Signaling	1	OSD-245	0.023959509675648003	0.16760095767416158	
up_in_flight	REACTOME_CELL_JUNCTION_ORGANIZATION	Cell Junction Organization	1	OSD-379	0.02437631699066573	0.47519887231923946	
up_in_flight	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	Factors Involved In Megakaryocyte Development And Platelet Production	1	OSD-379	0.024618034212670108	0.3696312594592691	immune_complement_coagulation
up_in_flight	REACTOME_TOLL_RECEPTOR_CASCADES	Toll Receptor Cascades	1	OSD-379	0.024618034212670108	0.43109991227499456	
up_in_flight	REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	Myd88 Mal Cascade Initiated On Plasma Membrane	1	OSD-379	0.024687330334741065	0.4729684086369966	
down_in_flight	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	Apc C Cdc20 Mediated Degradation Of Mitotic Proteins	1	OSD-245	0.025007680190666452	-0.39316242350735436	
down_in_flight	REACTOME_SIGNAL_AMPLIFICATION	Signal Amplification	1	OSD-245	0.025007680190666452	-0.809393817151485	
up_in_flight	REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	Sema4D In Semaphorin Signaling	1	OSD-379	0.027171699352078048	0.6583230066755862	
up_in_flight	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	Apc C Cdc20 Mediated Degradation Of Cyclin B	1	OSD-463	0.027981951515755117	1.1576549568215626	
up_in_flight	REACTOME_TRNA_AMINOACYLATION	Trna Aminoacylation	1	OSD-379	0.02845372093573275	0.5643622812457908	translation_ribosome
down_in_flight	REACTOME_SIGNALING_BY_NOTCH2	Signaling By Notch2	1	OSD-245	0.028793579706124676	-1.0471013207906634	
down_in_flight	REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	Acyl Chain Remodelling Of Pc	1	OSD-245	0.029537220346579445	-0.9034292885912295	
down_in_flight	REACTOME_LIPOPROTEIN_METABOLISM	Lipoprotein Metabolism	1	OSD-245	0.029537220346579445	-0.5175894630207754	
down_in_flight	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	Transmembrane Transport Of Small Molecules	1	OSD-245	0.029537220346579445	-0.15553248812055095	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_SIGNALLING_TO_ERKS	Signalling To Erks	1	OSD-379	0.029854156468720007	0.7674898044879264	
up_in_flight	REACTOME_PHOSPHORYLATION_OF_THE_APC_C	Phosphorylation Of The Apc C	1	OSD-463	0.030480388851240006	1.156493994000791	
down_in_flight	REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	Cleavage Of Growing Transcript In The Termination Region 	1	OSD-463	0.030679370414613143	-0.8483090664529507	
down_in_flight	REACTOME_RNA_POL_II_TRANSCRIPTION	Rna Pol Ii Transcription	1	OSD-463	0.030679370414613143	-0.5097644982650746	
up_in_flight	REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	Regulation Of Rheb Gtpase Activity By Ampk	1	OSD-379	0.030700523371295824	1.0644898405782104	
down_in_flight	REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	Scfskp2 Mediated Degradation Of P27 P21	1	OSD-245	0.031149235251675934	-0.38806060379159046	
down_in_flight	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	O Linked Glycosylation Of Mucins	1	OSD-463	0.03163482812791021	-0.8748828900384126	
down_in_flight	REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	Ptm Gamma Carboxylation Hypusine Formation And Arylsulfatase Activation	1	OSD-245	0.03289307636954114	-0.6705523086321991	
down_in_flight	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	G Alpha Q Signalling Events	1	OSD-379	0.03297661218982232	-0.48912304607126744	
up_in_flight	REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	Inhibition Of The Proteolytic Activity Of Apc C Required For The Onset Of Anaphase By Mitotic Spindle Checkpoint Components	1	OSD-463	0.03364234906971572	1.1279439807654008	
down_in_flight	REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	Lipid Digestion Mobilization And Transport	1	OSD-245	0.0337488972892546	-0.4034494187811446	lipid_steroid_xenobiotic_metabolism
down_in_flight	REACTOME_AMYLOIDS	Amyloids	1	OSD-245	0.03384486135400142	-0.6626607327219705	
up_in_flight	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	Synthesis Of Bile Acids And Bile Salts Via 7Alpha Hydroxycholesterol	1	OSD-463	0.034287814460368556	2.0016766896859686	lipid_steroid_xenobiotic_metabolism
down_in_flight	REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	Class A1 Rhodopsin Like Receptors	1	OSD-379	0.034439874717731696	-0.43363080603768167	
up_in_flight	REACTOME_METABOLISM_OF_CARBOHYDRATES	Metabolism Of Carbohydrates	1	OSD-379	0.0344755078005346	0.25458791644423007	
down_in_flight	REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	Regulation Of Mitotic Cell Cycle	1	OSD-245	0.0356566997197078	-0.31966894596287165	
down_in_flight	REACTOME_IL1_SIGNALING	Il1 Signaling	1	OSD-463	0.03579007419174314	-0.8527752009596701	
down_in_flight	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	N Glycan Antennae Elongation	1	OSD-463	0.03579007419174314	-1.5510539266397547	
up_in_flight	REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	Ionotropic Activity Of Kainate Receptors	1	OSD-379	0.036213641040707054	1.0728388796137098	
up_in_flight	REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	Creb Phosphorylation Through The Activation Of Ras	1	OSD-379	0.037240168274371994	0.7244458576011475	
up_in_flight	REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP	Destabilization Of Mrna By Ksrp	1	OSD-379	0.037240168274371994	1.0005690644276553	
up_in_flight	REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	Mapk Targets Nuclear Events Mediated By Map Kinases	1	OSD-379	0.037240168274371994	0.5811293676162772	
down_in_flight	REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	Cdk Mediated Phosphorylation And Removal Of Cdc6	1	OSD-245	0.03753174455728475	-0.41191778713056504	
down_in_flight	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	Vif Mediated Degradation Of Apobec3G	1	OSD-245	0.03753174455728475	-0.4348978626328399	
up_in_flight	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	Synthesis Of Pips At The Late Endosome Membrane	1	OSD-379	0.03808277598337459	0.9762666997222875	
down_in_flight	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	Glycosaminoglycan Metabolism	1	OSD-245	0.03911331882836608	-0.3458257923403455	
down_in_flight	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Regulation Of Insulin Like Growth Factor Igf Activity By Insulin Like Growth Factor Binding Proteins Igfbps	1	OSD-245	0.03911331882836608	-0.7177530640568811	
up_in_flight	REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	Creb Phosphorylation Through The Activation Of Camkii	1	OSD-379	0.03927013072385658	1.0551552845586019	
up_in_flight	REACTOME_PYRUVATE_METABOLISM	Pyruvate Metabolism	1	OSD-379	0.03927013072385658	1.0530816817830098	
down_in_flight	REACTOME_REGULATION_OF_IFNG_SIGNALING	Regulation Of Ifng Signaling	1	OSD-463	0.03987342861879741	-1.5993281181058965	
up_in_flight	REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	Map Kinase Activation In Tlr Cascade	1	OSD-379	0.03988956246006721	0.4702016086697027	
down_in_flight	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	Transport Of Glucose And Other Sugars Bile Salts And Organic Acids Metal Ions And Amine Compounds	1	OSD-245	0.04019721129588058	-0.3773099896016129	
up_in_flight	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	Traf6 Mediated Induction Of Nfkb And Map Kinases Upon Tlr7 8 Or 9 Activation	1	OSD-379	0.040201483134543	0.4151920093860629	
down_in_flight	REACTOME_TCR_SIGNALING	Tcr Signaling	1	OSD-463	0.04083850329718489	-0.5406380926258613	
up_in_flight	REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	Trif Mediated Tlr3 Signaling	1	OSD-379	0.04091000966048681	0.41140330640322037	
down_in_flight	REACTOME_REGULATION_OF_INSULIN_SECRETION	Regulation Of Insulin Secretion	1	OSD-245	0.0409876635834131	-0.4202192034165459	
up_in_flight	REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	N Glycan Trimming In The Er And Calnexin Calreticulin Cycle	1	OSD-379	0.04105294294473093	1.2056511845421427	
up_in_flight	REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	Regulation Of Pyruvate Dehydrogenase Pdh Complex	1	OSD-379	0.041195133828754026	1.2219078520617386	
up_in_flight	REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1	Destabilization Of Mrna By Brf1	1	OSD-379	0.04247485494440855	1.0446713245960693	
