accession	rank_direction	gene_id	gene_symbol	baseMean	log2FoldChange	stat	pvalue	padj	significant_for_query
OSD-379	up_in_flight	ENSMUSG00000067719	Gm10221	26.3277733548361	24.4188143697473	10.0330616953659	1.0908069029479101e-23	2.1055845647603502e-19	True
OSD-379	up_in_flight	ENSMUSG00000027068	Dhrs9	109.262606943953	1.31588411466588	7.44888830599304	9.41300191294738e-14	9.08495879628116e-10	True
OSD-379	up_in_flight	ENSMUSG00000024236	Svil	1907.17735625975	0.642772525971055	7.2559473398765	3.98860250584803e-13	2.56639980567948e-09	True
OSD-379	up_in_flight	ENSMUSG00000026077	Npas2	152.641681542429	2.08577663704782	6.84339281804512	7.73391952244112e-12	2.98575697083362e-08	True
OSD-379	up_in_flight	ENSMUSG00000022241	Tars	3786.50210555563	0.698434579782594	6.74536323105233	1.52644664712505e-11	3.90060102224456e-08	True
OSD-379	up_in_flight	ENSMUSG00000020123	Avpr1a	1204.47524054029	0.668641108853591	6.73871824385774	1.59789912408669e-11	3.90060102224456e-08	True
OSD-379	up_in_flight	ENSMUSG00000026730	Pter	3101.88712841007	0.619827131954603	6.73702909873919	1.61657815769344e-11	3.90060102224456e-08	True
OSD-379	up_in_flight	ENSMUSG00000074280	Gm6166	478.111984631234	2.01900690697629	6.61802642667795	3.6402596152691296e-11	7.80754792817111e-08	True
OSD-379	up_in_flight	ENSMUSG00000068876	Cgn	886.425480406275	0.7386674143667	6.59993035694431	4.11350971539702e-11	7.94030780363086e-08	True
OSD-379	up_in_flight	ENSMUSG00000100094	1810008I18Rik	4592.41825852555	0.981729966357698	6.44009472341013	1.19398962469481e-10	1.93607305667787e-07	True
OSD-379	up_in_flight	ENSMUSG00000031149	Praf2	120.473444980252	0.68926824630691	6.43887926331864	1.20358890743068e-10	1.93607305667787e-07	True
OSD-379	up_in_flight	ENSMUSG00000041324	Inhba	695.915688696429	0.829782972255301	6.38546304258594	1.70879610244655e-10	2.35606365468042e-07	True
OSD-379	up_in_flight	ENSMUSG00000067279	Ppp1r3c	2269.48657626448	0.927755200267116	6.3419869230544	2.26820573654309e-10	2.74307101494021e-07	True
OSD-379	up_in_flight	ENSMUSG00000029469	Ift81	181.481051982764	0.407491196114503	6.34161461423651	2.27369508568841e-10	2.74307101494021e-07	True
OSD-379	up_in_flight	ENSMUSG00000033781	Asb13	1289.9351929125	0.3833035532576	6.28406057859826	3.29842079959155e-10	3.74525980555975e-07	True
OSD-379	up_in_flight	ENSMUSG00000058672	Tubb2a	3128.55189519273	1.14822665003086	6.21420402222383	5.158546786339e-10	5.28751124325225e-07	True
OSD-379	up_in_flight	ENSMUSG00000121249	ENSMUSG00000121249	29.4307018269321	1.67918899470714	6.21281071528889	5.20451295766424e-10	5.28751124325225e-07	True
OSD-379	up_in_flight	ENSMUSG00000110684	Gm45866	53.3404351529955	0.948089156890755	6.14311181650384	8.09202760257098e-10	7.81002044062138e-07	True
OSD-379	up_in_flight	ENSMUSG00000120206	ENSMUSG00000120206	31.1242466122447	0.748431211805793	6.12737470660537	8.93409016813723e-10	8.08328493836122e-07	True
OSD-379	up_in_flight	ENSMUSG00000042487	Leo1	336.866110546089	0.5857628611939	6.10917871666117	1.00145137127741e-09	8.40478948685561e-07	True
OSD-379	up_in_flight	ENSMUSG00000026890	Lhx6	177.465514814612	0.832985718396371	6.06641449983927	1.30797305004505e-09	1.05199182437581e-06	True
OSD-379	up_in_flight	ENSMUSG00000010755	Cars	781.153004687768	0.47219369662695	6.00659780278309	1.8945671018336203e-09	1.40657033718055e-06	True
OSD-379	up_in_flight	ENSMUSG00000057315	Arhgap24	384.671894375075	0.421912083235121	5.99901010016899	1.98524011235006e-09	1.41929962550716e-06	True
OSD-379	up_in_flight	ENSMUSG00000037270	4932438A13Rik	5362.63916812997	0.384461790288649	5.98953068932109	2.10447419625047e-09	1.45080947893653e-06	True
OSD-379	up_in_flight	ENSMUSG00000042496	Prdm10	228.862189676712	0.499329679278242	5.95736544160306	2.56336613801168e-09	1.70385449261614e-06	True
OSD-379	up_in_flight	ENSMUSG00000054889	Dsp	4445.13622278567	0.717223672949997	5.95204861270388	2.64806686932002e-09	1.70385449261614e-06	True
OSD-379	up_in_flight	ENSMUSG00000120149	ENSMUSG00000120149	113.448407696469	0.806106714992406	5.88049085067579	4.0905161919828105e-09	2.54707206625304e-06	True
OSD-379	up_in_flight	ENSMUSG00000021715	Cwc27	228.761222945282	0.437569389617616	5.80350537135799	6.4942671426893505e-09	3.91746370797914e-06	True
OSD-379	up_in_flight	ENSMUSG00000037157	Il22ra1	113.827019998986	0.814223416504713	5.69715700433869	1.21821734046622e-08	6.71864266371987e-06	True
OSD-379	up_in_flight	ENSMUSG00000030342	Cd9	507.245059834916	0.653121046417874	5.68215691098435	1.33006544769892e-08	7.02287371916112e-06	True
OSD-379	up_in_flight	ENSMUSG00000026638	Irf6	1468.06614239251	0.557883317607097	5.6801019520026	1.3461447837588e-08	7.02287371916112e-06	True
OSD-379	up_in_flight	ENSMUSG00000039046	Usp6nl	1337.694710047	0.442880864689752	5.67418924193871	1.39347022875485e-08	7.07846205938288e-06	True
OSD-379	up_in_flight	ENSMUSG00000032018	Sc5d	11327.6657181831	0.572990937593592	5.64551403151888	1.6468843782802e-08	8.15123311639558e-06	True
OSD-379	up_in_flight	ENSMUSG00000018868	Pnpla5	91.1560052246797	2.24825707521089	5.63525637081247	1.74798099730297e-08	8.40446598650236e-06	True
OSD-379	up_in_flight	ENSMUSG00000023873	1700010I14Rik	24.6192712478819	0.920609043216324	5.63085653486091	1.79316842660256e-08	8.40446598650236e-06	True
OSD-379	up_in_flight	ENSMUSG00000051452	Gm11437	423.059669797581	0.76484578626502	5.6274749680058	1.82866689858105e-08	8.40446598650236e-06	True
OSD-379	up_in_flight	ENSMUSG00000024843	Chka	1072.74696895597	1.06592994958571	5.61546941397757	1.96029331616371e-08	8.79989346090886e-06	True
OSD-379	up_in_flight	ENSMUSG00000027993	Trim2	966.08477183218	0.628961254414883	5.60818787920743	2.04456012284392e-08	8.96957819346731e-06	True
OSD-379	up_in_flight	ENSMUSG00000049555	Tmie	638.857005874727	0.657240228458261	5.58886955745124	2.28552549302157e-08	9.80388857595451e-06	True
OSD-379	up_in_flight	ENSMUSG00000044646	Zbtb7c	80.7984930351603	0.844117729937272	5.58451678831139	2.3435088003004e-08	9.83407616786925e-06	True
OSD-379	up_in_flight	ENSMUSG00000002797	Ggct	211.491502466176	0.498870497533921	5.56030058712278	2.69310408102488e-08	1.1060635760856e-05	True
OSD-379	up_in_flight	ENSMUSG00000033970	Rfc3	171.417664810009	0.440272937789347	5.54398172232235	2.95669712303011e-08	1.18902342845521e-05	True
OSD-379	up_in_flight	ENSMUSG00000027361	Gabpb1	281.930959343864	0.357073523999178	5.44449327816223	5.19530657725932e-08	1.96637260511444e-05	True
OSD-379	up_in_flight	ENSMUSG00000055116	Arntl	364.925220195017	1.44388308251064	5.43983100101226	5.3331136826762e-08	1.97971333493651e-05	True
OSD-379	up_in_flight	ENSMUSG00000027108	Ola1	1040.99670178913	0.401028074759508	5.43621003659614	5.44257944445768e-08	1.98222850974277e-05	True
OSD-379	up_in_flight	ENSMUSG00000041119	Pde9a	682.933136142641	0.657250997955992	5.41476442155726	6.1369450287707e-08	2.1937305535252e-05	True
OSD-379	up_in_flight	ENSMUSG00000020431	Adcy1	75.6939803937538	1.494166576413	5.38096015822322	7.40895926407476e-08	2.60027528498973e-05	True
OSD-379	up_in_flight	ENSMUSG00000041912	Tdrkh	80.002049839376	0.585535100619918	5.36376576930695	8.1504582434946e-08	2.76014553463467e-05	True
OSD-379	up_in_flight	ENSMUSG00000029663	Gngt1	26.2086078103787	0.90168444963208	5.33229216708793	9.69807361605627e-08	3.227619224323e-05	True
OSD-379	up_in_flight	ENSMUSG00000052632	Asap2	551.666371888387	0.801171033754891	5.32144694660209	1.02945134584008e-07	3.36805073368662e-05	True
OSD-379	down_in_flight	ENSMUSG00000027346	Gpcpd1	2718.90147461253	-0.763074661486593	-6.86173011476935	6.80315036102027e-12	2.98575697083362e-08	True
OSD-379	down_in_flight	ENSMUSG00000018900	Slc22a5	900.70006522164	-0.981457320050566	-6.41803848564383	1.38041363757846e-10	2.04970188047515e-07	True
OSD-379	down_in_flight	ENSMUSG00000110344	Smim36	146.839154750859	-0.757063424877813	-6.12248558866208	9.21267516157834e-10	8.08328493836122e-07	True
OSD-379	down_in_flight	ENSMUSG00000026839	Upp2	9668.80225775919	-0.999406324937861	-6.0207156410133	1.7364759102862402e-09	1.34076777985022e-06	True
OSD-379	down_in_flight	ENSMUSG00000102758	Naaladl2	642.142906417904	-0.464960805870579	-5.78240363040606	7.364075657755331e-09	4.30753795217124e-06	True
OSD-379	down_in_flight	ENSMUSG00000025612	Bach1	1186.88285207346	-0.393312091980378	-5.70756183386777	1.14605991778136e-08	6.50658664498049e-06	True
OSD-379	down_in_flight	ENSMUSG00000038174	Fam126b	1928.12251879935	-0.462070805096901	-5.48815202094993	4.06160450208675e-08	1.60002350415879e-05	True
OSD-379	down_in_flight	ENSMUSG00000062209	Erbb4	360.704236372567	-0.820821401932294	-5.45927035364834	4.78095283138322e-08	1.8457346500838e-05	True
OSD-379	down_in_flight	ENSMUSG00000076613	Ighg2b	9.94889363874591	-2.59517914165365	-5.36937835462464	7.90085079292581e-08	2.72339505099726e-05	True
OSD-379	down_in_flight	ENSMUSG00000005547	Cyp2a5	20581.6317508114	-0.984492227572087	-5.21286217004258	1.85949056696972e-07	5.35697952705482e-05	True
OSD-379	down_in_flight	ENSMUSG00000073700	Klhl21	807.507348806893	-0.556188839349124	-5.21214261365213	1.86671951763302e-07	5.35697952705482e-05	True
OSD-379	down_in_flight	ENSMUSG00000048856	Slc25a47	15861.9141381839	-0.610831938739746	-5.21012446738858	1.88713986343951e-07	5.35697952705482e-05	True
OSD-379	down_in_flight	ENSMUSG00000024992	Pde6c	41.4404734207547	-0.702580586967163	-5.19407254972654	2.0574290272117e-07	5.6735075017525e-05	True
OSD-379	down_in_flight	ENSMUSG00000031596	Slc7a2	15232.7070537283	-0.572697757758546	-5.17623816394136	2.2640441328151e-07	5.90578971563918e-05	True
