accession	direction	term	clean_term	description	query_genes	overlap	term_genes_in_universe	universe_genes	p_value	overlap_genes	fdr_bh
OSD-463	down_in_flight	REACTOME_BASIGIN_INTERACTIONS	Basigin Interactions	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BASIGIN_INTERACTIONS	1305	3	19	19812	0.12585833393808452	ENSMUSG00000025161,ENSMUSG00000031904,ENSMUSG00000032412	0.2618870382954082
OSD-463	down_in_flight	REACTOME_REGULATION_OF_SIGNALING_BY_CBL	Regulation Of Signaling By Cbl	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_SIGNALING_BY_CBL	1305	3	19	19812	0.12585833393808452	ENSMUSG00000021457,ENSMUSG00000039936,ENSMUSG00000042228	0.2618870382954082
OSD-463	down_in_flight	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	Nuclear Receptor Transcription Pathway	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	1305	5	41	19812	0.13024325115258703	ENSMUSG00000018160,ENSMUSG00000021779,ENSMUSG00000026826,ENSMUSG00000028341,ENSMUSG00000071078	0.2666841826695553
OSD-463	down_in_flight	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Processing Of Capped Intron Containing Pre Mrna	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	1305	12	127	19812	0.13195576940791284	ENSMUSG00000010097,ENSMUSG00000022160,ENSMUSG00000024097,ENSMUSG00000026999,ENSMUSG00000027079,ENSMUSG00000031754,ENSMUSG00000034820,ENSMUSG00000041328,ENSMUSG00000057130,ENSMUSG00000060373,ENSMUSG00000066148,ENSMUSG00000071172	0.2666841826695553
OSD-463	down_in_flight	REACTOME_SIGNALING_BY_FGFR_MUTANTS	Signaling By Fgfr Mutants	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_FGFR_MUTANTS	1305	4	30	19812	0.13204750792376038	ENSMUSG00000004040,ENSMUSG00000004043,ENSMUSG00000021945,ENSMUSG00000055531	0.2666841826695553
OSD-463	down_in_flight	REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	E2F Mediated Regulation Of Dna Replication	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	1305	4	31	19812	0.1441876014939176	ENSMUSG00000002068,ENSMUSG00000006678,ENSMUSG00000025395,ENSMUSG00000032477	0.2883752029878352
OSD-463	down_in_flight	REACTOME_AXON_GUIDANCE	Axon Guidance	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AXON_GUIDANCE	1305	18	210	19812	0.15240594533433724	ENSMUSG00000001506,ENSMUSG00000021270,ENSMUSG00000023944,ENSMUSG00000024966,ENSMUSG00000025810,ENSMUSG00000025958,ENSMUSG00000025969,ENSMUSG00000026042,ENSMUSG00000026043,ENSMUSG00000026395,ENSMUSG00000026837,ENSMUSG00000028459,ENSMUSG00000029661,ENSMUSG00000031207,ENSMUSG00000032796,ENSMUSG00000039115,ENSMUSG00000048126,ENSMUSG00000052397	0.3018810071045526
OSD-463	down_in_flight	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	Gpvi Mediated Activation Cascade	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	1305	4	32	19812	0.15674441431659691	ENSMUSG00000001506,ENSMUSG00000021457,ENSMUSG00000029661,ENSMUSG00000042228	0.30536661891309463
OSD-463	down_in_flight	REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	A Tetrasaccharide Linker Sequence Is Required For Gag Synthesis	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	1305	3	21	19812	0.15713039613974772	ENSMUSG00000021504,ENSMUSG00000021614,ENSMUSG00000058571	0.30536661891309463
OSD-463	down_in_flight	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	Phase1 Functionalization Of Compounds	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	1305	7	69	19812	0.1678255101531299	ENSMUSG00000001467,ENSMUSG00000025464,ENSMUSG00000027605,ENSMUSG00000030670,ENSMUSG00000032310,ENSMUSG00000032315,ENSMUSG00000068083	0.3220895200852
OSD-463	down_in_flight	REACTOME_METABOLISM_OF_CARBOHYDRATES	Metabolism Of Carbohydrates	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_CARBOHYDRATES	1305	17	200	19812	0.16886246684078446	ENSMUSG00000000628,ENSMUSG00000001891,ENSMUSG00000005087,ENSMUSG00000010051,ENSMUSG00000013846,ENSMUSG00000021504,ENSMUSG00000021614,ENSMUSG00000025877,ENSMUSG00000026005,ENSMUSG00000026773,ENSMUSG00000026999,ENSMUSG00000028671,ENSMUSG00000030244,ENSMUSG00000041798,ENSMUSG00000052423,ENSMUSG00000058571,ENSMUSG00000070407	0.3220895200852
OSD-463	down_in_flight	REACTOME_XENOBIOTICS	Xenobiotics	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_XENOBIOTICS	1305	3	22	19812	0.1735765627945873	ENSMUSG00000032310,ENSMUSG00000032315,ENSMUSG00000068083	0.32804377922646777
OSD-463	down_in_flight	REACTOME_ION_CHANNEL_TRANSPORT	Ion Channel Transport	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ION_CHANNEL_TRANSPORT	1305	4	34	19812	0.18299116848314811	ENSMUSG00000025324,ENSMUSG00000031441,ENSMUSG00000032412,ENSMUSG00000032570	0.34269255188662284
OSD-463	down_in_flight	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	Apoptotic Cleavage Of Cellular Proteins	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	1305	4	35	19812	0.19662108532265232	ENSMUSG00000006932,ENSMUSG00000026728,ENSMUSG00000031628,ENSMUSG00000057367	0.3552977506707577
OSD-463	down_in_flight	REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	Nuclear Signaling By Erbb4	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	1305	4	35	19812	0.19662108532265232	ENSMUSG00000004043,ENSMUSG00000024789,ENSMUSG00000052593,ENSMUSG00000055737	0.3552977506707577
OSD-463	down_in_flight	REACTOME_GLUCOSE_TRANSPORT	Glucose Transport	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GLUCOSE_TRANSPORT	1305	4	35	19812	0.19662108532265232	ENSMUSG00000000628,ENSMUSG00000025877,ENSMUSG00000026999,ENSMUSG00000041798	0.3552977506707577
OSD-463	down_in_flight	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	Activation Of Atr In Response To Replication Stress	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	1305	4	35	19812	0.19662108532265232	ENSMUSG00000002297,ENSMUSG00000022248,ENSMUSG00000029283,ENSMUSG00000032477	0.3552977506707577
OSD-463	down_in_flight	REACTOME_BIOLOGICAL_OXIDATIONS	Biological Oxidations	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BIOLOGICAL_OXIDATIONS	1305	11	125	19812	0.2009170261518541	ENSMUSG00000000326,ENSMUSG00000001467,ENSMUSG00000001891,ENSMUSG00000025464,ENSMUSG00000025934,ENSMUSG00000027605,ENSMUSG00000028032,ENSMUSG00000030670,ENSMUSG00000032310,ENSMUSG00000032315,ENSMUSG00000068083	0.35990354249810386
OSD-463	down_in_flight	REACTOME_MITOTIC_G2_G2_M_PHASES	Mitotic G2 G2 M Phases	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MITOTIC_G2_G2_M_PHASES	1305	7	73	19812	0.20421629389927531	ENSMUSG00000001525,ENSMUSG00000009013,ENSMUSG00000020290,ENSMUSG00000021270,ENSMUSG00000031347,ENSMUSG00000032477,ENSMUSG00000072235	0.3626599702004372
OSD-463	down_in_flight	REACTOME_MRNA_SPLICING	Mrna Splicing	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_SPLICING	1305	9	100	19812	0.21242952434734869	ENSMUSG00000024097,ENSMUSG00000027079,ENSMUSG00000031754,ENSMUSG00000034820,ENSMUSG00000041328,ENSMUSG00000057130,ENSMUSG00000060373,ENSMUSG00000066148,ENSMUSG00000071172	0.37316450493312125
