x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
8.909126,2.1417701,-10.297056,AT1G01920,GC,18,4,3,2
2.0066018,3.1853967,3.4734762,AT1G01930,GC,6,6,7,0
10.183242,4.099655,6.7034836,AT1G01940,GC,6,6,15,0
5.04411,-9.3181925,-9.586163,AT1G01950,GC,14,3,2,6
15.184269,-11.718306,10.91144,AT1G01960,GC,23,0,13,1
9.760489,21.58089,-1.3780835,AT1G01970,GC,6,10,0,0
-4.0814104,0.9462586,-10.122359,AT1G01990,GC,18,5,7,2
2.4575067,9.038001,8.763848,AT1G02000,GC,6,7,7,0
11.938589,14.338575,-3.1508055,AT1G02010,GC,6,10,10,0
1.266666,19.672955,-13.33172,AT1G02020,GC,20,11,16,4
-11.365102,-3.745404,-5.271454,AT1G02030,GC,20,15,18,4
-22.19941,2.4994297,8.141862,AT1G02040,GC,0,17,17,3
1.4611708,11.146784,8.353002,AT1G02050,GC,6,7,7,0
12.538958,16.662891,-0.8205052,AT1G02060,GC,6,9,0,0
-11.718108,0.48205787,-1.2900343,AT1G02070,GC,20,14,18,4
13.150891,-10.523476,11.527004,AT1G02080,GC,23,0,13,1
-0.060087826,-9.846631,-7.324663,AT1G02090,GC,14,2,2,9
15.50802,-18.294735,-1.9422294,AT1G02100,GC,12,1,1,5
8.016296,-7.6982174,-10.108212,AT1G02110,GC,14,3,2,6
18.418987,-15.696943,2.4025762,AT1G02120,GC,15,1,1,5
-3.4757743,-17.845848,-9.770007,AT1G02130,GC,14,1,8,5
19.033787,-10.834841,7.5270896,AT1G02140,GC,8,0,13,1
5.935157,4.1894155,-4.722536,AT1G02145,GC,18,5,3,2
-3.5860572,-12.065104,-12.883163,AT1G02150,GC,14,1,14,9
2.5892055,3.117829,-10.880185,AT1G02160,GC,18,5,3,2
2.2241566,-9.407515,-7.006737,AT1G02170,GC,14,3,2,6
-14.5634575,-6.004272,-7.408166,AT1G02180,GC,20,14,18,4
-16.149876,6.3880963,11.01463,AT1G02190,GC,0,17,17,3
-17.187033,5.395951,-5.4248123,AT1G02205,GC,20,14,18,4
-2.9010665,-7.589568,-17.79572,AT1G02220,GC,14,2,14,9
-14.487352,9.717099,-3.7669752,AT1G02230,GC,20,14,4,4
-5.246393,-8.869122,7.456808,AT1G02250,GC,0,15,11,11
-1.9130338,12.52456,1.5401189,AT1G02260,GC,6,7,7,0
-0.28446823,4.616988,3.3057108,AT1G02270,GC,6,7,7,0
-2.6593778,-18.17577,-2.9007514,AT1G02280,GC,19,1,8,5
2.2317986,11.966278,8.856677,AT1G02290,GC,6,8,7,0
2.1959226,3.3466308,4.3787236,AT1G02300,GC,6,6,7,0
19.63501,-10.33267,3.9826968,AT1G02305,GC,15,1,1,5
-8.663034,17.912512,-13.090901,AT1G02310,GC,20,13,4,4
-3.9888263,-17.14869,-9.600658,AT1G02330,GC,14,1,8,5
-2.8650022,9.707402,-2.8927202,AT1G02335,GC,18,5,7,2
1.5991285,16.98556,6.064249,AT1G02340,GC,6,9,7,0
-22.184677,5.444824,6.111914,AT1G02350,GC,0,17,17,3
12.935396,-20.225336,-3.3148053,AT1G02360,GC,12,1,1,5
10.990754,15.417276,-4.3516035,AT1G02370,GC,6,10,10,0
-12.218151,0.49936658,-1.4234638,AT1G02380,GC,20,14,18,4
-15.864104,-2.5051117,-9.9605665,AT1G02390,GC,20,14,10,4
-1.1569502,10.289702,5.209069,AT1G02400,GC,6,7,7,0
-5.6295786,0.91721207,14.880644,AT1G02405,GC,0,17,6,3
7.2072487,2.102768,-12.186084,AT1G02410,GC,18,4,3,2
-12.905336,12.560304,-10.490029,AT1G02420,GC,20,13,4,4
-3.855297,22.125109,-6.512431,AT1G02430,GC,6,11,16,0
-6.6704516,-2.6047602,1.8504488,AT1G02440,GC,20,15,11,11
-4.966233,-5.991014,8.143802,AT1G02450,GC,0,15,11,11
-3.3153498,22.422821,-7.7241125,AT1G02460,GC,20,11,16,4
-7.7425213,-11.662603,6.6548457,AT1G02470,GC,0,15,11,11
3.147566,19.011751,-12.586649,AT1G02475,GC,20,11,16,4
-12.2064705,-11.588089,12.502783,AT1G02490,GC,0,16,5,3
2.6580403,-2.7698574,14.547477,AT1G02500,GC,5,0,9,8
11.588103,-17.69574,8.719022,AT1G02520,GC,1,1,19,5
-15.136094,0.3326844,-2.693802,AT1G02530,GC,20,14,18,4
-1.990856,-11.97652,-3.0213838,AT1G02560,GC,19,1,8,5
-17.058174,5.5933623,-4.8900332,AT1G02570,GC,20,14,18,4
-9.679241,0.44589847,-0.23104797,AT1G02575,GC,20,15,18,4
-6.0221963,-8.785855,13.14852,AT1G02580,GC,0,16,11,3
5.3532214,21.572311,-9.021908,AT1G02610,GC,20,11,16,4
-13.889197,-8.598899,16.589317,AT1G02620,GC,0,16,5,3
-22.705915,3.605158,6.1287494,AT1G02630,GC,0,17,17,3
2.7949512,-14.075427,4.1408873,AT1G02640,GC,17,1,19,5
-9.314797,5.3905654,15.602749,AT1G02650,GC,0,0,6,3
6.252328,17.208961,-10.23325,AT1G02660,GC,6,11,16,0
-17.14613,-7.6355624,5.907714,AT1G02670,GC,0,16,5,3
11.7757635,15.943484,6.45591,AT1G02680,GC,6,9,0,0
9.311375,-6.802707,-3.8388145,AT1G02690,GC,4,3,2,6
-16.348352,-8.574668,12.149233,AT1G02700,GC,0,16,5,3
-9.92753,-5.6828885,19.00286,AT1G02705,GC,0,16,6,3
2.3207138,9.754388,-11.271386,AT1G02720,GC,6,11,10,0
8.65407,-7.172675,4.0013556,AT1G02730,GC,13,3,2,6
-1.8773942,6.630322,1.820841,AT1G02740,GC,6,7,7,0
1.9209124,0.22709744,-15.151185,AT1G02750,GC,18,4,14,2
