x,y,gene_id,Location,gmm,hdbscan,spectral,consensus
9.537728,-91.46328,AT1G01010,1,4,5,4,2
75.24632,35.95634,AT1G01020,1,1,4,10,11
-28.970472,-9.185278,AT1G01030,1,17,8,20,1
10.8547325,-34.125385,AT1G01040,1,17,7,0,10
-10.115292,86.395645,AT1G01046,1,0,13,6,0
45.369324,-81.855644,AT1G01050,1,14,5,14,5
-59.216522,7.4748898,AT1G01060,1,17,10,18,1
67.07546,-33.7527,AT1G01070,1,15,0,22,14
-27.178144,-20.706404,AT1G01080,1,17,9,20,1
60.62444,-56.917637,AT1G01090,1,9,0,9,9
-77.916214,-47.740124,AT1G01100,1,6,2,16,3
77.485825,3.851434,AT1G01110,1,16,1,13,4
-66.33032,11.603293,AT1G01120,1,17,10,8,1
-13.637895,38.915066,AT1G01130,1,0,12,15,0
-23.247627,-23.739862,AT1G01140,1,17,9,20,1
-3.475151,93.76628,AT1G01150,1,0,13,12,0
58.505733,51.54671,AT1G01160,1,12,3,5,8
21.460194,-83.11606,AT1G01170,1,4,5,4,2
-38.42767,-28.23468,AT1G01180,1,17,9,20,1
-25.628107,86.491165,AT1G01183,1,0,13,6,0
-35.57291,47.042725,AT1G01190,1,0,12,24,0
-70.42981,-11.280458,AT1G01200,1,17,9,19,1
28.606339,-54.58152,AT1G01210,1,19,5,23,2
21.135353,2.2689755,AT1G01220,1,17,8,2,1
18.15653,-27.968227,AT1G01225,1,17,7,0,10
57.73762,18.914236,AT1G01230,1,10,4,7,12
23.304146,-77.69913,AT1G01240,1,4,5,23,2
-20.484957,-47.298256,AT1G01260,1,13,6,1,7
1.9327955,-90.67949,AT1G01290,1,4,5,4,2
56.139885,47.451675,AT1G01300,1,12,3,10,11
-29.01507,70.73493,AT1G01305,1,0,13,6,0
-17.45977,17.752302,AT1G01310,1,0,11,3,0
10.86214,-11.870887,AT1G01320,1,17,8,2,1
-4.345726,12.76039,AT1G01340,1,0,10,3,0
63.464775,-24.70219,AT1G01350,1,18,0,22,14
-9.260273,80.71822,AT1G01355,1,0,13,6,0
71.55563,5.2427607,AT1G01360,1,16,1,13,4
-5.3463883,-34.105515,AT1G01370,1,13,7,1,7
-20.349358,53.69586,AT1G01380,1,0,13,18,0
-6.669095,75.30633,AT1G01390,1,0,13,6,0
4.162571,95.35753,AT1G01420,1,0,13,12,0
