GO,Description,_LogP_FLT14_all,_LogP_FLT14_and_GC8,_LogP_FLT14_not_GC8,_LogP_GC8_all,_LogP_GC8_not_FLT14
R-MMU-211958,Miscellaneous substrates,-3.280684237590234,-4.332179438841602,0.0,-7.569964809696124,-3.957897815968797
GO:0120161,regulation of cold-induced thermogenesis,-4.725751198079654,-2.855032050630469,-2.358821398098449,-4.162857668004686,-2.3526482156772826
GO:0044782,cilium organization,0.0,0.0,0.0,-4.266591059607036,-5.492556638876078
GO:0008033,tRNA processing,0.0,0.0,0.0,-4.80084163886906,-5.238317403743776
R-MMU-5617833,Cilium Assembly,0.0,0.0,0.0,-5.349665242761972,-6.134431886739758
GO:0006259,DNA metabolic process,0.0,0.0,0.0,-5.608080669690709,-8.046492649210977
GO:0050861,positive regulation of B cell receptor signaling pathway,0.0,0.0,0.0,-3.480413677633673,-3.749291865227907
R-MMU-556833,Metabolism of lipids,-5.544181406664779,-3.8321907096299666,-2.3395956473028954,0.0,0.0
mmu04976,Bile secretion - Mus musculus (house mouse),-4.6802477543423535,-2.8871689450664753,-2.2531191958035164,0.0,0.0
GO:0007623,circadian rhythm,-6.474692596217456,-4.133411924842816,-2.8663489512071534,0.0,0.0
GO:0042445,hormone metabolic process,-5.764454051352917,-4.388464620895039,-2.0239476458013326,0.0,0.0
GO:0006790,sulfur compound metabolic process,-9.87942194284071,-5.324585492273569,-5.1046394822604,0.0,0.0
GO:0044283,small molecule biosynthetic process,-5.269405935002547,-4.135814578592744,0.0,0.0,0.0
GO:0045721,negative regulation of gluconeogenesis,-4.389337707188447,-5.717907586525373,0.0,0.0,0.0
GO:0006721,terpenoid metabolic process,-6.638394816491741,-8.54099063081408,0.0,0.0,0.0
GO:0006805,xenobiotic metabolic process,-17.701873541914367,-15.959680091224854,-3.2450481539390985,-6.034888691575297,0.0
GO:0035634,response to stilbenoid,-8.047961745040364,-5.4596982331709025,-2.935503853907727,-3.890388099515112,0.0
GO:0008202,steroid metabolic process,-14.366525690672903,-10.36819903530827,-4.739032897310643,-2.293392861204074,0.0
WP163,Cytoplasmic ribosomal proteins,-16.838337709519728,-8.900498813647092,-8.14384896764817,-2.269682733727759,0.0
GO:0051923,sulfation,-5.084536248581778,0.0,-4.09884489026141,0.0,0.0
