gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000024013	Fgd2	8	-0.38315911904953	0.0768949816761009	-4.98288848891965	6.26420541819217e-07	0	8	15.0339045600234	53.4385763056282	0.0355672455766666	5.88159059861509e-05	TRUE	FALSE	all_down
ENSMUSG00000079419	Ms4a6c	8	-0.370983559912718	0.074614255653005	-4.97201984615358	6.625892040587e-07	2	6	15.4940579528115	54.8213901011657	0.0301627962034476	6.18603762546329e-05	TRUE	FALSE	mixed
ENSMUSG00000057969	Sema3b	8	0.551921015442797	0.111197476642933	4.96343111467426	6.92586127009736e-07	7	1	11.2153759186336	37.5856854840684	0.129496439073189	6.42976727462691e-05	TRUE	FALSE	mixed
ENSMUSG00000090175	Ugt1a9	8	0.347616582983473	0.0701387827405412	4.95612511938486	7.19129164974786e-07	4	4	55.4793619982065	87.3826955684417	1.19793765176346e-09	6.6388879615689e-05	TRUE	FALSE	mixed
ENSMUSG00000005312	Ubqln1	8	0.182803569800053	0.0369052755317497	4.95331811417547	7.29585541017189e-07	5	3	18.4825895284192	62.1265191804608	0.00997238486399525	6.67148658226386e-05	TRUE	FALSE	mixed
ENSMUSG00000033777	Tlr13	8	-0.359890863612969	0.0726767387671555	-4.95194019046453	7.3477189589835e-07	0	8	4.0966773627509	0	0.768577185747987	6.67148658226386e-05	TRUE	FALSE	all_down
ENSMUSG00000029553	Tfec	8	-0.306005934457589	0.0618504380051827	-4.94751442878946	7.51671337129446e-07	1	7	8.24153285322714	15.0643439192382	0.311778515648495	6.78763324921536e-05	TRUE	FALSE	mixed
ENSMUSG00000026669	Mcm10	8	-0.336504003959377	0.0682684003086129	-4.92913269445576	8.25954633201668e-07	4	4	31.71333552021	77.9272666051192	4.58987354206783e-05	7.41788060524867e-05	TRUE	FALSE	mixed
ENSMUSG00000037887	Dusp8	8	0.598523748513148	0.12162408285659	4.9210956782209	8.60610423594626e-07	6	2	19.9400768852331	64.8948194117348	0.00570058028901738	7.68734445940605e-05	TRUE	FALSE	mixed
ENSMUSG00000006998	Psmd2	8	0.188863131515694	0.0384600026538561	4.91063750607304	9.0780770504728e-07	7	1	26.3677319846992	73.4524000620834	0.000432862297671323	8.0653345838206e-05	TRUE	FALSE	mixed
ENSMUSG00000002885	Adgre5	8	-0.258890787665956	0.0528671958607251	-4.89700245021478	9.73096253788983e-07	0	8	14.1248631309952	50.4419976669409	0.0490045881830684	8.55920614434389e-05	TRUE	FALSE	all_down
ENSMUSG00000021591	Glrx	8	0.248404633784134	0.0507272333675271	4.89686934007227	9.73755373758942e-07	6	2	49.7595171302248	85.9323393720232	1.61031890082212e-08	8.55920614434389e-05	TRUE	FALSE	mixed
ENSMUSG00000036528	Ppfibp2	8	0.232729698181821	0.0475428317327817	4.89515852757565	9.82265137574891e-07	6	2	4.72308692399596	0	0.693713748000957	8.58067958402307e-05	TRUE	FALSE	mixed
ENSMUSG00000021177	Tdp1	8	0.217571501668254	0.0444575189037066	4.89391911724778	9.88474767228657e-07	8	0	6.56149317226332	0	0.475916814681251	8.58067958402307e-05	TRUE	FALSE	all_up
ENSMUSG00000058818	Pirb	8	-0.325915841724697	0.0666050086305227	-4.89326326091551	9.91775976126116e-07	1	7	14.5019925857516	51.7307710743308	0.0429401863416512	8.58067958402307e-05	TRUE	FALSE	mixed
ENSMUSG00000004341	Gpx6	8	-0.537160143195844	0.10987119640647	-4.88899876186487	1.013501331049e-06	3	5	31.7880069359177	77.9791164192474	4.44605911051655e-05	8.72297369561703e-05	TRUE	FALSE	mixed
ENSMUSG00000030830	Itgal	8	-0.267933496743487	0.0548923675158039	-4.88107015363014	1.05511695938198e-06	2	6	39.45580316187	82.2586300644241	1.59960987798076e-06	9.03409728175507e-05	TRUE	FALSE	mixed
ENSMUSG00000052013	Btla	7	-0.433210837275046	0.0888760197096281	-4.87432761604777	1.09179673472918e-06	1	6	18.0591493923264	66.7758438138317	0.00608606555122374	9.29996960896894e-05	TRUE	FALSE	mixed
ENSMUSG00000058216	Gstp3	8	-0.330929773964695	0.0679653775242586	-4.86909344168033	1.12111388081378e-06	2	6	49.2750717216339	85.7940338685967	2.00410963712298e-08	9.50072147715265e-05	TRUE	FALSE	mixed
ENSMUSG00000026179	Pnkd	8	0.259190169218167	0.0532937725039217	4.86342319262714	1.15372807590877e-06	6	2	19.996568383099	64.9939936398469	0.00557710005514867	9.68507085186865e-05	TRUE	FALSE	mixed
ENSMUSG00000090306	Adh6-ps1	7	-0.325118224446757	0.0668516972410387	-4.86327554668536	1.15458938445877e-06	2	5	39.9464386868032	84.9798875763557	4.66688872687251e-07	9.68507085186865e-05	TRUE	FALSE	mixed
ENSMUSG00000001983	Taco1	8	0.226580636107499	0.0466917324869582	4.8526928438731	1.21796253638062e-06	7	1	9.82420835514028	28.7474395192625	0.19875623221429	0.000101277663383265	TRUE	FALSE	mixed
ENSMUSG00000057068	Fam47e	8	-0.407354068177135	0.0839485917080149	-4.85242289226208	1.21962208854886e-06	3	5	31.4052047354232	77.7107009523666	5.23354267413851e-05	0.000101277663383265	TRUE	FALSE	mixed
ENSMUSG00000026600	Soat1	8	-0.252441290717941	0.0520907647464397	-4.84618131345816	1.25860500359535e-06	1	7	7.52564037541958	6.98465976578469	0.376271648466722	0.000103992238422066	TRUE	FALSE	mixed
ENSMUSG00000026730	Pter	8	0.265806276308037	0.0548699887877108	4.84429252093394	1.27063616302231e-06	6	2	61.8635675468112	88.6847780081496	6.4015449400939e-11	0.00010434382651197	TRUE	FALSE	mixed
ENSMUSG00000043263	Ifi209	8	-0.394111845381777	0.0813835738216788	-4.84264608783737	1.28121373045869e-06	2	6	20.6320144302381	66.0721447066223	0.0043547302181236	0.00010434382651197	TRUE	FALSE	mixed
