gene	gmm_cluster	hdbscan_cluster	spectral_cluster	consensus_cluster
ENSMUSG00000029422	9	0	0	8
ENSMUSG00000076126	2	1	3	2
ENSMUSG00000049036	11	1	2	9
ENSMUSG00000029577	3	-1	0	6
ENSMUSG00000040746	9	-1	0	8
ENSMUSG00000020590	3	-1	0	6
ENSMUSG00000030263	13	1	0	14
ENSMUSG00000038914	9	-1	0	8
ENSMUSG00000026878	3	-1	0	6
ENSMUSG00000093241	2	1	3	2
ENSMUSG00000030098	8	-1	0	7
ENSMUSG00000078908	0	-1	0	11
ENSMUSG00000025056	1	1	11	3
ENSMUSG00000090129	1	1	2	1
ENSMUSG00000026407	5	-1	0	0
ENSMUSG00000034239	1	1	2	1
ENSMUSG00000020818	7	1	2	1
ENSMUSG00000060038	12	1	2	4
ENSMUSG00000020029	8	-1	0	7
ENSMUSG00000085958	1	1	11	3
ENSMUSG00000024292	14	-1	0	0
ENSMUSG00000111356	2	1	11	10
ENSMUSG00000016831	9	0	0	8
ENSMUSG00000024791	7	1	2	1
ENSMUSG00000028398	7	1	2	1
ENSMUSG00000113338	2	1	11	10
ENSMUSG00000022586	1	1	11	3
ENSMUSG00000091034	11	1	11	3
ENSMUSG00000056204	14	-1	0	0
ENSMUSG00000065472	2	1	3	2
ENSMUSG00000056197	2	1	3	2
ENSMUSG00000031986	7	1	2	1
ENSMUSG00000086259	2	1	11	10
ENSMUSG00000000244	13	-1	0	14
ENSMUSG00000027519	9	-1	0	8
ENSMUSG00000061086	8	-1	0	7
ENSMUSG00000056290	13	-1	0	14
ENSMUSG00000068206	7	-1	2	13
ENSMUSG00000077815	2	1	7	2
ENSMUSG00000021208	7	1	2	1
ENSMUSG00000088054	2	1	11	10
ENSMUSG00000024998	5	-1	0	0
ENSMUSG00000047248	9	-1	0	8
ENSMUSG00000027981	5	-1	0	0
ENSMUSG00000039683	12	1	2	4
ENSMUSG00000047117	1	1	11	3
ENSMUSG00000030278	8	-1	0	7
ENSMUSG00000037419	3	-1	0	6
ENSMUSG00000099616	1	1	11	3
ENSMUSG00000022208	6	1	9	5
ENSMUSG00000055197	2	1	11	10
ENSMUSG00000059632	5	1	14	0
ENSMUSG00000064823	2	1	11	10
ENSMUSG00000095629	1	1	11	3
ENSMUSG00000034829	5	1	12	0
ENSMUSG00000029380	12	1	2	4
ENSMUSG00000073001	2	1	3	2
ENSMUSG00000031073	1	1	11	3
ENSMUSG00000028047	12	1	2	4
ENSMUSG00000039196	14	-1	8	12
ENSMUSG00000032673	12	1	2	4
ENSMUSG00000096584	2	1	3	2
ENSMUSG00000022773	11	1	2	9
ENSMUSG00000078597	12	1	2	4
ENSMUSG00000021494	0	-1	0	11
ENSMUSG00000050248	12	1	2	4
ENSMUSG00000003752	7	1	2	1
ENSMUSG00000037353	5	-1	0	0
ENSMUSG00000022096	5	-1	14	0
ENSMUSG00000091311	2	1	11	10
ENSMUSG00000096436	1	1	11	3
ENSMUSG00000021661	7	1	2	1
ENSMUSG00000039620	10	1	2	1
ENSMUSG00000033765	5	-1	14	0
ENSMUSG00000032584	7	1	2	1
ENSMUSG00000072884	2	1	11	10
ENSMUSG00000066896	2	1	11	10
ENSMUSG00000094606	2	1	11	10
ENSMUSG00000032783	12	1	2	4
ENSMUSG00000029093	10	-1	2	13
ENSMUSG00000030254	7	1	2	1
ENSMUSG00000077991	2	1	7	2
ENSMUSG00000021090	1	1	11	3
ENSMUSG00000094687	2	1	7	2
ENSMUSG00000055013	3	-1	0	6
ENSMUSG00000038204	7	1	2	1
ENSMUSG00000020629	14	-1	2	13
ENSMUSG00000030881	0	-1	0	11
ENSMUSG00000030662	3	-1	0	6
ENSMUSG00000020570	3	-1	0	6
ENSMUSG00000024401	11	1	2	9
ENSMUSG00000108885	2	1	3	2
ENSMUSG00000029015	2	1	11	10
ENSMUSG00000045179	12	1	2	4
ENSMUSG00000063779	1	1	11	3
ENSMUSG00000070531	2	1	3	2
ENSMUSG00000074183	11	1	2	9
ENSMUSG00000042849	2	1	11	10
ENSMUSG00000069939	1	1	11	3
ENSMUSG00000025873	9	0	0	8
ENSMUSG00000034456	14	-1	8	12
ENSMUSG00000070817	12	1	10	4
ENSMUSG00000024294	3	-1	0	6
ENSMUSG00000066463	5	1	13	0
ENSMUSG00000035376	5	-1	0	0
ENSMUSG00000044252	4	-1	9	5
ENSMUSG00000055917	7	-1	2	13
ENSMUSG00000071815	1	1	2	1
ENSMUSG00000068882	3	-1	0	6
ENSMUSG00000022685	7	-1	2	13
ENSMUSG00000036292	12	1	2	4
ENSMUSG00000041202	13	1	0	14
ENSMUSG00000116360	2	1	11	10
ENSMUSG00000024528	12	1	2	4
ENSMUSG00000029861	4	1	9	5
ENSMUSG00000077221	2	1	11	10
ENSMUSG00000070469	12	1	2	4
ENSMUSG00000115791	1	1	11	3
ENSMUSG00000097665	1	1	11	3
ENSMUSG00000046650	1	1	10	3
ENSMUSG00000046667	12	1	2	4
ENSMUSG00000106902	2	1	3	2
ENSMUSG00000037169	12	1	2	4
ENSMUSG00000049565	11	1	2	9
ENSMUSG00000033862	7	1	2	1
ENSMUSG00000033774	1	1	11	3
ENSMUSG00000084592	2	1	11	10
ENSMUSG00000077998	2	1	3	2
ENSMUSG00000021278	7	1	2	1
ENSMUSG00000027971	12	1	2	4
ENSMUSG00000024758	3	-1	9	5
ENSMUSG00000044921	7	1	2	1
ENSMUSG00000054387	8	-1	0	7
ENSMUSG00000062822	13	-1	0	14
ENSMUSG00000028013	14	-1	0	0
ENSMUSG00000042846	10	1	9	5
ENSMUSG00000025403	0	-1	0	11
ENSMUSG00000031831	1	1	11	3
ENSMUSG00000087045	2	1	3	2
ENSMUSG00000030739	8	-1	0	7
ENSMUSG00000037235	9	-1	0	8
ENSMUSG00000021559	3	-1	0	6
ENSMUSG00000049252	4	-1	9	5
ENSMUSG00000035805	4	-1	9	5
ENSMUSG00000050870	2	1	3	2
ENSMUSG00000022931	5	1	14	0
ENSMUSG00000067360	11	1	2	9
ENSMUSG00000035262	2	1	11	10
ENSMUSG00000087223	1	1	11	3
ENSMUSG00000046791	12	1	2	4
ENSMUSG00000086745	2	1	3	2
ENSMUSG00000055826	2	1	3	2
ENSMUSG00000022451	3	-1	0	6
ENSMUSG00000092734	2	1	3	2
ENSMUSG00000026700	2	1	11	10
ENSMUSG00000041852	8	-1	0	7
ENSMUSG00000075086	2	1	11	10
ENSMUSG00000024776	7	1	2	1
ENSMUSG00000056035	8	-1	8	7
ENSMUSG00000020000	7	-1	14	13
ENSMUSG00000037946	13	-1	0	14
ENSMUSG00000001656	1	1	11	3
ENSMUSG00000053146	1	1	11	3
ENSMUSG00000073982	13	-1	0	14
ENSMUSG00000024393	8	-1	0	7
ENSMUSG00000025433	1	1	11	3
ENSMUSG00000086552	1	1	11	3
ENSMUSG00000070972	12	1	2	4
ENSMUSG00000036139	12	1	10	4
ENSMUSG00000073768	11	1	10	9
ENSMUSG00000003573	7	-1	2	13
ENSMUSG00000115744	11	1	10	9
ENSMUSG00000019920	9	-1	0	8
ENSMUSG00000094892	11	1	10	9
ENSMUSG00000027495	7	-1	2	13
ENSMUSG00000045989	1	1	11	3
ENSMUSG00000087424	1	1	11	3
ENSMUSG00000050328	2	1	11	10
ENSMUSG00000022705	2	1	11	10
ENSMUSG00000034543	0	-1	0	11
ENSMUSG00000094734	2	1	3	2
ENSMUSG00000071753	8	-1	9	5
ENSMUSG00000020919	9	-1	0	8
ENSMUSG00000036214	11	1	2	9
ENSMUSG00000079069	2	1	11	10
ENSMUSG00000103116	2	1	3	2
ENSMUSG00000097368	11	1	2	9
ENSMUSG00000039230	0	-1	0	11
ENSMUSG00000035713	12	1	2	4
ENSMUSG00000059995	6	-1	0	0
ENSMUSG00000033831	8	-1	8	7
ENSMUSG00000029730	0	-1	0	11
ENSMUSG00000019841	9	-1	0	8
ENSMUSG00000040543	5	-1	0	0
ENSMUSG00000091537	5	-1	0	0
ENSMUSG00000026420	1	1	11	3
ENSMUSG00000027550	7	1	0	1
ENSMUSG00000073971	1	1	11	3
ENSMUSG00000028607	5	-1	0	0
ENSMUSG00000039210	7	-1	2	13
ENSMUSG00000032231	8	-1	0	7
ENSMUSG00000078593	2	1	3	2
ENSMUSG00000028165	9	-1	0	8
ENSMUSG00000075273	12	1	2	4
ENSMUSG00000049618	2	1	11	10
ENSMUSG00000002496	3	-1	0	6
ENSMUSG00000055692	10	1	2	1
ENSMUSG00000031160	2	1	11	10
ENSMUSG00000030983	5	-1	0	0
ENSMUSG00000078640	1	1	11	3
ENSMUSG00000046675	12	1	2	4
ENSMUSG00000051811	11	1	2	9
ENSMUSG00000028651	12	1	2	4
ENSMUSG00000024425	3	-1	9	5
ENSMUSG00000046613	12	1	2	4
ENSMUSG00000070501	7	1	0	1
ENSMUSG00000049612	4	1	9	5
ENSMUSG00000091996	1	1	11	3
ENSMUSG00000078038	2	1	7	2
ENSMUSG00000042216	6	1	9	5
ENSMUSG00000069036	2	1	3	2
ENSMUSG00000079407	1	1	10	3
ENSMUSG00000021823	3	-1	0	6
ENSMUSG00000033808	9	-1	0	8
ENSMUSG00000051098	10	1	2	1
ENSMUSG00000061633	1	1	11	3
ENSMUSG00000056870	12	1	2	4
ENSMUSG00000030093	11	1	2	9
ENSMUSG00000000194	9	-1	0	8
ENSMUSG00000043207	9	-1	0	8
ENSMUSG00000005667	7	1	2	1
ENSMUSG00000073830	8	-1	8	7
ENSMUSG00000039703	0	-1	0	11
ENSMUSG00000031068	3	-1	0	6
ENSMUSG00000051154	4	-1	0	0
ENSMUSG00000025487	0	-1	0	11
ENSMUSG00000005354	3	-1	0	6
ENSMUSG00000025892	4	-1	9	5
ENSMUSG00000074071	13	-1	0	14
ENSMUSG00000057182	10	1	9	5
ENSMUSG00000020390	3	-1	0	6
ENSMUSG00000031131	1	1	11	3
ENSMUSG00000094612	2	1	11	10
ENSMUSG00000031283	5	-1	2	0
ENSMUSG00000109219	2	1	3	2
ENSMUSG00000038429	3	-1	0	6
ENSMUSG00000034810	5	-1	0	0
ENSMUSG00000018733	12	1	2	4
