algorithm	n_clusters	noise_genes	silhouette	adjusted_mutual_info_vs_consensus
gmm	15	0	0.05599478259682655	0.8616385154223164
hdbscan	2	8926	0.6691219806671143	0.35221436973777226
spectral	15	0	-0.16799193620681763	0.6414538996417419
consensus	15	0	-0.043476399034261703	1.0
