sample	condition	stratum	PC1	PC2	PC1_variance	PC2_variance
RR8_LVR_FLT_ISS-T_OLD_FI11	flight	ISS-T_OLD	-2.90148916253768	16.3872132783145	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_OLD_FI12	flight	ISS-T_OLD	-36.118538337688	2.33618088016536	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_OLD_FI13	flight	ISS-T_OLD	-43.0602788082851	2.96641761566779	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_OLD_FI14	flight	ISS-T_OLD	-33.6145972110333	-10.8508982442354	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_OLD_FI15	flight	ISS-T_OLD	-25.7296870264023	-50.431822864065	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_OLD_FI18	flight	ISS-T_OLD	-22.2212800473418	18.6124652301244	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_OLD_FI19	flight	ISS-T_OLD	-24.6943291922892	0.974010977867026	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_OLD_FI20	flight	ISS-T_OLD	-7.65788361473438	7.03786319418852	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI1	flight	ISS-T_YNG	-20.2750653911814	26.4352720824344	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI2	flight	ISS-T_YNG	-45.9456215498182	-5.27797561568147	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI3	flight	ISS-T_YNG	-4.30575027250001	26.9638450840458	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI4	flight	ISS-T_YNG	-46.7797144032651	-21.761015293451	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI5	flight	ISS-T_YNG	-39.4357144647617	1.47328703841623	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI6	flight	ISS-T_YNG	-41.7552158421917	-18.4430828654361	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI7	flight	ISS-T_YNG	-28.3494069660715	-14.3550567744612	0.274177932000056	0.137698150155381
RR8_LVR_FLT_ISS-T_YNG_FI8	flight	ISS-T_YNG	-35.1821761570271	2.70712799543695	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_OLD_FL3	flight	LAR_OLD	64.3807372275305	42.5210255499656	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_OLD_FL4	flight	LAR_OLD	43.5267281073879	-8.88942593442753	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_OLD_FL7	flight	LAR_OLD	6.2040609496863	-21.6031063868915	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_OLD_FL16	flight	LAR_OLD	34.4798012578624	-25.0307969860856	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_YNG_FL1	flight	LAR_YNG	-7.96350991091509	39.925554875329	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_YNG_FL5	flight	LAR_YNG	63.8306801079908	-14.9778185890654	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_YNG_FL6	flight	LAR_YNG	64.3182183253244	1.26265136696307	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_YNG_FL13	flight	LAR_YNG	5.7662942719706	-38.102777572462	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_YNG_FL14	flight	LAR_YNG	9.18905859523858	-46.9468583527855	0.274177932000056	0.137698150155381
RR8_LVR_FLT_LAR_YNG_FL17	flight	LAR_YNG	61.8690438798112	-12.3601854484256	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI11	ground	ISS-T_OLD	-6.36686013912892	35.3258412259742	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI12	ground	ISS-T_OLD	-3.2702844269797	11.3038099628022	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI13	ground	ISS-T_OLD	25.3888839267005	11.9527544297152	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI14	ground	ISS-T_OLD	-21.0141075850665	29.4861515667062	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI15	ground	ISS-T_OLD	-29.5794567340995	0.962470201244254	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI16	ground	ISS-T_OLD	-19.5460009905885	15.9365920870122	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI17	ground	ISS-T_OLD	-10.3426268793695	25.9360862356959	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI18	ground	ISS-T_OLD	-10.7416692964949	21.6860940461147	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI19	ground	ISS-T_OLD	-18.7426477096986	-16.3505868615763	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_OLD_GI20	ground	ISS-T_OLD	-20.1583744021249	18.5302220972473	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI1	ground	ISS-T_YNG	-10.5768409689148	7.35791788087566	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI2	ground	ISS-T_YNG	-8.42444794632615	36.5193289499068	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI3	ground	ISS-T_YNG	-36.7906424818287	-7.53796744083076	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI4	ground	ISS-T_YNG	-9.33219186685857	11.4760062253881	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI5	ground	ISS-T_YNG	-7.26906830279574	23.4971371428154	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI6	ground	ISS-T_YNG	-21.8083374929123	-13.6806530019741	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI7	ground	ISS-T_YNG	-2.67689002055845	18.6263752230428	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI8	ground	ISS-T_YNG	-31.1396747760331	-16.0921292156036	0.274177932000056	0.137698150155381
RR8_LVR_GC_ISS-T_YNG_GI9	ground	ISS-T_YNG	-6.67103735476644	20.4401280944117	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_OLD_GL4	ground	LAR_OLD	77.1417131828434	21.4113179600337	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_OLD_GL8	ground	LAR_OLD	33.9619533635132	1.57752635986221	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_OLD_GL11	ground	LAR_OLD	35.2639029350875	1.48379916220897	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_OLD_GL12	ground	LAR_OLD	12.4608093810017	-18.9006607420699	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_OLD_GL15	ground	LAR_OLD	8.76781209013082	-48.596504678212	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_YNG_GL1	ground	LAR_YNG	57.4498420843297	26.4135135977651	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_YNG_GL2	ground	LAR_YNG	52.1873578235213	-13.2340696044656	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_YNG_GL6	ground	LAR_YNG	42.896739900102	-18.2852942627719	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_YNG_GL13	ground	LAR_YNG	19.3364946104637	-11.1287319173776	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_YNG_GL14	ground	LAR_YNG	5.38676648349851	-28.7496703788476	0.274177932000056	0.137698150155381
RR8_LVR_GC_LAR_YNG_GL17	ground	LAR_YNG	16.6345192285947	-47.938898586539	0.274177932000056	0.137698150155381
