gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction
ENSMUSG00000000001	2238.36024995075	0.359471977420807	0.206384050995702	1.74176238758049	0.0815500307140002	0.941664874641315	FALSE	not_deg
ENSMUSG00000000028	21.4135239762196	-0.967546169706197	0.396883787832107	-2.43785762827756	0.0147745916873832	0.801947387854481	FALSE	not_deg
ENSMUSG00000000031	17.5060564431908	-1.20250526836351	0.64256784910712	-1.87140590683841	0.06128884080229	0.922532916036834	FALSE	not_deg
ENSMUSG00000000049	50846.3885418208	0.0470355765482254	0.192293817314328	0.24460264612325	0.806764114982303	0.996055697823436	FALSE	not_deg
ENSMUSG00000000056	986.78175457714	-0.383563316846389	0.194749352865811	-1.96952293397697	0.048893071640299	0.902505393205399	FALSE	not_deg
ENSMUSG00000000058	151.52295566144	-0.0821302850411893	0.431947943309494	-0.1901393126494	0.84919996491975	0.996055697823436	FALSE	not_deg
ENSMUSG00000000078	276.72566172392	-0.219979593841905	0.327837330317111	-0.671002273075866	0.502219081471016	0.989114406234278	FALSE	not_deg
ENSMUSG00000000085	92.8635908367	0.127767007233494	0.318606592622862	0.401018089995184	0.688406805283258	0.992795926426456	FALSE	not_deg
ENSMUSG00000000088	2055.01228766172	0.178683031021343	0.245864594194138	0.726753811816647	0.467376782196482	0.986990846483048	FALSE	not_deg
ENSMUSG00000000093	62.9350313932393	-0.00140069577156737	0.319149104214175	-0.00438884444001881	0.996498220023402	0.999959599364434	FALSE	not_deg
ENSMUSG00000000120	60.0521438286853	0.117839525795272	0.347626751581292	0.338982904104017	0.734622609052464	0.993839075613391	FALSE	not_deg
ENSMUSG00000000126	9.91724051044491	0.382927672261976	0.578119928763716	0.662367189245405	0.507735926122724	0.989114406234278	FALSE	not_deg
ENSMUSG00000000127	259.303494638765	0.245991730997907	0.210199196557416	1.17027912107511	0.241888661301972	0.979192186294305	FALSE	not_deg
ENSMUSG00000000131	570.258679299837	-0.028960888761898	0.198896583884057	-0.145607773629638	0.884231030926205	0.997152492134517	FALSE	not_deg
ENSMUSG00000000134	304.72783046688	-0.180357910371897	0.223016107764918	-0.808721451465795	0.418675386342279	0.985886903225283	FALSE	not_deg
ENSMUSG00000000142	134.277462685496	0.254519299072056	0.310181956310055	0.82054837134898	0.411903565917087	0.985886903225283	FALSE	not_deg
ENSMUSG00000000148	160.058514839818	0.0267280406435837	0.236229968753545	0.113144156876508	0.909916267609044	0.997152492134517	FALSE	not_deg
ENSMUSG00000000149	1820.6316162095	-0.276766059769075	0.221858314333628	-1.24749014072503	0.212217833099237	0.979192186294305	FALSE	not_deg
ENSMUSG00000000154	1201.17027153326	-0.208973619480165	0.295851946885861	-0.706345257078154	0.479973455411985	0.987481073496406	FALSE	not_deg
ENSMUSG00000000159	857.684132999897	-0.44331155272348	0.279847157869635	-1.58412026085323	0.113166354542561	0.96697738517967	FALSE	not_deg
ENSMUSG00000000167	18.1105281722927	0.283963174500795	0.39074009570412	0.726731598888229	0.467390392207796	0.986990846483048	FALSE	not_deg
ENSMUSG00000000168	808.123580440649	0.522653637855714	0.26910484832883	1.94219331647664	0.0521137018971149	0.902505393205399	FALSE	not_deg
ENSMUSG00000000171	5841.20373783304	0.165052059241716	0.202174480121588	0.816384239704504	0.414280407706831	0.985886903225283	FALSE	not_deg
ENSMUSG00000000184	672.673366743045	0.137097111271492	0.283667284355429	0.483302512600333	0.628880956273198	0.992795926426456	FALSE	not_deg
ENSMUSG00000000194	431.135447557727	-0.228174210753487	0.200016564782047	-1.14077657019119	0.253962913084645	0.979192186294305	FALSE	not_deg
ENSMUSG00000000204	26.1422923554461	-0.679581285910514	0.600240060999619	-1.13218248841766	0.257557720734783	0.979192186294305	FALSE	not_deg
ENSMUSG00000000247	47.1721640175443	0.144608751465773	0.288024216966148	0.502071502837447	0.615617224964884	0.992795926426456	FALSE	not_deg
ENSMUSG00000000253	24.3249656849434	-0.262442077854656	0.319630287710605	-0.821080128965351	0.411600627844392	0.985886903225283	FALSE	not_deg
ENSMUSG00000000266	241.177486232024	0.514957996837196	0.254142713134852	2.02625521103945	0.0427386384683926	0.9006357496829	FALSE	not_deg
ENSMUSG00000000275	1452.29383616569	0.48661711679344	0.345733457616862	1.40749211877753	0.159281512617629	0.979192186294305	FALSE	not_deg
ENSMUSG00000000276	35.2638612663955	-0.219309374520618	0.286090793461367	-0.766572638941745	0.443335648396382	0.985886903225283	FALSE	not_deg
ENSMUSG00000000278	472.830075416745	-0.0955950381387171	0.182065984866514	-0.52505710063747	0.599543497080454	0.992743205789622	FALSE	not_deg
ENSMUSG00000000282	73.3279428330353	-0.419922877987493	0.312752157053464	-1.34266980584153	0.179378915853467	0.979192186294305	FALSE	not_deg
ENSMUSG00000000290	166.25581611731	-0.686231848712536	0.395524450467934	-1.73499223094975	0.0827421813067133	0.941664874641315	FALSE	not_deg
ENSMUSG00000000295	19.0276057378751	-0.44215632011476	0.406613099974246	-1.08741287514535	0.276854383629514	0.979192186294305	FALSE	not_deg
ENSMUSG00000000296	199.555275907622	-0.257464190697773	0.224806149745121	-1.14527200874922	0.252096497351813	0.979192186294305	FALSE	not_deg
ENSMUSG00000000301	8687.76005398725	-0.486549402920221	0.273124609732451	-1.78141912366241	0.0748440063949081	0.933740972615978	FALSE	not_deg
ENSMUSG00000000303	131.858079345664	1.15219949821902	0.422912137985962	2.72444178052243	0.00644102851898347	0.725453282577465	FALSE	not_deg
ENSMUSG00000000305	31.8272930097072	0.0482064672452319	0.327829480438321	0.147047383233436	0.883094620380244	0.997152492134517	FALSE	not_deg
ENSMUSG00000000308	5.78850200136289	-1.53900938237118	1.05846488065054	-1.45400136603994	0.145945927464601	0.979192186294305	FALSE	not_deg
ENSMUSG00000000317	57.6304599140552	0.225315462980941	0.462036847195261	0.487656913834234	0.625792875221719	0.992795926426456	FALSE	not_deg
ENSMUSG00000000320	24.4517976403607	-0.260576277788489	0.418820555821524	-0.622166878312273	0.533832142748954	0.989948944697174	FALSE	not_deg
ENSMUSG00000000326	10787.0773154144	-0.284473382369521	0.220480301841988	-1.29024398094935	0.196965960147685	0.979192186294305	FALSE	not_deg
ENSMUSG00000000339	150.712241260817	0.0729151248662197	0.203086823367293	0.359034247802226	0.719569468989751	0.993002104037949	FALSE	not_deg
ENSMUSG00000000340	2091.89501757844	0.26181000660576	0.185669237420835	1.41008823132259	0.158513631846351	0.979192186294305	FALSE	not_deg
ENSMUSG00000000346	1354.35038395616	0.186675463845067	0.214948222110607	0.868467122044902	0.385138663436716	0.984892912768316	FALSE	not_deg
ENSMUSG00000000355	312.84579796632	0.36098090862628	0.277453715707369	1.30104910545515	0.193241646871876	0.979192186294305	FALSE	not_deg
ENSMUSG00000000359	13.7404768062001	-0.240544193125334	0.45804091929236	-0.525158742360742	0.59947284316024	0.992743205789622	FALSE	not_deg
ENSMUSG00000000374	622.171497911307	-0.0396283726466582	0.137605529884835	-0.287985320646808	0.773357975316727	0.996055697823436	FALSE	not_deg
ENSMUSG00000000378	307.349487144466	-0.136810899288252	0.16940669410846	-0.807588507692981	0.419327504667768	0.985886903225283	FALSE	not_deg
ENSMUSG00000000384	372.518263580333	0.121244830956261	0.281042679026398	0.431410742938699	0.666169739941678	0.992795926426456	FALSE	not_deg
ENSMUSG00000000385	202.410562837865	-0.237022140283647	0.221925714552184	-1.06802468006885	0.285509379176808	0.979192186294305	FALSE	not_deg
ENSMUSG00000000386	18.661422970312	-0.909391308330505	0.503021111972956	-1.8078591269533	0.0706284285535052	0.929194488702183	FALSE	not_deg
ENSMUSG00000000399	1794.21523333318	0.0660496386442657	0.192214194109198	0.343625188297711	0.731128179457805	0.993002104037949	FALSE	not_deg
ENSMUSG00000000409	28.0196941179475	-0.502006723424334	0.45483610376801	-1.10370904874426	0.269719369122418	0.979192186294305	FALSE	not_deg
ENSMUSG00000000416	8.54536597412621	0.315192025424771	0.519151488771397	0.607129194930543	0.543765176613699	0.989948944697174	FALSE	not_deg
ENSMUSG00000000420	939.403777219835	-0.00954188815772633	0.156125198612572	-0.0611169000425404	0.951266110022796	0.998545885674983	FALSE	not_deg
ENSMUSG00000000439	301.392863529324	0.0196520076982854	0.189395565739451	0.103761709634324	0.917358453678427	0.997152492134517	FALSE	not_deg
ENSMUSG00000000440	92.9241394961442	0.077021464961636	0.324074009980834	0.237666281742838	0.812139937651947	0.996055697823436	FALSE	not_deg
