gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction
ENSMUSG00000000001	2428.79274988737	0.171786793287582	0.121732845104663	1.41117866045013	0.158191940694407	0.438405361332407	FALSE	not_deg
ENSMUSG00000000028	21.4626710924909	0.121177701883163	0.317159750782008	0.382071500511588	0.70240833040227	0.861938357985158	FALSE	not_deg
ENSMUSG00000000031	12.1903035520214	-0.272761512269033	0.511893867097531	-0.532847783107085	0.594138953802678	0.800804007043366	FALSE	not_deg
ENSMUSG00000000049	55602.0728993767	0.162919803065823	0.139481193795525	1.16804135835443	0.242790082612145	0.529114834573798	FALSE	not_deg
ENSMUSG00000000056	1085.23353887835	-0.59963884332399	0.194634562918223	-3.08084460608331	0.00206414343595525	0.0439551917914344	FALSE	not_deg
ENSMUSG00000000058	102.492150063827	-0.168064614781971	0.316503863816679	-0.531003358869941	0.59541645157764	0.801597850925599	FALSE	not_deg
ENSMUSG00000000078	418.745016755557	0.0967853461799689	0.155350916225533	0.623011106284429	0.533277223464465	0.764439103329474	FALSE	not_deg
ENSMUSG00000000085	206.351473519186	-0.0415550967771969	0.15297369183968	-0.271648649368726	0.78589218872216	0.903076989377341	FALSE	not_deg
ENSMUSG00000000088	1771.24212338004	-0.114873758321736	0.249123522204045	-0.461111649776885	0.644718504018201	0.830179333649052	FALSE	not_deg
ENSMUSG00000000093	83.820502537669	-0.142696390988015	0.226850139095168	-0.629033738119732	0.529326968844856	0.761860427856751	FALSE	not_deg
ENSMUSG00000000120	140.183695072439	-0.0090379549182471	0.25536677087332	-0.0353920554633577	0.971767119566714	0.987368891790952	FALSE	not_deg
ENSMUSG00000000126	13.643778316719	-0.203804693636295	0.292206218685516	-0.697468707384485	0.485509516259045	0.7318718739206	FALSE	not_deg
ENSMUSG00000000127	442.928751071107	0.0595903576696849	0.145347905413568	0.409984289076122	0.681817472539321	0.852402657533809	FALSE	not_deg
ENSMUSG00000000131	1152.6650050708	0.0495548170380793	0.14343477530211	0.345486768698207	0.729728455682805	0.875930302811074	FALSE	not_deg
