sample	condition	stratum	feature	muscle_score	muscle_score_z
RR8_LVR_GC_ISS-T_YNG_GI5	ground	ISS-T_YNG	ISS-T_YNG_rep05	1.3810460685735	-0.301629202271857
RR8_LVR_GC_ISS-T_YNG_GI6	ground	ISS-T_YNG	ISS-T_YNG_rep06	0.838137884531863	-1.03325381921392
RR8_LVR_GC_ISS-T_YNG_GI7	ground	ISS-T_YNG	ISS-T_YNG_rep07	2.11208488053016	0.683520785311586
RR8_LVR_GC_ISS-T_YNG_GI8	ground	ISS-T_YNG	ISS-T_YNG_rep08	3.2805715198208	2.2581767124128
RR8_LVR_GC_ISS-T_YNG_GI9	ground	ISS-T_YNG	ISS-T_YNG_rep09	2.22901385321394	0.84109460232857
RR8_LVR_GC_LAR_OLD_GL4	ground	LAR_OLD	LAR_OLD_rep02	2.48023705967952	0.977762035523683
RR8_LVR_GC_LAR_OLD_GL8	ground	LAR_OLD	LAR_OLD_rep04	1.07727346121771	-0.888151547455101
RR8_LVR_GC_LAR_OLD_GL11	ground	LAR_OLD	LAR_OLD_rep05	2.28556147383214	0.718847392046665
RR8_LVR_GC_LAR_OLD_GL12	ground	LAR_OLD	LAR_OLD_rep06	1.65275602659684	-0.122771222059852
RR8_LVR_GC_LAR_OLD_GL15	ground	LAR_OLD	LAR_OLD_rep07	1.18554466880598	-0.744153002442262
RR8_LVR_GC_LAR_YNG_GL1	ground	LAR_YNG	LAR_YNG_rep01	1.37283648472369	-0.591371471199264
RR8_LVR_GC_LAR_YNG_GL2	ground	LAR_YNG	LAR_YNG_rep02	2.2672158739656	-0.00697717910622167
RR8_LVR_GC_LAR_YNG_GL6	ground	LAR_YNG	LAR_YNG_rep04	1.81982090511376	-0.299308452895722
RR8_LVR_GC_LAR_YNG_GL13	ground	LAR_YNG	LAR_YNG_rep05	1.30501490639996	-0.635686606062471
RR8_LVR_GC_LAR_YNG_GL14	ground	LAR_YNG	LAR_YNG_rep06	1.66517430844483	-0.400355714798237
RR8_LVR_GC_LAR_YNG_GL17	ground	LAR_YNG	LAR_YNG_rep07	0.942999315654067	-0.872230345134894
