flt_cluster	gc_cluster	gene_count	fraction_of_flt_cluster	fraction_of_gc_cluster	mean_latent_shift	median_latent_shift	p90_latent_shift	eligible_dgea_genes	significant_dgea_genes	mean_meta_log2fc_eligible	mean_abs_meta_log2fc_sig	top_shift_genes	top_significant_genes	primary_gc_for_flt	primary_flt_for_gc	is_primary_flt_to_gc	is_primary_gc_to_flt	edge_role
2	6	220	0.10551558752997602	0.1636904761904762	2.116847392793887	2.01705652229125	2.8459936214778447	220	1	0.020645790479316677	1.3788833687061	Flvcr2,Gm12250,Slc25a48,Car1,Zbp1,Cerkl,Pdcd7,Atp6v0d2,Shroom3,Frg2f1,Mmd2,Enc1	Sult1e1	4	12	False	False	secondary
2	3	82	0.039328537170263786	0.050030506406345335	1.6143632391237035	1.445163289585578	2.5550651271810576	82	0	-0.031401134122399005	NA	Fads3,Acot2,Rcan2,Igfbp5,Arl4d,Tmtc2,Stxbp6,Bach2,Amigo2,Taco1,Csrp1,Sned1		4	8	False	False	secondary
2	2	9	0.004316546762589928	0.0042775665399239545	1.8716167629076006	1.960432870078898	2.0448797737844564	9	0	-0.010070860355839588	NA	Armc7,Aldh3b1,Star,Taf6l,Tpcn2,Impdh1,Mtbp,Spindoc,Plcl1		4	7	False	False	secondary
3	1	1874	0.9522357723577236	0.8576659038901602	0.7662430346382261	0.7138471466679714	1.0828492384432633	971	12	-0.0056170964150611905	1.6016541941139826	Stc2,Kcns3,Ppp2r2c,Zdbf2,Bdkrb2,Sult2b1,P2rx6,Scx,Trim10,ENSMUSG00000022053,Ptn,Timp4	Tg,Mucl1,Trpm5,Ptgs2,Cdk3,Il6,Fgf10,Prtn3,Cxcl2,Gm13490,Mypn,3830403N18Rik	1	3	True	True	reciprocal_primary
3	7	48	0.024390243902439025	0.03582089552238806	1.164951223880187	1.0487012019223965	1.6890995916322433	42	1	-0.06647629643825964	1.4938819636059	H2ac13,H2ac7,H2ac15,H3c8,H2ac11,Snord23,Shisa8,Scarna8,Slco4a1,Snora69,Gdf3,Plxnb3	Wnt11	1	4	False	False	secondary
3	10	44	0.022357723577235773	0.04206500956022945	0.9130440748122872	0.8682792562816617	1.2090967296955086	39	0	-0.13563921511694454	NA	Olfr921,Klra9,Sult2a4,Spock3,Vmn1r219,Olfr160,Mir1898,Gm4297,Olfr1389,Olfr918,Olfr699,Gm15328		1	4	False	False	secondary
3	0	2	0.0010162601626016261	0.0004520795660036166	0.9481996072139154	0.9481996072139154	1.299601751690098	0	0	NA	NA	Sv2a,ENSMUSG00000065560		1	0	False	False	secondary
4	10	901	0.5565163681284744	0.861376673040153	1.1583818585515089	1.089627433206687	1.6345990720846044	900	1	-0.04644776990544217	1.08065857893395	9330159F19Rik,Atcayos,Ly6m,Tmprss11d,Xkrx,Esyt3,Ndufs5-ps,Itgb6,Has2,Ccdc184,Sun3,Pcsk2	Olfr827	10	4	True	True	reciprocal_primary
4	7	515	0.31809759110562075	0.3843283582089552	1.3093157826788626	1.251382100010198	1.9743096117211467	514	0	-0.06729503305772644	NA	4930554C24Rik,Arhgef4,Klrc1,4933400F21Rik,Prkag3,Srpk3,Mblac1,Prf1,Zfp423,Crybb3,Pcdh9,Sirpb1a		10	4	False	True	gc_primary_only
4	1	102	0.06300185299567634	0.04668192219679634	1.0991778503988563	1.0456260145845855	1.5080295022611276	101	0	0.05103419095363123	NA	Slc28a3,Chrna1,Dusp18,Hemgn,Arhgap20,Ppp1r14c,Radx,4930432J09Rik,Fam163a,4930405J17Rik,Tmem179,Srcin1		10	3	False	False	secondary
