gene_id	flt_cluster	gc_cluster	procrustes_latent_shift	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction	gene_label
ENSMUSG00000029422	1	5	1.850889590761032	Rsrc2	6.0	0.0454227546843336	0.0473209483697028	0.959886820726009	0.337112179875837	3.0	3.0	13.2500233248532	62.2642173721955	0.0211451072170779	0.615036618545128	True	False	mixed	Rsrc2
ENSMUSG00000076126	0	0	0.494026454157714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	ENSMUSG00000076126
ENSMUSG00000049036	0	0	0.494026454157714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	ENSMUSG00000049036
ENSMUSG00000029577	5	11	1.128926028081428	Ube3b	6.0	0.0805450685037767	0.0466980292319699	1.72480658881071	0.0845623339577395	4.0	2.0	9.93670786132133	49.6815236013678	0.0770485933411662	0.290106304184818	True	False	mixed	Ube3b
ENSMUSG00000040746	5	3	1.313241431928392	Rnf167	6.0	-0.038058717559368	0.0445380693554872	-0.854521044807683	0.392816354023782	2.0	4.0	7.69429684716975	35.0168040132324	0.173907801338827	0.659858838939448	True	False	mixed	Rnf167
ENSMUSG00000020590	10	9	1.7119197530721262	Snx13	6.0	0.0011838366310632	0.0364196947449292	0.0325053968561347	0.974069012236623	4.0	2.0	6.1018673263938	18.0578709344866	0.296432630302631	0.99191311590285	True	False	mixed	Snx13
ENSMUSG00000030263	6	2	2.528180870474388	Irag2	6.0	-0.122625977825619	0.0605203511562027	-2.02619408980496	0.0427448990608556	1.0	5.0	7.05788166957949	29.1572141036207	0.216371046777763	0.191938766363041	True	False	mixed	Irag2
ENSMUSG00000038914	5	9	1.596111408463406	Dido1	6.0	0.0395961762260206	0.0428372572060756	0.924339670850932	0.355309494294998	4.0	2.0	0.672082525161102	0.0	0.984465646569838	0.629625621908338	True	False	mixed	Dido1
ENSMUSG00000026878	10	9	1.059869765183591	Rab14	6.0	0.0302064915619035	0.0383428446798456	0.787799961482281	0.430813723605908	5.0	1.0	4.5528144424242	0.0	0.472848296487124	0.692531356528287	True	False	mixed	Rab14
ENSMUSG00000093241	0	0	0.494026454157714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	ENSMUSG00000093241
