term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	-0.0034571733138428	1.174627613193977e-05	0.0034571733138428	0.003231221624925833	0.003231221624925833	0.029831739487407388	low_or_no_effect	low/no relative effect	exact override	literature override: not a prominent soleus heatmap effect
R-MMU-202427_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	0.0064619126272857	0.0014233987110194	0.0064619126272857	0.006529100448185166	0.006529100448185166	0.029831739487407388	low_or_no_effect	low/no relative effect	exact override	literature override: low-effect immune/TCR row in soleus heatmap
R-MMU-195721_SIGNALING_BY_WNT	0.1123510774142857	0.0024384980612553	0.1123510774142857	0.11190390553703704	0.11190390553703704	0.029831739487407388	plausible_complementary	plausible/complementary	wnt	plausible complementary mechanism: wnt
R-MMU-2428924_IGF1R_SIGNALING_CASCADE	-0.0029523620569914	0.0024384980612553	0.0029523620569914	0.0028823564561111	0.0028823564561111	0.029831739487407388	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.0105301176624285	0.0094428373348555	0.0105301176624285	0.009722805737740666	0.009722805737740666	0.029831739487407388	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-3299685_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	-0.0056457296579142	0.0116142766808621	0.0056457296579142	0.005726096022407367	0.005726096022407367	0.029831739487407388	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	0.2015407709082857	0.0142289768741291	0.2015407709082857	0.17403945517370367	0.17403945517370367	0.029831739487407388	plausible_complementary	plausible/complementary	g alpha	plausible complementary mechanism: g alpha
R-MMU-8963899_PLASMA_LIPOPROTEIN_REMODELING	0.0039818828224285	0.0178728554061827	0.0039818828224285	0.003982248392888833	0.003982248392888833	0.029831739487407388	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	-0.0165737038825428	0.0178728554061827	0.0165737038825428	0.014108879348296266	0.013514966792740732	0.029831739487407388	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.1202026750999999	0.0178728554061827	0.1202026750999999	0.12276240231481483	0.09401046231481484	0.029831739487407388	prior_literature_match	prior literature match	ecm	matches expected tissue/spaceflight biology: ecm
R-MMU-157858_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	0.00344094025222	0.0178728554061827	0.00344094025222	0.003183995733803667	0.003183995733803667	0.029831739487407388	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
