term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-2022928_HS_GAG_BIOSYNTHESIS	0.0024845479829577	0.1431929238460805	0.0024845479829577	0.004303731930490833	0.0018330182221574997	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-186797_SIGNALING_BY_PDGF	0.0543871312852113	0.1431929238460805	0.0543871312852113	0.08168864056397314	0.07289118648989901	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-5684996_MAPK1_MAPK3_SIGNALING	0.0617396156054578	0.1431929238460805	0.0617396156054578	0.08012136494107296	0.059740238691072985	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-416482_G_ALPHA_12_13_SIGNALLING_EVENTS	0.0054307520907552	0.1477885998590461	0.0054307520907552	0.0093585230512224	0.004879941834097867	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.1060081825161973	0.1477885998590461	0.1060081825161973	0.1586334952751639	0.12540605249738612	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-69481_G2_M_CHECKPOINTS	0.0055931797575422	0.1488168179857207	0.0055931797575422	0.0071052889116939	0.0019455015676198666	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	-0.1677938256891196	0.1568161986730032	0.1677938256891196	0.2201936890971166	0.14702867520822777	0.03824113312427363	prior_literature_match	prior literature match	cytokine	matches expected tissue/spaceflight biology: cytokine
R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	-0.082127593496479	0.1621332522818079	0.082127593496479	0.07958174129155592	0.06491133490266703	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9018519_ESTROGEN_DEPENDENT_GENE_EXPRESSION	0.0029633516077288	0.1621332522818079	0.0029633516077288	0.0070553928500309985	0.0043550658026235995	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9006927_SIGNALING_BY_NON_RECEPTOR_TYROSINE_KINASES	-0.0045910795505809	0.1695045333417639	0.0045910795505809	0.009187495080077766	0.005282540217754533	0.03824113312427363	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8878171_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	0.0532879066214789	0.1820029921938952	0.0532879066214789	0.061574649802852995	0.04676060213618637	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
