term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-5576891_CARDIAC_CONDUCTION	0.1057085014741412	0.0342668887270139	0.1057085014741412	0.11637893052453524	0.1016613324689797	0.014249067531992898	likely_artifact	likely artifact/junk	cardiac conduction	context-incongruent Reactome term: cardiac conduction
R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	-0.1274642317385104	0.0342668887270139	0.1274642317385104	0.19452485750834367	0.17873989996834364	0.014249067531992898	prior_literature_match	prior literature match	toll like receptor	matches expected tissue/spaceflight biology: toll like receptor
R-MMU-6805567_KERATINIZATION	-0.0046613496926128	0.0342668887270139	0.0046613496926128	0.0082059682032463	0.00684562313239255	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	-0.0181482028549737	0.0342668887270139	0.0181482028549737	0.016877208634317	0.014528195800983667	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	-0.0947747017151643	0.0342668887270139	0.0947747017151643	0.10097239564860401	0.08011004387082624	0.014249067531992898	prior_literature_match	prior literature match	mhc	matches expected tissue/spaceflight biology: mhc
R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	-0.0238793946367916	0.0345828834937243	0.0238793946367916	0.03983140393968847	0.029901896024291667	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-168188_TOLL_LIKE_RECEPTOR_TLR6_TLR2_CASCADE	0.0010394147224892	0.0345828834937243	0.0010394147224892	0.0016964258171876668	0.0015132389052188667	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.0258064965340632	0.0345828834937243	0.0258064965340632	0.04175182046993886	0.031573883957522114	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-114604_GPVI_MEDIATED_ACTIVATION_CASCADE	-0.0090292362596655	0.0345828834937243	0.0090292362596655	0.015161945856074716	0.012500463398642601	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.0706294273736312	0.0477062478884112	0.0706294273736312	0.08427383866529005	0.07769695949862344	0.014249067531992898	plausible_complementary	plausible/complementary	platelet	plausible complementary mechanism: platelet
R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	0.0801574604469772	0.0501362789319497	0.0801574604469772	0.09320849814910263	0.09105466373389794	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-422475_AXON_GUIDANCE	0.0681395017474125	0.0501853999992235	0.0681395017474125	0.07538579766787594	0.06074655972343158	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-109581_APOPTOSIS	0.0526604826739913	0.0533246906869974	0.0526604826739913	0.05668919060687442	0.05327112482909666	0.014249067531992898	plausible_complementary	plausible/complementary	apoptosis	plausible complementary mechanism: apoptosis
R-MMU-199991_MEMBRANE_TRAFFICKING	-0.0631835639298034	0.0554272788083568	0.0631835639298034	0.07108561874332332	0.042910300052847156	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.0476730539823013	0.0562964521619771	0.0476730539823013	0.08913169450210416	0.06231028156420398	0.014249067531992898	prior_literature_match	prior literature match	amino acids	matches expected tissue/spaceflight biology: amino acids
R-MMU-2467813_SEPARATION_OF_SISTER_CHROMATIDS	0.0008532925425161	0.0562964521619771	0.0008532925425161	0.00147087643002345	0.0005578868126399667	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8963899_PLASMA_LIPOPROTEIN_REMODELING	0.0450982438593068	0.0577481776051494	0.0450982438593068	0.050915894757357055	0.03251329975735708	0.014249067531992898	prior_literature_match	prior literature match	lipoprotein	matches expected tissue/spaceflight biology: lipoprotein
R-MMU-166058_MYD88_MAL_TIRAP_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	-0.001929806392185	0.0630848243583071	0.001929806392185	0.0035637168347766993	0.0032405161538897665	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-168256_IMMUNE_SYSTEM	0.1631336071621421	0.0630848243583071	0.1631336071621421	0.22740734767916662	0.15498591402837283	0.014249067531992898	prior_literature_match	prior literature match	exact override	literature override: liver immune/inflammatory remodeling
R-MMU-194138_SIGNALING_BY_VEGF	-0.113577276441053	0.0630848243583071	0.113577276441053	0.11088208815161775	0.09877428065161775	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-68877_MITOTIC_PROMETAPHASE	0.0008139465746422	0.0728536660161809	0.0008139465746422	0.0013296168400642582	0.0011866380071420249	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.0726636492042297	0.0728536660161809	0.0726636492042297	0.06709064459290909	0.06351401981513131	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-6798695_NEUTROPHIL_DEGRANULATION	-0.1310276602204887	0.0728536660161809	0.1310276602204887	0.162430569013753	0.12185183822010227	0.014249067531992898	prior_literature_match	prior literature match	neutrophil	matches expected tissue/spaceflight biology: neutrophil
R-MMU-6811442_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.0010215062157616	0.0730092159763072	0.0010215062157616	0.0014584326286876583	0.0010386063716594249	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.0443522021126443	0.0806302250529709	0.0443522021126443	0.06425168466097429	0.06227321049737985	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	-0.0157708954893955	0.0807586053535619	0.0157708954893955	0.01951370763152654	0.018331528452955128	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9013408_RHOG_GTPASE_CYCLE	-0.000338345762474	0.0809348859947013	0.000338345762474	0.000705056985542525	0.00033497597815147496	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9833482_PKR_MEDIATED_SIGNALING	-0.0082254826011909	0.0811962298595022	0.0082254826011909	0.013226635679370583	0.007366443370243651	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-556833_METABOLISM_OF_LIPIDS	0.0505941471876414	0.0811962298595022	0.0505941471876414	0.08882410033223741	0.05328414088640048	0.014249067531992898	prior_literature_match	prior literature match	lipid	matches expected tissue/spaceflight biology: lipid
R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-0.0696391978341461	0.0811962298595022	0.0696391978341461	0.08996388911741487	0.05396374955789112	0.014249067531992898	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac
R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	-0.0469347047939658	0.0811962298595022	0.0469347047939658	0.05923270604222672	0.05121774183644703	0.014249067531992898	prior_literature_match	prior literature match	amino acids	matches expected tissue/spaceflight biology: amino acids
R-MMU-373760_L1CAM_INTERACTIONS	-0.0030010707232479	0.0811962298595022	0.0030010707232479	0.0054830048197564004	3.1990978854666705e-05	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	-0.0477062097795113	0.0897762889951769	0.0477062097795113	0.06609563604012275	0.046186600960757586	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-163685_INTEGRATION_OF_ENERGY_METABOLISM	0.0019737479815297	0.0919395236446057	0.0019737479815297	0.0022253660064505422	0.0017964758141339086	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-211859_BIOLOGICAL_OXIDATIONS	-0.0532858384880754	0.0922926930390476	0.0532858384880754	0.10804881928780287	0.0905863771449457	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-6806667_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.076548653359187	0.0928142472734009	0.076548653359187	0.11016127588553197	0.0948898500773379	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-2172127_DAP12_INTERACTIONS	-0.0005662167712143	0.0958964620256451	0.0005662167712143	0.0009186904879057979	0.00037848153891633534	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	0.0547579455677214	0.0970567148933287	0.0547579455677214	0.05480823383979663	0.03717966161757438	0.014249067531992898	prior_literature_match	prior literature match	lipoprotein	matches expected tissue/spaceflight biology: lipoprotein
