model	original_rows	kept_rows	removed_gray	removed_red	kept_green	kept_blue	kept_brown	png	labels
liver_hvg	364	176	178	10	41	43	92	presentation/expimap/annotated_hvg/liver_hvg_interpretation_heatmap_no_gray_red.png	presentation/expimap/annotated_hvg/liver_hvg_pathway_interpretation_labels_no_gray_red.tsv
skin_hvg	319	202	107	10	50	43	109	presentation/expimap/annotated_hvg/skin_hvg_interpretation_heatmap_no_gray_red.png	presentation/expimap/annotated_hvg/skin_hvg_pathway_interpretation_labels_no_gray_red.tsv
thymus_hvg	387	162	217	8	39	59	64	presentation/expimap/annotated_hvg/thymus_hvg_interpretation_heatmap_no_gray_red.png	presentation/expimap/annotated_hvg/thymus_hvg_pathway_interpretation_labels_no_gray_red.tsv
soleus_hvg	357	117	236	4	35	30	52	presentation/expimap/annotated_hvg/soleus_hvg_interpretation_heatmap_no_gray_red.png	presentation/expimap/annotated_hvg/soleus_hvg_pathway_interpretation_labels_no_gray_red.tsv
