term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-9769740_COAGULATION_PATHWAY	0.070102422097037	1.953819117966997e-12	0.070102422097037	0.0692514432913333	0.0692514432913333	0.0452117281136842	plausible_complementary	plausible/complementary	exact override	literature override: platelet/coagulation adjunct, not core thymus axis
R-MMU-8980692_RHOA_GTPASE_CYCLE	-0.7754457842275131	2.6717009673814648e-12	0.7754457842275131	0.812444811658421	0.812444811658421	0.0452117281136842	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho
R-MMU-1640170_CELL_CYCLE	-0.5512834094973544	1.4005140634182146e-11	0.5512834094973544	0.604111792668421	0.604111792668421	0.0452117281136842	prior_literature_match	prior literature match	exact override	literature override: thymic cell-cycle remodeling
R-MMU-8951664_NEDDYLATION	0.3969352938952382	2.194177328690381e-11	0.3969352938952382	0.43208778926561403	0.43208778926561403	0.0452117281136842	plausible_complementary	plausible/complementary	neddylation	plausible complementary mechanism: neddylation
R-MMU-2029482_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	0.0371250784573253	9.074447085471851e-11	0.0371250784573253	0.03821782680059997	0.03821782680059997	0.0452117281136842	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	-0.5977174732407406	6.908043425319915e-10	0.5977174732407406	0.6729473669126316	0.6729473669126316	0.0452117281136842	plausible_complementary	plausible/complementary	golgi	plausible complementary mechanism: golgi
R-MMU-73894_DNA_REPAIR	0.9285032611507934	2.3170704474466327e-09	0.9285032611507934	1.0068827600368422	1.0068827600368422	0.0452117281136842	prior_literature_match	prior literature match	exact override	literature override: thymic DNA repair/stress response
R-MMU-2672351_STIMULI_SENSING_CHANNELS	-0.1793186717566139	3.238644667358909e-09	0.1793186717566139	0.1778776186298246	0.1778776186298246	0.0452117281136842	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-69278_CELL_CYCLE_MITOTIC	-1.2779667424814818	6.558646200929782e-09	1.2779667424814818	1.438332769986316	1.438332769986316	0.0452117281136842	prior_literature_match	prior literature match	exact override	literature override: thymic mitotic/cell-cycle remodeling
R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	0.3224427644973544	6.558646200929782e-09	0.3224427644973544	0.29358011803684203	0.29358011803684203	0.0452117281136842	plausible_complementary	plausible/complementary	glycosaminoglycan	plausible complementary mechanism: glycosaminoglycan
R-MMU-157579_TELOMERE_MAINTENANCE	0.4819538418994709	6.734357213894668e-09	0.4819538418994709	0.5554702357489474	0.5554702357489474	0.0452117281136842	prior_literature_match	prior literature match	telomere	matches expected tissue/spaceflight biology: telomere
R-MMU-9833482_PKR_MEDIATED_SIGNALING	-0.0097473250043915	8.072909105148365e-09	0.0097473250043915	0.01156156589538594	0.01156156589538594	0.0452117281136842	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-448424_INTERLEUKIN_17_SIGNALING	-0.0124838230548148	1.0869988649679813e-08	0.0124838230548148	0.0147942177589491	0.0147942177589491	0.0452117281136842	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	0.9652873905883596	2.5724779409477177e-08	0.9652873905883596	1.042990064164298	1.042990064164298	0.0452117281136842	prior_literature_match	prior literature match	nucleotide	matches expected tissue/spaceflight biology: nucleotide
R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	0.3271017978677249	3.3760478097446964e-08	0.3271017978677249	0.3124392548473684	0.3124392548473684	0.0452117281136842	prior_literature_match	prior literature match	tlr	matches expected tissue/spaceflight biology: tlr
R-MMU-1430728_METABOLISM	0.5496332002645494	3.617106488366466e-08	0.5496332002645494	0.6153945210526309	0.6153945210526309	0.0452117281136842	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
