gene_cluster	n_genes	baseline_control	flight	ground_control	unknown	vivarium_control
0	1781	92.97383	94.73259	91.42381	82.02711	93.16929
1	1679	0.9373717	1.2447273	0.8816621	1.5463041	0.8902593
2	2356	30.706192	31.387299	29.140764	27.912006	30.451344
3	2013	402.11038	422.56424	419.10843	355.27695	419.34564
4	1945	14943.3955	14720.706	15565.031	11790.396	15092.338
5	1047	3549.2878	3685.7097	3672.3887	3332.2202	3686.7349
6	2120	1096.7081	1087.9624	1110.2751	879.58826	1053.4565
7	1516	9.22727	9.697075	8.671613	9.878013	9.031554
8	566	0.08969029	0.12491331	0.08984871	0.18598902	0.08062962
9	967	669.3973	687.57184	689.2105	578.7697	685.3837
10	956	179.85759	182.41962	180.65614	153.72963	178.99878
11	559	1610.9847	1692.7772	1683.3486	1545.6771	1701.928
12	1634	2.8574338	3.3055286	2.7521718	3.8145766	2.7047734
13	611	270.14337	280.77744	277.6415	247.37253	276.56042
14	1260	0.26984128	0.46005046	0.25798273	0.6759421	0.22731602
