profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	dataset.study person.first name	dataset.study person.last name	dataset.study person.middle initials	dataset.study publication author list	id.accession_sample name	id.assay name	id.sample name	investigation.study.comment.data source accession	investigation.study.comment.doi	investigation.study.comment.project identifier	study.characteristics.organism	study.source name	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	10	flight	Mmus_C57-6J_LVR_FLT_C_Rep2_M26	RR1_FLT_M26	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep2_M26		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M26	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	11	flight	Mmus_C57-6J_LVR_FLT_C_Rep3_M27	RR1_FLT_M27	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep3_M27		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M27	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	12	flight	Mmus_C57-6J_LVR_FLT_C_Rep4_M28	RR1_FLT_M28	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep4_M28		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M28	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	13	flight	Mmus_C57-6J_LVR_FLT_C_Rep5_M30	RR1_FLT_M30	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep5_M30		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M30	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	14	flight	Mmus_C57-6J_LVR_FLT_I_Rep1_M21	RR1_FLT_M21	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_I_Rep1_M21		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M21	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	15	flight	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	RR1_FLT_M22	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_I_Rep2_M22		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M22	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	16	ground_control	Mmus_C57-6J_LVR_GC_C_Rep1_M36	RR1_GC_M36	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep1_M36		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M36	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	17	ground_control	Mmus_C57-6J_LVR_GC_C_Rep2_M37	RR1_GC_M37	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep2_M37		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M37	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	18	ground_control	Mmus_C57-6J_LVR_GC_C_Rep3_M38	RR1_GC_M38	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep3_M38		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M38	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	19	ground_control	Mmus_C57-6J_LVR_GC_C_Rep4_M39	RR1_GC_M39	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep4_M39		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M39	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type
