gene_cluster	n_genes	profile	id.accession	investigation.study.comment.project identifier	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source	official_material_type	official_tissue_type	mean_expression
0	1781	Mmus_C57-6J_LVR_LN2_1y_Rep3	OSD-49		ASAP 3	unknown	unknown	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		53.661987
0	1781	Mmus_C57-6J_LVR_LN2_3d_Rep1	OSD-49		PC 1	unknown	unknown	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		59.529476
0	1781	Mmus_C57-6J_LVR_LN2_3d_Rep2	OSD-49		PC 2	unknown	unknown	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		53.551376
0	1781	Mmus_C57-6J_LVR_LN2_3d_Rep3	OSD-49		PC 3	unknown	unknown	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		52.986523
0	1781	Mmus_BAL-TAL_LVR_BSL_Rep1_B1	OSD-137	RR-3	RR3_BSL_B1	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		104.869736
0	1781	Mmus_BAL-TAL_LVR_BSL_Rep2_B2	OSD-137	RR-3	RR3_BSL_B2	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		94.832115
0	1781	Mmus_BAL-TAL_LVR_BSL_Rep3_B3	OSD-137	RR-3	RR3_BSL_B3	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		96.184166
0	1781	Mmus_BAL-TAL_LVR_BSL_Rep4_B4	OSD-137	RR-3	RR3_BSL_B4	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		112.936554
0	1781	Mmus_BAL-TAL_LVR_BSL_Rep5_B6	OSD-137	RR-3	RR3_BSL_B6	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		109.04155
0	1781	Mmus_BAL-TAL_LVR_BSL_Rep6_B7	OSD-137	RR-3	RR3_BSL_B7	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		85.686134
0	1781	Mmus_BAL-TAL_LVR_FLT_Rep1_F1	OSD-137	RR-3	RR3_FLT_F1	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		64.90455
0	1781	Mmus_BAL-TAL_LVR_FLT_Rep2_F2	OSD-137	RR-3	RR3_FLT_F2	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		85.18641
0	1781	Mmus_BAL-TAL_LVR_FLT_Rep3_F3	OSD-137	RR-3	RR3_FLT_F3	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		73.15216
0	1781	Mmus_BAL-TAL_LVR_FLT_Rep4_F4	OSD-137	RR-3	RR3_FLT_F4	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		93.04997
