gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000070531	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000074183	-4.400624	1.5588027	0.36732236	1
ENSMUSG00000042849	-6.818323	-0.91569954	0.19573729	1
ENSMUSG00000069939	-5.1381073	0.32086784	0.07081792	1
ENSMUSG00000025873	7.0866594	10.035054	0.7104757	2
ENSMUSG00000034456	13.43738	13.82884	-0.1937166	2
ENSMUSG00000070817	-4.3015757	1.2353513	-0.16098446	1
ENSMUSG00000024294	15.915644	-8.032334	-0.09243565	3
ENSMUSG00000066463	-7.0384083	-0.6758232	0.024132524	1
ENSMUSG00000035376	5.531741	8.748232	0.41375533	2
ENSMUSG00000044252	10.84901	12.175413	0.05623707	2
ENSMUSG00000055917	4.0559998	6.9987936	-0.31885472	2
ENSMUSG00000071815	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000068882	11.420375	-6.431897	-0.23874702	3
ENSMUSG00000022685	6.5171084	-4.9913054	-0.10957862	0
ENSMUSG00000036292	10.14551	-6.227759	-0.03459084	3
ENSMUSG00000041202	-6.539858	-0.39953718	-0.09139841	1
ENSMUSG00000116360	-7.058827	-0.6524473	0.015171971	1
ENSMUSG00000024528	1.0332726	5.161256	0.02298382	2
ENSMUSG00000029861	-7.021582	-0.6528531	-0.006799311	1
ENSMUSG00000077221	-6.6662807	-0.553767	-0.09074689	1
ENSMUSG00000070469	-4.960186	0.8409648	-0.022069126	1
ENSMUSG00000115791	-6.274957	-0.50835556	0.009307615	1
ENSMUSG00000097665	-7.006064	-0.6182264	0.10776	1
ENSMUSG00000046650	-5.813459	-0.78692967	-0.26630586	1
ENSMUSG00000046667	4.6140547	-3.996116	-0.4650707	0
ENSMUSG00000106902	-7.040279	-0.68704504	0.039354753	1
ENSMUSG00000037169	-4.7341356	-1.3076093	-0.09342602	1
ENSMUSG00000049565	-6.2982917	0.15325925	0.32525674	1
ENSMUSG00000033862	5.650242	-4.9085274	0.116700955	0
ENSMUSG00000033774	-6.263355	-1.2342389	0.34339112	1
ENSMUSG00000084592	-6.78357	-0.37327418	0.11770438	1
ENSMUSG00000077998	-7.059651	-0.6582431	0.008891851	1
ENSMUSG00000021278	-6.736276	-0.8097977	0.06158239	1
ENSMUSG00000027971	-5.148236	-1.039667	-0.24122061	1
ENSMUSG00000024758	8.118879	10.220073	0.0031886501	2
ENSMUSG00000044921	-4.0730886	-1.5700693	-0.047214072	1
ENSMUSG00000054387	10.245624	-5.708307	-0.5927739	3
ENSMUSG00000062822	4.245823	7.6477456	0.2846358	2
ENSMUSG00000028013	6.749568	8.743716	-0.62519854	2
ENSMUSG00000042846	-6.288317	-0.09471647	-0.004166844	1
ENSMUSG00000025403	13.586768	-8.095284	0.7244006	3
ENSMUSG00000031831	-7.0094104	-0.6436128	-0.023498386	1
ENSMUSG00000087045	-7.0583744	-0.65104204	0.016766634	1
ENSMUSG00000030739	5.224885	-6.218089	1.584685	0
ENSMUSG00000037235	12.080058	-7.0363326	0.16407643	3
ENSMUSG00000021559	13.852173	-7.7358284	0.2906959	3
ENSMUSG00000049252	-7.037309	-0.69039553	0.04274396	1
ENSMUSG00000035805	-7.035546	-0.5915928	0.07739954	1
ENSMUSG00000050870	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000022931	-6.9731507	-0.7809439	0.1194428	1
ENSMUSG00000067360	-7.048429	-0.6562988	0.00097349274	1
ENSMUSG00000035262	-6.6678033	-0.68637145	-0.092670515	1
ENSMUSG00000087223	-5.4856243	-1.149089	-0.016949158	1
ENSMUSG00000046791	-1.1214501	3.396452	-0.045244806	1
ENSMUSG00000086745	-7.0199423	-0.7154825	0.06270588	1
ENSMUSG00000055826	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000022451	11.724122	-6.387777	-0.3834375	3
ENSMUSG00000092734	-6.879116	-0.90013653	0.20587172	1
ENSMUSG00000026700	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000041852	9.033935	11.08458	0.29385236	2
ENSMUSG00000075086	-7.0607476	-0.6583958	0.009682685	1
ENSMUSG00000024776	-1.9179773	-2.0353374	-0.2920876	1
ENSMUSG00000056035	14.978311	16.12558	1.1792319	2
ENSMUSG00000020000	-5.900609	2.909385	3.6735747	1
ENSMUSG00000037946	-3.314732	1.7117504	-0.15164807	1
ENSMUSG00000001656	-7.0392942	-0.6527428	-0.0037150087	1
ENSMUSG00000053146	-5.9697523	-1.3121393	0.3264655	1
ENSMUSG00000073982	2.7717824	-4.322827	0.45155606	0
ENSMUSG00000024393	6.561929	8.7208605	-0.41475013	2
ENSMUSG00000025433	-7.0182567	-0.59246135	0.055371113	1
ENSMUSG00000086552	-6.9155974	-0.42579114	0.1718712	1
ENSMUSG00000070972	8.261275	-5.3737993	-0.26272672	0
ENSMUSG00000036139	-6.8695765	-0.6051647	-0.11601362	1
ENSMUSG00000073768	-4.256999	-1.0736661	-0.48662484	1
ENSMUSG00000003573	-3.4719865	-2.0286222	0.2044466	1
ENSMUSG00000115744	-4.3728986	-1.5953164	0.07139983	1
ENSMUSG00000019920	9.624214	-5.959155	-0.121750616	3
ENSMUSG00000094892	-5.66067	-1.3580387	0.25696254	1
ENSMUSG00000027495	8.347574	10.728688	0.41118225	2
ENSMUSG00000045989	-7.0600905	-0.65637726	0.0119192265	1
