location	term	study_count	accessions	cluster_count	best_fdr_bh	max_overlap	example_clusters
GC	REACTOME_CELL_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	23	7.37603122358418e-09	77	OSD-379:GC5;OSD-168:GC5;OSD-245:GC2;OSD-168:GC3;OSD-137:GC8;OSD-48:GC3;OSD-245:GC3;OSD-137:GC1
FLT	REACTOME_MITOTIC_G1_G1_S_PHASES	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	8.490786582530815e-09	37	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-245:FLT3;OSD-245:FLT9;OSD-137:FLT3
GC	REACTOME_CELL_CYCLE_CHECKPOINTS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	8.821899805609028e-09	34	OSD-379:GC5;OSD-48:GC3;OSD-463:GC4;OSD-168:GC5;OSD-137:GC8;OSD-137:GC6;OSD-245:GC9;OSD-245:GC5
GC	REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	9.625158554789555e-09	21	OSD-137:GC1;OSD-245:GC2;OSD-463:GC3;OSD-48:GC7;OSD-168:GC3;OSD-379:GC7;OSD-379:GC4;OSD-48:GC2
FLT	REACTOME_SULFUR_AMINO_ACID_METABOLISM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	7	1.0339172280778577e-08	11	OSD-168:FLT7;OSD-245:FLT8;OSD-379:FLT8;OSD-137:FLT3;OSD-463:FLT6;OSD-48:FLT10;OSD-463:FLT4
GC	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	1.045524498867104e-08	13	OSD-379:GC5;OSD-48:GC3;OSD-463:GC4;OSD-168:GC5;OSD-137:GC6;OSD-245:GC5
FLT	REACTOME_MRNA_3_END_PROCESSING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	1.1540881027467832e-08	17	OSD-463:FLT2;OSD-379:FLT5;OSD-137:FLT4;OSD-245:FLT1;OSD-168:FLT2;OSD-48:FLT7;OSD-379:FLT3;OSD-245:FLT3
GC	REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	18	1.5308935283378827e-08	30	OSD-137:GC1;OSD-48:GC7;OSD-245:GC2;OSD-463:GC7;OSD-168:GC3;OSD-463:GC3;OSD-48:GC2;OSD-379:GC6
GC	REACTOME_METABOLISM_OF_CARBOHYDRATES	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	1.751513050162193e-08	48	OSD-245:GC7;OSD-379:GC9;OSD-168:GC8;OSD-48:GC9;OSD-463:GC4;OSD-137:GC10;OSD-137:GC6;OSD-245:GC5
GC	REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	2.1949718070581523e-08	29	OSD-168:GC5;OSD-379:GC5;OSD-48:GC3;OSD-245:GC5;OSD-245:GC9;OSD-379:GC6;OSD-137:GC8;OSD-137:GC9
GC	REACTOME_DNA_REPAIR	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	18	2.8224181275641667e-08	34	OSD-137:GC1;OSD-245:GC2;OSD-463:GC2;OSD-168:GC3;OSD-379:GC4;OSD-48:GC7;OSD-137:GC2;OSD-48:GC4
GC	REACTOME_HIV_LIFE_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	18	2.8224181275641667e-08	32	OSD-137:GC1;OSD-48:GC7;OSD-245:GC2;OSD-168:GC3;OSD-463:GC3;OSD-48:GC2;OSD-463:GC7;OSD-379:GC4
FLT	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	3.181882250716213e-08	36	OSD-168:FLT4;OSD-245:FLT3;OSD-463:FLT2;OSD-379:FLT5;OSD-137:FLT3;OSD-48:FLT5;OSD-48:FLT7;OSD-137:FLT4
GC	REACTOME_SULFUR_AMINO_ACID_METABOLISM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	3.50921111109315e-08	13	OSD-463:GC4;OSD-168:GC8;OSD-379:GC9;OSD-245:GC7;OSD-137:GC10;OSD-48:GC3
FLT	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	4.062487194014838e-08	10	OSD-48:FLT7;OSD-137:FLT8;OSD-379:FLT6;OSD-463:FLT4;OSD-168:FLT4;OSD-245:FLT3
FLT	REACTOME_HEMOSTASIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	20	4.218838765194114e-08	86	OSD-137:FLT3;OSD-463:FLT12;OSD-168:FLT4;OSD-379:FLT8;OSD-168:FLT7;OSD-245:FLT8;OSD-463:FLT6;OSD-463:FLT4
GC	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	4.48930515519443e-08	25	OSD-463:GC4;OSD-137:GC6;OSD-245:GC7;OSD-379:GC5;OSD-168:GC8;OSD-379:GC9;OSD-168:GC5;OSD-48:GC3
FLT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	4.764624541825878e-08	8	OSD-463:FLT6;OSD-168:FLT7;OSD-379:FLT8;OSD-245:FLT8;OSD-48:FLT10;OSD-137:FLT3
FLT	REACTOME_CELL_CYCLE_MITOTIC	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	23	5.1006651687972706e-08	75	OSD-463:FLT4;OSD-168:FLT4;OSD-379:FLT6;OSD-48:FLT7;OSD-245:FLT3;OSD-245:FLT1;OSD-137:FLT2;OSD-463:FLT1
FLT	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	5.568458721700332e-08	18	OSD-463:FLT4;OSD-137:FLT3;OSD-168:FLT4;OSD-379:FLT6;OSD-48:FLT5;OSD-245:FLT3;OSD-379:FLT5;OSD-168:FLT2
FLT	REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	5.974102138071172e-08	18	OSD-463:FLT2;OSD-245:FLT1;OSD-168:FLT2;OSD-379:FLT5;OSD-137:FLT4;OSD-379:FLT3;OSD-463:FLT1;OSD-137:FLT9
FLT	REACTOME_PEROXISOMAL_LIPID_METABOLISM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	8.270423714748e-08	9	OSD-463:FLT6;OSD-168:FLT7;OSD-379:FLT8;OSD-245:FLT8;OSD-137:FLT8;OSD-48:FLT10
GC	REACTOME_CIRCADIAN_CLOCK	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	8.363598560758922e-08	22	OSD-48:GC3;OSD-463:GC4;OSD-168:GC5;OSD-379:GC5;OSD-245:GC9;OSD-137:GC6;OSD-245:GC7;OSD-379:GC9
GC	REACTOME_HEMOSTASIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	9.17749240057967e-08	84	OSD-463:GC4;OSD-137:GC10;OSD-379:GC5;OSD-48:GC3;OSD-168:GC5;OSD-48:GC9;OSD-245:GC5;OSD-245:GC7
FLT	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	9.6744198858332e-08	20	OSD-463:FLT2;OSD-379:FLT5;OSD-168:FLT2;OSD-137:FLT4;OSD-379:FLT9;OSD-245:FLT1;OSD-137:FLT9;OSD-245:FLT3
FLT	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	9.7257911477103e-08	17	OSD-463:FLT6;OSD-245:FLT8;OSD-48:FLT10;OSD-379:FLT8;OSD-168:FLT7;OSD-137:FLT8;OSD-168:FLT4;OSD-137:FLT3
GC	REACTOME_MRNA_3_END_PROCESSING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	1.0712986422148273e-07	17	OSD-48:GC3;OSD-463:GC3;OSD-168:GC4;OSD-245:GC2;OSD-379:GC4;OSD-245:GC9;OSD-379:GC6;OSD-137:GC5
FLT	REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	1.1320063537552563e-07	20	OSD-168:FLT4;OSD-245:FLT3;OSD-137:FLT3;OSD-379:FLT6;OSD-463:FLT4;OSD-379:FLT5;OSD-137:FLT8;OSD-48:FLT7
GC	REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	1.4036523590414576e-07	20	OSD-379:GC5;OSD-168:GC5;OSD-463:GC4;OSD-245:GC5;OSD-245:GC7;OSD-48:GC2;OSD-48:GC9;OSD-245:GC9
FLT	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	1.444347638124299e-07	48	OSD-379:FLT8;OSD-137:FLT3;OSD-168:FLT7;OSD-245:FLT8;OSD-463:FLT6;OSD-379:FLT6;OSD-168:FLT4;OSD-463:FLT4
GC	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	1.532058292989921e-07	32	OSD-168:GC5;OSD-379:GC5;OSD-48:GC3;OSD-245:GC5;OSD-379:GC6;OSD-48:GC2;OSD-245:GC9;OSD-168:GC4
GC	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	1.547760456039945e-07	20	OSD-168:GC5;OSD-48:GC3;OSD-379:GC5;OSD-245:GC7;OSD-463:GC4;OSD-379:GC9;OSD-168:GC8;OSD-137:GC9
FLT	REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	1.5829137412187235e-07	29	OSD-168:FLT4;OSD-463:FLT2;OSD-379:FLT5;OSD-245:FLT3;OSD-137:FLT4;OSD-48:FLT7;OSD-48:FLT11;OSD-137:FLT3
GC	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	7	1.5930359671744995e-07	12	OSD-48:GC3;OSD-245:GC7;OSD-379:GC5;OSD-463:GC4;OSD-168:GC8;OSD-137:GC6;OSD-168:GC5
FLT	REACTOME_POTASSIUM_CHANNELS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	1.750660184823581e-07	62	OSD-379:FLT0;OSD-463:FLT0;OSD-245:FLT2;OSD-168:FLT6;OSD-48:FLT4;OSD-137:FLT0;OSD-48:FLT2;OSD-379:FLT2
FLT	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	7	1.750660184823581e-07	32	OSD-379:FLT0;OSD-463:FLT0;OSD-245:FLT2;OSD-137:FLT10;OSD-48:FLT2;OSD-168:FLT6;OSD-48:FLT12
FLT	REACTOME_UNFOLDED_PROTEIN_RESPONSE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	18	1.8466098580706182e-07	25	OSD-137:FLT3;OSD-379:FLT6;OSD-168:FLT7;OSD-463:FLT4;OSD-48:FLT10;OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT6
FLT	REACTOME_DNA_STRAND_ELONGATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	8	1.8853167122909902e-07	19	OSD-48:FLT1;OSD-245:FLT4;OSD-379:FLT1;OSD-137:FLT2;OSD-168:FLT3;OSD-463:FLT3;OSD-137:FLT7;OSD-245:FLT7
GC	REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	2.0343159644555292e-07	19	OSD-463:GC3;OSD-48:GC3;OSD-245:GC2;OSD-379:GC6;OSD-168:GC4;OSD-137:GC5;OSD-245:GC9;OSD-379:GC4
GC	REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	2.0343159644555292e-07	22	OSD-463:GC3;OSD-137:GC1;OSD-168:GC3;OSD-48:GC7;OSD-463:GC2;OSD-379:GC4;OSD-245:GC2;OSD-379:GC7
GC	REACTOME_SIGNALING_BY_ERBB2	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	2.112414325966781e-07	31	OSD-48:GC3;OSD-168:GC5;OSD-379:GC5;OSD-245:GC9;OSD-245:GC5;OSD-463:GC7;OSD-379:GC6;OSD-137:GC7
GC	REACTOME_POTASSIUM_CHANNELS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	2.221833068110235e-07	60	OSD-168:GC1;OSD-245:GC0;OSD-379:GC2;OSD-48:GC0;OSD-463:GC0;OSD-137:GC0;OSD-463:GC6;OSD-168:GC0
GC	REACTOME_MRNA_CAPPING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	2.498459736574392e-07	14	OSD-137:GC1;OSD-245:GC2;OSD-168:GC3;OSD-168:GC7;OSD-379:GC4;OSD-379:GC7;OSD-463:GC3;OSD-48:GC4
FLT	REACTOME_BETA_DEFENSINS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	2.6564322260864487e-07	19	OSD-379:FLT4;OSD-168:FLT1;OSD-48:FLT0;OSD-137:FLT1;OSD-245:FLT0;OSD-463:FLT0
GC	REACTOME_BETA_DEFENSINS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	3.218595013954382e-07	17	OSD-379:GC1;OSD-168:GC2;OSD-463:GC1;OSD-245:GC4;OSD-48:GC1;OSD-137:GC0
FLT	REACTOME_SIGNALING_BY_EGFR_IN_CANCER	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	3.3629601739244293e-07	32	OSD-168:FLT4;OSD-245:FLT3;OSD-463:FLT2;OSD-379:FLT5;OSD-137:FLT3;OSD-168:FLT2;OSD-48:FLT5;OSD-137:FLT4
GC	REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	3.484765988286588e-07	18	OSD-379:GC5;OSD-168:GC5;OSD-463:GC4;OSD-245:GC5;OSD-137:GC8;OSD-48:GC9;OSD-245:GC9;OSD-463:GC7
FLT	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	4.2624965396566315e-07	31	OSD-168:FLT4;OSD-137:FLT3;OSD-48:FLT5;OSD-463:FLT4;OSD-245:FLT3;OSD-379:FLT5;OSD-48:FLT11;OSD-245:FLT9
FLT	REACTOME_CELL_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	23	4.4278676834668395e-07	92	OSD-463:FLT4;OSD-168:FLT4;OSD-379:FLT6;OSD-137:FLT2;OSD-48:FLT7;OSD-245:FLT3;OSD-137:FLT8;OSD-463:FLT1
FLT	REACTOME_DNA_REPAIR	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	4.822129525751961e-07	39	OSD-137:FLT2;OSD-379:FLT1;OSD-48:FLT3;OSD-379:FLT3;OSD-48:FLT1;OSD-463:FLT1;OSD-168:FLT5;OSD-245:FLT1
GC	REACTOME_SIGNALING_BY_PDGF	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	4.89829529584799e-07	31	OSD-168:GC5;OSD-379:GC5;OSD-245:GC5;OSD-48:GC3;OSD-137:GC8;OSD-245:GC9;OSD-379:GC6;OSD-137:GC9
FLT	REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	6.324351674694951e-07	7	OSD-463:FLT6;OSD-168:FLT7;OSD-379:FLT8;OSD-48:FLT10;OSD-245:FLT8;OSD-137:FLT3
GC	REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	7	7.150350160879924e-07	13	OSD-379:GC5;OSD-463:GC4;OSD-48:GC3;OSD-168:GC5;OSD-137:GC6;OSD-245:GC5;OSD-245:GC7
FLT	REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	7.249415462532958e-07	7	OSD-168:FLT7;OSD-379:FLT8;OSD-245:FLT8;OSD-463:FLT6;OSD-48:FLT10;OSD-137:FLT3
FLT	REACTOME_PROTEIN_FOLDING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	8	9.458027001477207e-07	17	OSD-137:FLT8;OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-245:FLT3;OSD-463:FLT2;OSD-379:FLT8
FLT	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	9.819582598713557e-07	25	OSD-168:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-48:FLT5;OSD-463:FLT4;OSD-48:FLT10;OSD-137:FLT3;OSD-463:FLT6
FLT	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	9.83576460378113e-07	64	OSD-168:FLT7;OSD-379:FLT8;OSD-137:FLT3;OSD-245:FLT8;OSD-463:FLT2;OSD-48:FLT10;OSD-379:FLT6;OSD-463:FLT6
GC	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	1.3448241803895594e-06	30	OSD-379:GC2;OSD-245:GC0;OSD-168:GC1;OSD-463:GC6;OSD-137:GC0;OSD-48:GC0
GC	REACTOME_PROTEIN_FOLDING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	1.4542075458601968e-06	18	OSD-379:GC5;OSD-168:GC5;OSD-48:GC3;OSD-463:GC4;OSD-245:GC5;OSD-137:GC6;OSD-463:GC7;OSD-137:GC8
GC	REACTOME_NEURONAL_SYSTEM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	1.5298249469955759e-06	144	OSD-48:GC0;OSD-168:GC1;OSD-379:GC2;OSD-463:GC0;OSD-168:GC0;OSD-245:GC10;OSD-137:GC0;OSD-245:GC0
FLT	REACTOME_SIGNALING_BY_ERBB2	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	1.5995375209601617e-06	28	OSD-168:FLT4;OSD-137:FLT3;OSD-379:FLT5;OSD-463:FLT2;OSD-48:FLT5;OSD-245:FLT3;OSD-48:FLT11;OSD-245:FLT9
FLT	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	1.7148900406568653e-06	7	OSD-245:FLT8;OSD-463:FLT6;OSD-379:FLT8;OSD-168:FLT7;OSD-48:FLT10;OSD-137:FLT3
FLT	REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	1.931915993954006e-06	21	OSD-48:FLT3;OSD-168:FLT2;OSD-463:FLT1;OSD-168:FLT5;OSD-137:FLT2;OSD-379:FLT3;OSD-245:FLT1;OSD-137:FLT7
FLT	REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	18	1.9964570220468943e-06	30	OSD-463:FLT2;OSD-168:FLT5;OSD-137:FLT2;OSD-245:FLT1;OSD-168:FLT2;OSD-48:FLT3;OSD-379:FLT9;OSD-379:FLT5
GC	REACTOME_TELOMERE_MAINTENANCE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	2.1031488982692938e-06	16	OSD-168:GC3;OSD-137:GC1;OSD-463:GC2;OSD-137:GC2;OSD-379:GC3;OSD-379:GC7;OSD-245:GC2;OSD-245:GC3
GC	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	2.286174984091121e-06	24	OSD-245:GC7;OSD-168:GC8;OSD-379:GC9;OSD-137:GC6;OSD-48:GC3;OSD-463:GC4;OSD-48:GC9;OSD-379:GC5
GC	REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	2.384371787500579e-06	13	OSD-137:GC1;OSD-168:GC3;OSD-245:GC2;OSD-379:GC7;OSD-463:GC3;OSD-463:GC2;OSD-48:GC2;OSD-137:GC4
GC	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	2.406543168253595e-06	37	OSD-463:GC4;OSD-137:GC6;OSD-245:GC7;OSD-379:GC9;OSD-379:GC5;OSD-168:GC8;OSD-137:GC1;OSD-463:GC2
FLT	REACTOME_NEURONAL_SYSTEM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	2.5277086372884302e-06	145	OSD-137:FLT0;OSD-379:FLT0;OSD-245:FLT2;OSD-48:FLT12;OSD-48:FLT4;OSD-168:FLT0;OSD-245:FLT13;OSD-168:FLT6
GC	REACTOME_SIGNALING_BY_FGFR	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	2.9296445795330157e-06	30	OSD-168:GC5;OSD-379:GC5;OSD-48:GC3;OSD-245:GC5;OSD-245:GC9;OSD-137:GC9;OSD-379:GC6;OSD-137:GC8
FLT	REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	3.1344734317952607e-06	16	OSD-168:FLT5;OSD-137:FLT2;OSD-48:FLT3;OSD-463:FLT2;OSD-245:FLT1;OSD-463:FLT1;OSD-137:FLT7;OSD-379:FLT3
GC	REACTOME_INTRINSIC_PATHWAY	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	3.3488947508355163e-06	9	OSD-379:GC9;OSD-137:GC10;OSD-168:GC8;OSD-463:GC4;OSD-245:GC7;OSD-48:GC3
FLT	REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	9	3.905607436734226e-06	14	OSD-379:FLT4;OSD-245:FLT0;OSD-168:FLT1;OSD-137:FLT1;OSD-48:FLT5;OSD-463:FLT2;OSD-48:FLT0;OSD-245:FLT3
GC	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	4.218781443524847e-06	10	OSD-463:GC3;OSD-379:GC4;OSD-245:GC2;OSD-168:GC4;OSD-137:GC4;OSD-48:GC3
GC	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	4.454595651852671e-06	25	OSD-168:GC5;OSD-379:GC5;OSD-48:GC3;OSD-137:GC9;OSD-245:GC5;OSD-48:GC2;OSD-463:GC4;OSD-137:GC8
GC	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	5.092414274103591e-06	18	OSD-48:GC3;OSD-379:GC5;OSD-463:GC4;OSD-245:GC7;OSD-245:GC5;OSD-168:GC5;OSD-463:GC7;OSD-168:GC4
GC	REACTOME_PHOSPHOLIPID_METABOLISM	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	19	5.574131156155021e-06	44	OSD-168:GC5;OSD-379:GC5;OSD-245:GC7;OSD-137:GC5;OSD-463:GC4;OSD-48:GC3;OSD-48:GC9;OSD-379:GC9
GC	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	8	5.652688633651358e-06	12	OSD-379:GC5;OSD-168:GC5;OSD-463:GC4;OSD-48:GC3;OSD-137:GC6;OSD-463:GC7;OSD-245:GC9;OSD-245:GC7
FLT	REACTOME_INTRINSIC_PATHWAY	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	6	5.718562292633335e-06	8	OSD-463:FLT6;OSD-168:FLT7;OSD-379:FLT8;OSD-245:FLT8;OSD-137:FLT3;OSD-48:FLT10
FLT	REACTOME_SIGNALING_BY_PDGF	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	5.787220708902035e-06	31	OSD-168:FLT4;OSD-463:FLT2;OSD-379:FLT5;OSD-245:FLT3;OSD-48:FLT11;OSD-137:FLT4;OSD-137:FLT3;OSD-245:FLT9
GC	REACTOME_UNFOLDED_PROTEIN_RESPONSE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	6.148732325218607e-06	22	OSD-463:GC4;OSD-379:GC5;OSD-48:GC3;OSD-48:GC9;OSD-245:GC5;OSD-245:GC7;OSD-168:GC5;OSD-168:GC8
FLT	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	6.864922349496877e-06	21	OSD-463:FLT4;OSD-379:FLT8;OSD-137:FLT8;OSD-168:FLT4;OSD-48:FLT10;OSD-137:FLT3;OSD-168:FLT7;OSD-48:FLT7
FLT	REACTOME_HIV_LIFE_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	19	7.450140369050825e-06	36	OSD-463:FLT2;OSD-137:FLT2;OSD-168:FLT5;OSD-245:FLT1;OSD-463:FLT1;OSD-48:FLT3;OSD-168:FLT2;OSD-379:FLT9
