location	term	study_count	accessions	cluster_count	best_fdr_bh	max_overlap	example_clusters
GC	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	9	1.636503945093515e-48	56	OSD-245:GC7;OSD-463:GC4;OSD-48:GC3;OSD-137:GC6;OSD-379:GC9;OSD-168:GC8;OSD-168:GC5;OSD-379:GC5
FLT	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	2.3633923320127637e-48	51	OSD-245:FLT8;OSD-48:FLT10;OSD-463:FLT6;OSD-379:FLT8;OSD-168:FLT7;OSD-168:FLT4;OSD-137:FLT8;OSD-137:FLT3
FLT	REACTOME_TRANSLATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	4.8098398068606165e-48	61	OSD-245:FLT8;OSD-48:FLT10;OSD-463:FLT6;OSD-379:FLT8;OSD-168:FLT4;OSD-137:FLT3;OSD-137:FLT8;OSD-168:FLT7
FLT	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	2.7693982730264605e-46	50	OSD-48:FLT10;OSD-245:FLT8;OSD-463:FLT6;OSD-379:FLT8;OSD-168:FLT4;OSD-168:FLT7;OSD-137:FLT8;OSD-137:FLT3
GC	REACTOME_METABOLISM_OF_RNA	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	22	3.0215043722972613e-43	100	OSD-463:GC4;OSD-48:GC3;OSD-245:GC7;OSD-137:GC6;OSD-379:GC9;OSD-168:GC8;OSD-168:GC5;OSD-379:GC5
GC	REACTOME_INFLUENZA_LIFE_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	1.3002958640543978e-42	62	OSD-245:GC7;OSD-463:GC4;OSD-379:GC9;OSD-137:GC6;OSD-48:GC3;OSD-168:GC8;OSD-168:GC5;OSD-379:GC5
FLT	REACTOME_INFLUENZA_LIFE_CYCLE	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	1.598282966214249e-42	53	OSD-48:FLT10;OSD-245:FLT8;OSD-463:FLT6;OSD-379:FLT8;OSD-168:FLT7;OSD-168:FLT4;OSD-137:FLT3;OSD-137:FLT8
GC	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	1.255365077263923e-40	52	OSD-48:GC3;OSD-463:GC4;OSD-245:GC7;OSD-137:GC6;OSD-379:GC5;OSD-168:GC8;OSD-168:GC5;OSD-379:GC9
GC	REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	3.546035850906249e-40	64	OSD-463:GC4;OSD-245:GC7;OSD-48:GC3;OSD-137:GC6;OSD-379:GC5;OSD-168:GC8;OSD-168:GC5;OSD-379:GC9
GC	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	23	4.272721309321913e-40	143	OSD-245:GC7;OSD-463:GC4;OSD-168:GC8;OSD-379:GC9;OSD-48:GC3;OSD-137:GC10;OSD-48:GC9;OSD-137:GC6
GC	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	3.792369030888135e-38	52	OSD-48:GC3;OSD-463:GC4;OSD-245:GC7;OSD-137:GC6;OSD-379:GC5;OSD-168:GC8;OSD-168:GC5;OSD-379:GC9
FLT	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	22	6.477383722508743e-38	125	OSD-245:FLT8;OSD-168:FLT7;OSD-379:FLT8;OSD-48:FLT10;OSD-463:FLT6;OSD-137:FLT3;OSD-137:FLT8;OSD-48:FLT7
FLT	REACTOME_METABOLISM_OF_PROTEINS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	20	8.245990162155239e-38	115	OSD-48:FLT10;OSD-245:FLT8;OSD-379:FLT8;OSD-463:FLT6;OSD-168:FLT4;OSD-463:FLT4;OSD-137:FLT8;OSD-137:FLT3
FLT	REACTOME_METABOLISM_OF_MRNA	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	2.4199850220414944e-36	77	OSD-48:FLT10;OSD-245:FLT8;OSD-463:FLT6;OSD-168:FLT4;OSD-379:FLT8;OSD-137:FLT8;OSD-137:FLT3;OSD-463:FLT4
