study.characteristics.material type	flight	ground_control	total
Soleus	12	9	21
Right extensor digitorum longus	10	10	20
Right quadriceps femoris	10	10	20
Right soleus	10	10	20
Right tibialis anterior	9	9	18
Quadriceps femoris	7	7	14
Extensor digitorum longus- both sides	6	6	12
Left gastrocnemius	6	6	12
Left quadriceps femoris	6	6	12
Left tibialis anterior	6	6	12
Right gastrocnemius	4	8	12
Soleus-both sides	6	6	12
Gastrocnemius	3	3	6
