gc_cluster	gene_count	mean_latent_shift	median_latent_shift	p90_latent_shift
12	102	2.8379111278372746	2.775937946962925	3.7156996924722554
11	431	2.336453598959318	2.2214378087912303	3.1640549751901847
2	2687	2.1157996776273045	2.008515264167421	2.9272947417218322
9	661	1.7608824253563409	1.726496848148604	2.4032531091953646
8	1209	1.729789063894414	1.555195716202407	2.9065169968973312
13	20	1.6269889918254432	1.641054635406868	1.9132478471351875
7	1397	1.5013491445073592	1.4449301614362924	1.9605396082858646
6	1506	1.4903033013391263	1.462230504056846	1.9565566773774616
10	655	1.4478379472409793	1.368718831299241	2.0391384303028945
14	3	1.4081831793360866	1.4582718494737292	1.526424561358037
1	2864	1.2395497303471663	1.1523901855560876	1.8929094814818084
5	1514	1.2198244679243988	1.1506513641266436	1.7087221148901286
4	1539	1.1803703196890252	1.1418997912926108	1.636697573193206
3	2198	0.6345116059695265	0.5791201918209683	0.9661391559984165
0	4224	0.4384877961330331	0.43841443149948217	0.43841443149948217
