location	variable	clusters_tested	median_eta_squared	max_eta_squared	strong_driver_clusters
FLT	h5_accession	16	0.48185603257631504	0.832277240568975	14
FLT	mission	16	0.48185603257631504	0.832277240568975	14
FLT	strain	16	0.400799845933852	0.748876757203388	12
FLT	library_selection	16	0.07884673046141108	0.6315259285670453	4
FLT	sex	16	0.12151917997465067	0.6014103293273758	6
FLT	sequencing_instrument	16	0.016247003272984766	0.07569606549052883	0
FLT	library_layout	16			0
GC	h5_accession	15	0.5252744187054522	0.9325261600156073	11
GC	mission	15	0.5252744187054522	0.9325261600156073	11
GC	strain	15	0.4390549525565892	0.6819286642135689	10
GC	sex	15	0.17834491072766373	0.6736235052739846	4
GC	library_selection	15	0.04169805711108807	0.5274259956551978	2
GC	sequencing_instrument	15	0.011763702311501496	0.04196789995171593	0
GC	library_layout	15			0
