flt_cluster	gene_count	mean_latent_shift	median_latent_shift	p90_latent_shift
14	7	3.908450767318849	3.3766412198109825	6.683808033574444
15	3	3.58245181556464	3.464613800224564	4.105521010219778
13	462	2.613406596226582	2.4309972843421397	4.0707604006971305
6	1265	2.0842145571966393	2.056382023676247	2.8920821733099213
10	869	1.8150225671460951	1.757235983460421	2.345422943209289
9	1052	1.80657906723567	1.669506322268219	3.074722353326482
5	1353	1.5908581129447668	1.5180788966201886	2.2207408301912235
12	648	1.5468248839828147	1.4945013492106702	2.063104121172205
8	1100	1.5262155684265655	1.4856668991013549	2.106675483856336
3	1846	1.522497982506499	1.3901878212638683	2.3438552098697096
4	1823	1.5219188157774415	1.4359057895448182	2.0295583506533035
2	2036	1.2838755355575127	1.1176483281096732	2.118847303312611
11	868	1.1829871554457552	1.136845154731485	1.6611499133222203
7	1121	1.1249472907442915	1.0866749705775942	1.564687345181196
1	2339	0.6388513426389	0.5861242361207587	0.9679033841576608
0	4218	0.4384835316910284	0.43841443149948217	0.43841443149948217
