term	reactome_id	name	url	n_genes
R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	R-MMU-112315	Transmission across Chemical Synapses	https://reactome.org/PathwayBrowser/#/R-MMU-112315	209
R-MMU-112316_NEURONAL_SYSTEM	R-MMU-112316	Neuronal System	https://reactome.org/PathwayBrowser/#/R-MMU-112316	332
R-MMU-112382_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX	R-MMU-112382	Formation of RNA Pol II elongation complex 	https://reactome.org/PathwayBrowser/#/R-MMU-112382	55
R-MMU-112399_IRS_MEDIATED_SIGNALLING	R-MMU-112399	IRS-mediated signalling	https://reactome.org/PathwayBrowser/#/R-MMU-112399	40
R-MMU-112409_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	R-MMU-112409	RAF-independent MAPK1/3 activation	https://reactome.org/PathwayBrowser/#/R-MMU-112409	22
R-MMU-112411_MAPK1_ERK2_ACTIVATION	R-MMU-112411	MAPK1 (ERK2) activation	https://reactome.org/PathwayBrowser/#/R-MMU-112411	8
R-MMU-112412_SOS_MEDIATED_SIGNALLING	R-MMU-112412	SOS-mediated signalling	https://reactome.org/PathwayBrowser/#/R-MMU-112412	3
R-MMU-113418_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	R-MMU-113418	Formation of the Early Elongation Complex	https://reactome.org/PathwayBrowser/#/R-MMU-113418	32
R-MMU-113501_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	R-MMU-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	https://reactome.org/PathwayBrowser/#/R-MMU-113501	10
R-MMU-113510_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	R-MMU-113510	E2F mediated regulation of DNA replication	https://reactome.org/PathwayBrowser/#/R-MMU-113510	10
R-MMU-114294_ACTIVATION_TRANSLOCATION_AND_OLIGOMERIZATION_OF_BAX	R-MMU-114294	Activation, translocation and oligomerization of BAX	https://reactome.org/PathwayBrowser/#/R-MMU-114294	2
R-MMU-114452_ACTIVATION_OF_BH3_ONLY_PROTEINS	R-MMU-114452	Activation of BH3-only proteins	https://reactome.org/PathwayBrowser/#/R-MMU-114452	18
R-MMU-114508_EFFECTS_OF_PIP2_HYDROLYSIS	R-MMU-114508	Effects of PIP2 hydrolysis	https://reactome.org/PathwayBrowser/#/R-MMU-114508	25
R-MMU-114516_DISINHIBITION_OF_SNARE_FORMATION	R-MMU-114516	Disinhibition of SNARE formation	https://reactome.org/PathwayBrowser/#/R-MMU-114516	4
R-MMU-114604_GPVI_MEDIATED_ACTIVATION_CASCADE	R-MMU-114604	GPVI-mediated activation cascade	https://reactome.org/PathwayBrowser/#/R-MMU-114604	33
R-MMU-114608_PLATELET_DEGRANULATION	R-MMU-114608	Platelet degranulation 	https://reactome.org/PathwayBrowser/#/R-MMU-114608	122
R-MMU-1168372_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	https://reactome.org/PathwayBrowser/#/R-MMU-1168372	65
R-MMU-1169091_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	R-MMU-1169091	Activation of NF-kappaB in B cells	https://reactome.org/PathwayBrowser/#/R-MMU-1169091	52
R-MMU-1169092_ACTIVATION_OF_RAS_IN_B_CELLS	R-MMU-1169092	Activation of RAS in B cells	https://reactome.org/PathwayBrowser/#/R-MMU-1169092	4
R-MMU-1169408_ISG15_ANTIVIRAL_MECHANISM	R-MMU-1169408	ISG15 antiviral mechanism	https://reactome.org/PathwayBrowser/#/R-MMU-1169408	27
R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	R-MMU-1169410	Antimicrobial mechanism of IFN-stimulated genes	https://reactome.org/PathwayBrowser/#/R-MMU-1169410	96
R-MMU-1170546_PROLACTIN_RECEPTOR_SIGNALING	R-MMU-1170546	Prolactin receptor signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1170546	9
R-MMU-1181150_SIGNALING_BY_NODAL	R-MMU-1181150	Signaling by NODAL	https://reactome.org/PathwayBrowser/#/R-MMU-1181150	6
R-MMU-1187000_FERTILIZATION	R-MMU-1187000	Fertilization	https://reactome.org/PathwayBrowser/#/R-MMU-1187000	25
R-MMU-1222556_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	R-MMU-1222556	ROS and RNS production in phagocytes	https://reactome.org/PathwayBrowser/#/R-MMU-1222556	36
R-MMU-1227986_SIGNALING_BY_ERBB2	R-MMU-1227986	Signaling by ERBB2	https://reactome.org/PathwayBrowser/#/R-MMU-1227986	45
R-MMU-1234158_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	R-MMU-1234158	Regulation of gene expression by Hypoxia-inducible Factor	https://reactome.org/PathwayBrowser/#/R-MMU-1234158	6
R-MMU-1234174_CELLULAR_RESPONSE_TO_HYPOXIA	R-MMU-1234174	Cellular response to hypoxia	https://reactome.org/PathwayBrowser/#/R-MMU-1234174	57
R-MMU-1234176_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	R-MMU-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	https://reactome.org/PathwayBrowser/#/R-MMU-1234176	53
R-MMU-1236394_SIGNALING_BY_ERBB4	R-MMU-1236394	Signaling by ERBB4	https://reactome.org/PathwayBrowser/#/R-MMU-1236394	34
R-MMU-1236973_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	R-MMU-1236973	Cross-presentation of particulate exogenous antigens (phagosomes)	https://reactome.org/PathwayBrowser/#/R-MMU-1236973	7
R-MMU-1236974_ER_PHAGOSOME_PATHWAY	R-MMU-1236974	ER-Phagosome pathway	https://reactome.org/PathwayBrowser/#/R-MMU-1236974	36
R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	R-MMU-1236975	Antigen processing-Cross presentation	https://reactome.org/PathwayBrowser/#/R-MMU-1236975	68
R-MMU-1236977_ENDOSOMAL_VACUOLAR_PATHWAY	R-MMU-1236977	Endosomal/Vacuolar pathway	https://reactome.org/PathwayBrowser/#/R-MMU-1236977	17
R-MMU-1236978_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	R-MMU-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	https://reactome.org/PathwayBrowser/#/R-MMU-1236978	40
R-MMU-1237044_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	R-MMU-1237044	Erythrocytes take up carbon dioxide and release oxygen	https://reactome.org/PathwayBrowser/#/R-MMU-1237044	13
R-MMU-1237112_METHIONINE_SALVAGE_PATHWAY	R-MMU-1237112	Methionine salvage pathway	https://reactome.org/PathwayBrowser/#/R-MMU-1237112	4
R-MMU-1247673_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	R-MMU-1247673	Erythrocytes take up oxygen and release carbon dioxide	https://reactome.org/PathwayBrowser/#/R-MMU-1247673	9
R-MMU-1250196_SHC1_EVENTS_IN_ERBB2_SIGNALING	R-MMU-1250196	SHC1 events in ERBB2 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1250196	14
R-MMU-1250342_PI3K_EVENTS_IN_ERBB4_SIGNALING	R-MMU-1250342	PI3K events in ERBB4 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1250342	8
R-MMU-1250347_SHC1_EVENTS_IN_ERBB4_SIGNALING	R-MMU-1250347	SHC1 events in ERBB4 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1250347	11
R-MMU-1251985_NUCLEAR_SIGNALING_BY_ERBB4	R-MMU-1251985	Nuclear signaling by ERBB4	https://reactome.org/PathwayBrowser/#/R-MMU-1251985	11
R-MMU-1253288_DOWNREGULATION_OF_ERBB4_SIGNALING	R-MMU-1253288	Downregulation of ERBB4 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1253288	10
R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	R-MMU-1257604	PIP3 activates AKT signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1257604	231
R-MMU-1266695_INTERLEUKIN_7_SIGNALING	R-MMU-1266695	Interleukin-7 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1266695	25
R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	R-MMU-1266738	Developmental Biology	https://reactome.org/PathwayBrowser/#/R-MMU-1266738	538
R-MMU-1268020_MITOCHONDRIAL_PROTEIN_IMPORT	R-MMU-1268020	Mitochondrial protein import	https://reactome.org/PathwayBrowser/#/R-MMU-1268020	10
R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	R-MMU-1280215	Cytokine Signaling in Immune system	https://reactome.org/PathwayBrowser/#/R-MMU-1280215	470
R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	R-MMU-1280218	Adaptive Immune System	https://reactome.org/PathwayBrowser/#/R-MMU-1280218	870
R-MMU-1295596_SPRY_REGULATION_OF_FGF_SIGNALING	R-MMU-1295596	Spry regulation of FGF signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1295596	17
R-MMU-1296025_ATP_SENSITIVE_POTASSIUM_CHANNELS	R-MMU-1296025	ATP sensitive Potassium channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296025	4
R-MMU-1296041_ACTIVATION_OF_G_PROTEIN_GATED_POTASSIUM_CHANNELS	R-MMU-1296041	Activation of G protein gated Potassium channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296041	29
R-MMU-1296052_CA2_ACTIVATED_K_CHANNELS	R-MMU-1296052	Ca2+ activated K+ channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296052	6
R-MMU-1296053_CLASSICAL_KIR_CHANNELS	R-MMU-1296053	Classical Kir channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296053	4
R-MMU-1296059_G_PROTEIN_GATED_POTASSIUM_CHANNELS	R-MMU-1296059	G protein gated Potassium channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296059	29
R-MMU-1296061_HCN_CHANNELS	R-MMU-1296061	HCN channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296061	4
R-MMU-1296065_INWARDLY_RECTIFYING_K_CHANNELS	R-MMU-1296065	Inwardly rectifying K+ channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296065	35
R-MMU-1296067_POTASSIUM_TRANSPORT_CHANNELS	R-MMU-1296067	Potassium transport channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296067	3
R-MMU-1296071_POTASSIUM_CHANNELS	R-MMU-1296071	Potassium Channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296071	97
R-MMU-1296072_VOLTAGE_GATED_POTASSIUM_CHANNELS	R-MMU-1296072	Voltage gated Potassium channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296072	41
R-MMU-1296346_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	R-MMU-1296346	Tandem pore domain potassium channels	https://reactome.org/PathwayBrowser/#/R-MMU-1296346	11
R-MMU-1299287_TANDEM_PORE_DOMAIN_HALOTHANE_INHIBITED_K_CHANNEL_THIK	R-MMU-1299287	Tandem pore domain halothane-inhibited K+ channel (THIK)	https://reactome.org/PathwayBrowser/#/R-MMU-1299287	1
R-MMU-1299308_TANDEM_OF_PORE_DOMAIN_IN_A_WEAK_INWARDLY_RECTIFYING_K_CHANNELS_TWIK	R-MMU-1299308	Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)	https://reactome.org/PathwayBrowser/#/R-MMU-1299308	3
R-MMU-1299316_TWIK_RELEATED_ACID_SENSITIVE_K_CHANNEL_TASK	R-MMU-1299316	TWIK-releated acid-sensitive K+ channel (TASK)	https://reactome.org/PathwayBrowser/#/R-MMU-1299316	2
R-MMU-1299344_TWIK_RELATED_SPINAL_CORD_K_CHANNEL_TRESK	R-MMU-1299344	TWIK-related spinal cord K+ channel (TRESK)	https://reactome.org/PathwayBrowser/#/R-MMU-1299344	1
R-MMU-1299361_TWIK_RELATED_ALKALINE_PH_ACTIVATED_K_CHANNEL_TALK	R-MMU-1299361	TWIK-related alkaline pH activated K+ channel (TALK)	https://reactome.org/PathwayBrowser/#/R-MMU-1299361	1
R-MMU-1299503_TWIK_RELATED_POTASSIUM_CHANNEL_TREK	R-MMU-1299503	TWIK related potassium channel (TREK)	https://reactome.org/PathwayBrowser/#/R-MMU-1299503	3
R-MMU-1300642_SPERM_MOTILITY_AND_TAXES	R-MMU-1300642	Sperm Motility And Taxes	https://reactome.org/PathwayBrowser/#/R-MMU-1300642	9
R-MMU-1300645_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING	R-MMU-1300645	Acrosome Reaction and Sperm:Oocyte Membrane Binding	https://reactome.org/PathwayBrowser/#/R-MMU-1300645	6
R-MMU-1306955_GRB7_EVENTS_IN_ERBB2_SIGNALING	R-MMU-1306955	GRB7 events in ERBB2 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1306955	4
R-MMU-1307965_BETAKLOTHO_MEDIATED_LIGAND_BINDING	R-MMU-1307965	betaKlotho-mediated ligand binding	https://reactome.org/PathwayBrowser/#/R-MMU-1307965	3
R-MMU-1358803_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	R-MMU-1358803	Downregulation of ERBB2:ERBB3 signaling	https://reactome.org/PathwayBrowser/#/R-MMU-1358803	13
