term	reactome_id	name	url	n_genes
R-MMU-1461957_BETA_DEFENSINS	R-MMU-1461957	Beta defensins	https://reactome.org/PathwayBrowser/#/R-MMU-1461957	18
R-MMU-1461973_DEFENSINS	R-MMU-1461973	Defensins	https://reactome.org/PathwayBrowser/#/R-MMU-1461973	56
R-MMU-1462054_ALPHA_DEFENSINS	R-MMU-1462054	Alpha-defensins	https://reactome.org/PathwayBrowser/#/R-MMU-1462054	38
R-MMU-1474151_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	R-MMU-1474151	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	https://reactome.org/PathwayBrowser/#/R-MMU-1474151	10
R-MMU-1474165_REPRODUCTION	R-MMU-1474165	Reproduction	https://reactome.org/PathwayBrowser/#/R-MMU-1474165	29
R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	R-MMU-1474228	Degradation of the extracellular matrix	https://reactome.org/PathwayBrowser/#/R-MMU-1474228	109
R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	R-MMU-1474244	Extracellular matrix organization	https://reactome.org/PathwayBrowser/#/R-MMU-1474244	264
R-MMU-1474290_COLLAGEN_FORMATION	R-MMU-1474290	Collagen formation	https://reactome.org/PathwayBrowser/#/R-MMU-1474290	75
R-MMU-1475029_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	R-MMU-1475029	Reversible hydration of carbon dioxide	https://reactome.org/PathwayBrowser/#/R-MMU-1475029	12
R-MMU-1480926_O2_CO2_EXCHANGE_IN_ERYTHROCYTES	R-MMU-1480926	O2/CO2 exchange in erythrocytes	https://reactome.org/PathwayBrowser/#/R-MMU-1480926	13
R-MMU-1482788_ACYL_CHAIN_REMODELLING_OF_PC	R-MMU-1482788	Acyl chain remodelling of PC	https://reactome.org/PathwayBrowser/#/R-MMU-1482788	27
R-MMU-1482798_ACYL_CHAIN_REMODELING_OF_CL	R-MMU-1482798	Acyl chain remodeling of CL	https://reactome.org/PathwayBrowser/#/R-MMU-1482798	5
R-MMU-1482801_ACYL_CHAIN_REMODELLING_OF_PS	R-MMU-1482801	Acyl chain remodelling of PS	https://reactome.org/PathwayBrowser/#/R-MMU-1482801	22
R-MMU-1482839_ACYL_CHAIN_REMODELLING_OF_PE	R-MMU-1482839	Acyl chain remodelling of PE	https://reactome.org/PathwayBrowser/#/R-MMU-1482839	27
R-MMU-1482883_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	R-MMU-1482883	Acyl chain remodeling of DAG and TAG	https://reactome.org/PathwayBrowser/#/R-MMU-1482883	7
R-MMU-1482922_ACYL_CHAIN_REMODELLING_OF_PI	R-MMU-1482922	Acyl chain remodelling of PI	https://reactome.org/PathwayBrowser/#/R-MMU-1482922	17
R-MMU-1482925_ACYL_CHAIN_REMODELLING_OF_PG	R-MMU-1482925	Acyl chain remodelling of PG	https://reactome.org/PathwayBrowser/#/R-MMU-1482925	18
R-MMU-1483076_SYNTHESIS_OF_CL	R-MMU-1483076	Synthesis of CL	https://reactome.org/PathwayBrowser/#/R-MMU-1483076	1
R-MMU-1483101_SYNTHESIS_OF_PS	R-MMU-1483101	Synthesis of PS	https://reactome.org/PathwayBrowser/#/R-MMU-1483101	2
R-MMU-1483115_HYDROLYSIS_OF_LPC	R-MMU-1483115	Hydrolysis of LPC	https://reactome.org/PathwayBrowser/#/R-MMU-1483115	8
R-MMU-1483148_SYNTHESIS_OF_PG	R-MMU-1483148	Synthesis of PG	https://reactome.org/PathwayBrowser/#/R-MMU-1483148	1
R-MMU-1483152_HYDROLYSIS_OF_LPE	R-MMU-1483152	Hydrolysis of LPE	https://reactome.org/PathwayBrowser/#/R-MMU-1483152	1
R-MMU-1483166_SYNTHESIS_OF_PA	R-MMU-1483166	Synthesis of PA	https://reactome.org/PathwayBrowser/#/R-MMU-1483166	38
R-MMU-1483191_SYNTHESIS_OF_PC	R-MMU-1483191	Synthesis of PC	https://reactome.org/PathwayBrowser/#/R-MMU-1483191	25
R-MMU-1483196_PI_AND_PC_TRANSPORT_BETWEEN_ER_AND_GOLGI_MEMBRANES	R-MMU-1483196	PI and PC transport between ER and Golgi membranes	https://reactome.org/PathwayBrowser/#/R-MMU-1483196	1
